entry,value
player_id,534
web_name,McNeil
team,Burnley
first_name,Dwight
second_name,McNeil
cost_end,4.4
value_form,0.4
value_season,17.0
cost_change_start,-1
cost_start,5.4
dreamteam_count,0
selected_by_percent,0.8
total_points,75
ppg,3.6
minutes,1590
goals_scored,3
assists,4
clean_sheets,5
goals_conceded,25
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,6
bps,305
influence,405.2
creativity,442.8
threat,279.0
ict_index,112.5
ea_index,0
position,Midfielder
