,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,0.0,2.0,0.0,0.0,6.0,41672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Fulham
2,20 Aug 20:00,0.0,2.0,1.0,1.0,6.0,28028.0,391.0,15324.0,-14933.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,8.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,15.0,Liverpool
3,26 Aug 13:30,2.0,1.0,0.0,3.0,5.9,23030.0,505.0,6212.0,-5707.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,22.4,10.9,2.0,3.5,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,Watford
4,01 Sep 15:00,0.0,2.0,1.0,1.0,5.9,22619.0,1731.0,2777.0,-1046.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.2,12.3,22.0,3.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,Southampton
5,15 Sep 15:00,0.0,1.0,0.0,0.0,5.9,20376.0,670.0,3211.0,-2541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,Huddersfield
6,22 Sep 15:00,0.0,0.0,1.0,1.0,5.8,17354.0,259.0,3434.0,-3175.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.4,11.2,0.0,2.1,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,15.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.0,Newcastle
7,01 Oct 20:00,2.0,1.0,0.0,2.0,5.8,15675.0,117.0,1919.0,-1802.0,83.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.6,29.5,19.0,5.8,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,55.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,Bournemouth
8,06 Oct 15:00,0.0,1.0,1.0,1.0,5.7,15127.0,228.0,861.0,-633.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.6,1.8,21.0,2.8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,Wolves
9,21 Oct 16:00,2.0,0.0,0.0,0.0,5.7,13945.0,175.0,1454.0,-1279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,Everton
10,28 Oct 13:30,2.0,2.0,1.0,1.0,5.6,12918.0,37.0,1094.0,-1057.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,13.0,1.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,13.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,93.0,Arsenal
11,04 Nov 16:00,3.0,1.0,0.0,2.0,5.6,12464.0,95.0,625.0,-530.0,70.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.2,1.7,38.0,4.5,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,18.0,13.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,104.0,Chelsea
12,10 Nov 17:30,0.0,1.0,1.0,2.0,5.6,12248.0,112.0,388.0,-276.0,66.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.2,1.3,0.0,0.6,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,Spurs
13,24 Nov 15:00,0.0,0.0,0.0,3.0,5.6,12126.0,112.0,306.0,-194.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,14.6,7.0,2.6,0.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,34.0,28.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,126.0,Man Utd
14,01 Dec 15:00,2.0,0.0,1.0,2.0,5.6,12391.0,370.0,173.0,197.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,23.6,63.5,43.0,13.0,0.0,2.0,0.0,2.0,8.0,5.0,0.0,0.0,56.0,46.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,134.0,Burnley
15,04 Dec 19:45,3.0,1.0,0.0,2.0,5.6,12921.0,713.0,235.0,478.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.2,22.8,33.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,52.0,48.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,142.0,Brighton
16,08 Dec 15:00,3.0,2.0,0.0,5.0,5.6,12833.0,206.0,319.0,-113.0,83.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,26.4,27.2,56.0,11.0,0.0,1.0,0.0,1.0,5.0,2.0,0.0,0.0,35.0,26.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,160.0,West Ham
17,15 Dec 15:00,1.0,0.0,1.0,3.0,5.6,13300.0,679.0,352.0,327.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.2,4.0,2.0,1.4,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,39.0,29.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,162.0,Leicester
18,22 Dec 15:00,2.0,3.0,0.0,5.0,5.6,12994.0,178.0,493.0,-315.0,90.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.4,1.1,6.0,1.6,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,19.0,13.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,177.0,Man City
19,26 Dec 15:00,0.0,0.0,1.0,3.0,5.6,13406.0,600.0,343.0,257.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.9,51.0,5.2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,26.0,21.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,183.0,Cardiff
20,30 Dec 12:00,0.0,1.0,1.0,1.0,5.6,13108.0,219.0,539.0,-320.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.6,0.8,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,193.0,Chelsea
21,02 Jan 19:45,0.0,2.0,0.0,0.0,5.6,12916.0,136.0,436.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,Wolves
22,12 Jan 15:00,1.0,2.0,1.0,0.0,5.6,12614.0,181.0,584.0,-403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,Watford
23,19 Jan 15:00,4.0,3.0,0.0,6.0,5.6,12256.0,63.0,483.0,-420.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,33.4,0.1,17.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,Liverpool
24,30 Jan 19:45,1.0,1.0,0.0,0.0,5.6,12562.0,463.0,290.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,Southampton
25,02 Feb 15:00,2.0,0.0,1.0,1.0,5.6,12482.0,149.0,254.0,-105.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.6,8.0,1.6,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,11.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,245.0,Fulham
26,09 Feb 15:00,1.0,1.0,1.0,1.0,5.6,12410.0,169.0,321.0,-152.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,21.9,6.0,3.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,252.0,West Ham
27,23 Feb 17:30,1.0,4.0,0.0,0.0,5.6,12463.0,210.0,283.0,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,Leicester
28,27 Feb 20:00,1.0,3.0,1.0,1.0,5.6,12406.0,65.0,157.0,-92.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,12.6,12.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,17.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,273.0,Man Utd
29,02 Mar 15:00,1.0,3.0,0.0,2.0,5.5,12356.0,99.0,170.0,-71.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,4.6,22.6,0.0,2.7,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,24.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,283.0,Burnley
30,09 Mar 12:30,1.0,2.0,1.0,1.0,5.5,12456.0,190.0,146.0,44.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.8,4.0,0.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,294.0,Brighton
31,30 Mar 15:00,2.0,0.0,1.0,1.0,5.5,12480.0,185.0,151.0,34.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.8,3.8,18.0,3.1,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,19.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,315.0,Huddersfield
32,03 Apr 19:45,2.0,0.0,0.0,0.0,5.5,12480.0,185.0,151.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,Spurs
33,06 Apr 15:00,0.0,1.0,0.0,0.0,5.5,12484.0,76.0,95.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,Newcastle
34,14 Apr 14:05,1.0,3.0,1.0,1.0,5.5,12270.0,16.0,221.0,-205.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.4,0.1,0.0,0.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,Man City
35,21 Apr 16:00,2.0,3.0,0.0,2.0,5.5,12208.0,33.0,121.0,-88.0,79.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.4,3.3,10.0,2.1,0.0,0.0,0.0,3.0,7.0,0.0,1.0,0.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,341.0,Arsenal
36,27 Apr 15:00,0.0,0.0,1.0,3.0,5.5,12219.0,58.0,71.0,-13.0,71.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.2,2.3,9.0,2.1,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,29.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,353.0,Everton
37,04 May 17:30,2.0,3.0,0.0,1.0,5.5,12313.0,99.0,59.0,40.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.4,0.1,0.0,0.1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,Cardiff
38,12 May 15:00,5.0,3.0,1.0,2.0,5.5,12301.0,55.0,83.0,-28.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.8,34.7,28.0,7.8,0.0,0.0,0.0,2.0,5.0,3.0,0.0,0.0,47.0,42.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,373.0,Bournemouth
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
