,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 13:30,4,0,True,6,5.5,14696,0,0,0,90,0,1,1,0,0,0,0,0,0,0,26,33.6,54.4,12.0,10.0,0,3,1,1,4,3,0,0,102,95,0,0,0,2,0,0,3,0,5,West Ham
2,20 Aug 20:00,0,2,False,11,5.5,58848,27231,5177,22054,66,1,0,1,0,0,0,0,0,0,3,41,43.8,8.2,27.0,7.9,0,1,0,3,9,0,2,1,49,45,0,0,0,0,0,0,1,0,15,Crystal Palace
3,25 Aug 17:30,1,0,True,3,5.5,171078,106185,19678,86507,90,0,0,1,0,0,0,0,0,0,0,12,13.6,27.9,2.0,4.4,0,1,0,2,10,1,0,0,94,84,0,0,0,0,0,0,4,0,25,Brighton
4,01 Sep 12:30,1,2,False,4,5.6,245784,90997,27574,63423,90,0,1,0,1,0,0,1,0,0,0,20,40.0,47.0,0.0,8.7,0,1,0,5,9,3,0,0,63,49,0,0,0,1,0,0,2,0,37,Leicester
5,15 Sep 12:30,1,2,False,2,5.6,349391,123595,40038,83557,90,0,0,0,1,0,0,0,0,0,0,22,20.4,40.2,2.0,6.3,0,1,0,2,8,3,5,0,46,34,0,0,0,1,0,0,2,0,48,Spurs
6,22 Sep 15:00,3,0,True,1,5.7,393002,70473,33203,37270,45,0,0,0,0,0,0,0,0,0,0,11,10.8,4.9,40.0,5.6,0,0,0,0,7,0,0,0,53,46,0,0,0,0,0,0,0,2,58,Southampton
7,29 Sep 17:30,1,1,False,1,5.7,372246,23825,45666,-21841,85,0,0,0,1,0,0,1,0,0,0,12,13.8,19.0,2.0,3.5,0,0,1,3,3,1,0,0,68,61,0,0,0,0,0,0,1,0,64,Chelsea
8,07 Oct 16:30,0,0,True,1,5.7,367484,22748,31557,-8809,28,0,0,0,0,0,0,0,0,0,0,3,2.6,15.3,0.0,1.8,0,0,0,1,1,1,0,0,19,12,0,0,0,1,0,0,0,0,76,Man City
9,20 Oct 17:30,0,1,False,3,5.7,263165,7538,110543,-103005,76,0,0,1,0,0,0,0,0,0,0,11,16.6,8.1,2.0,2.7,0,0,0,5,5,0,0,0,53,46,0,0,0,3,0,0,0,1,86,Huddersfield
10,27 Oct 15:00,4,1,True,1,5.7,268056,16958,17460,-502,19,0,0,0,1,0,0,0,0,0,0,3,2.2,1.3,10.0,1.4,0,0,0,0,1,0,0,0,26,22,0,0,0,0,0,0,0,0,96,Cardiff
11,03 Nov 17:30,1,1,False,10,5.6,233972,3353,37694,-34341,90,1,0,0,1,0,0,0,0,0,3,31,57.8,40.0,17.0,11.5,0,0,0,2,5,3,1,0,38,28,0,0,0,2,0,0,0,0,101,Arsenal
12,11 Nov 12:00,2,0,True,1,5.6,289929,58700,8821,49879,9,0,0,0,0,0,0,0,0,0,0,4,3.0,10.8,2.0,1.6,0,0,0,0,1,1,0,0,11,9,0,0,0,0,0,0,0,0,117,Fulham
13,24 Nov 15:00,0,3,False,1,5.6,284000,19365,25480,-6115,16,0,0,0,0,0,0,0,0,0,0,3,0.0,0.7,0.0,0.1,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,128,Watford
14,02 Dec 16:15,1,0,True,0,5.6,272636,8527,20854,-12327,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,Everton
15,05 Dec 19:45,1,3,False,10,5.6,257156,6943,23009,-16066,90,1,0,0,1,0,0,0,0,0,3,35,49.0,51.8,29.0,13.0,0,1,0,1,5,3,0,0,66,56,0,0,0,0,0,0,0,2,143,Burnley
16,08 Dec 12:30,0,4,False,3,5.6,275114,23561,8742,14819,90,0,0,1,0,0,0,0,0,0,0,8,4.0,7.8,3.0,1.5,0,0,0,1,4,0,0,0,60,48,0,0,0,0,0,1,2,0,152,Bournemouth
17,16 Dec 16:00,3,1,True,0,5.6,274386,15783,16941,-1158,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,Man Utd
