,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,18 Aug 15:00,3.0,1.0,0.0,6.0,6.5,289024.0,10641.0,38086.0,-27445.0,90.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,28.0,3.9,42.0,7.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,27.0,18.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,19.0,Spurs
2,26 Aug 16:00,4.0,2.0,1.0,16.0,6.5,341378.0,65914.0,31501.0,34413.0,90.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,59.0,76.8,19.0,75.0,17.1,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,26.0,25.0,0.0,0.0,0.0,5.0,1.0,1.0,3.0,0.0,23.0,Burnley
3,01 Sep 15:00,2.0,2.0,0.0,5.0,6.6,789475.0,416644.0,34264.0,382380.0,90.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,42.2,16.8,44.0,10.3,0.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,27.0,25.0,1.0,0.0,0.0,7.0,2.0,1.0,2.0,4.0,31.0,Brighton
4,15 Sep 15:00,3.0,0.0,0.0,2.0,6.8,1168832.0,435268.0,84967.0,350301.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.3,13.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,45.0,Man City
5,22 Sep 12:30,1.0,1.0,1.0,8.0,6.9,1377459.0,248323.0,61219.0,187104.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,36.8,12.9,134.0,18.4,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,25.0,15.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,56.0,Watford
6,29 Sep 15:00,3.0,0.0,0.0,1.0,7.0,1611561.0,247279.0,27909.0,219370.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,12.0,2.6,6.0,2.1,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,30.0,21.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,65.0,Everton
7,07 Oct 12:00,1.0,5.0,1.0,2.0,7.0,1530426.0,55102.0,125632.0,-70530.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.6,37.0,45.0,9.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,34.0,23.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,74.0,Arsenal
8,20 Oct 15:00,4.0,2.0,0.0,5.0,6.9,1519101.0,113082.0,140639.0,-27557.0,90.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.8,11.7,0.0,3.4,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,22.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,83.0,Cardiff
9,27 Oct 15:00,0.0,3.0,1.0,1.0,6.9,1544831.0,86418.0,69328.0,17090.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,5.2,4.3,5.0,1.5,0.0,0.0,0.0,5.0,6.0,0.0,1.0,0.0,33.0,28.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,94.0,Bournemouth
10,05 Nov 20:00,1.0,0.0,0.0,1.0,6.8,1417849.0,59300.0,188547.0,-129247.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,4.6,5.6,64.0,7.4,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,31.0,19.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,106.0,Huddersfield
