entry,value
player_id,480
web_name,Mitrovic
team,Fulham
first_name,Aleksandar
second_name,Mitrovic
cost_end,6.3
value_form,0.3
value_season,21.3
cost_change_start,-0.2
cost_start,6.5
dreamteam_count,3
selected_by_percent,10.8
total_points,134
ppg,3.6
minutes,3280
goals_scored,11
assists,4
clean_sheets,5
goals_conceded,78
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,7
red_cards,0
saves,0
bonus,12
bps,350
influence,638.8
creativity,499.5
threat,1593.0
ict_index,273.4
ea_index,0
position,Forward
