entry,value
player_id,18
web_name,Mkhitaryan
team,Arsenal
first_name,Henrikh
second_name,Mkhitaryan
cost_end,6.6
value_form,0.3
value_season,14.8
cost_change_start,-0.4
cost_start,7.0
dreamteam_count,4
selected_by_percent,4.6
total_points,98
ppg,3.9
minutes,1637
goals_scored,6
assists,4
clean_sheets,3
goals_conceded,26
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,12
bps,354
influence,446.4
creativity,454.9
threat,600.0
ict_index,150.2
ea_index,0
position,Midfielder
