,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,18 Aug 17:30,3.0,2.0,0.0,1.0,5.5,36147.0,407.0,9963.0,-9556.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.2,16.2,22.0,5.3,0.0,1.0,0.0,5.0,6.0,1.0,0.0,0.0,35.0,31.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,Chelsea
2,25 Aug 15:00,3.0,1.0,1.0,10.0,5.5,46967.0,13108.0,5701.0,7407.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,43.4,2.9,68.0,11.4,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,42.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,West Ham
3,02 Sep 13:30,2.0,3.0,0.0,0.0,5.5,105115.0,55182.0,9404.0,45778.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,18.8,5.8,30.0,5.5,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,53.0,46.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,33.0,Cardiff
4,15 Sep 15:00,1.0,2.0,0.0,2.0,5.5,106453.0,16803.0,16332.0,471.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,19.0,5.2,2.0,2.6,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,62.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,46.0,Newcastle
5,23 Sep 16:00,2.0,0.0,1.0,6.0,5.5,110773.0,12157.0,9400.0,2757.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.4,15.2,23.0,5.4,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,51.0,45.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,51.0,Everton
6,29 Sep 15:00,2.0,0.0,1.0,6.0,5.5,129735.0,19891.0,5179.0,14712.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.4,16.5,12.0,4.2,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,61.0,50.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,61.0,Watford
7,07 Oct 12:00,1.0,5.0,0.0,5.0,5.5,137768.0,13052.0,5465.0,7587.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,13.3,4.0,4.1,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,52.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,74.0,Fulham
8,22 Oct 20:00,3.0,1.0,1.0,0.0,5.5,152737.0,20599.0,8246.0,12353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,Leicester
9,28 Oct 13:30,2.0,2.0,0.0,0.0,5.5,116562.0,2376.0,35914.0,-33538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,Crystal Palace
10,03 Nov 17:30,1.0,1.0,1.0,0.0,5.5,88301.0,215.0,29849.0,-29634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,Liverpool
