entry,value
player_id,5
web_name,Monreal
team,Arsenal
first_name,Nacho
second_name,Monreal
cost_end,5.4
value_form,0.4
value_season,14.3
cost_change_start,-1
cost_start,6.4
dreamteam_count,1
selected_by_percent,1.3
total_points,77
ppg,3.5
minutes,1860
goals_scored,1
assists,4
clean_sheets,5
goals_conceded,24
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,7
bps,392
influence,413.2
creativity,196.6
threat,224.0
ict_index,83.4
ea_index,0
position,Defender
