,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2.0,0.0,0.0,0.0,4.5,8245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,Watford
2,19 Aug 16:00,3.0,2.0,1.0,1.0,4.5,8951.0,276.0,1437.0,-1161.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.8,0.4,0.0,0.9,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,11.0,Man Utd
3,25 Aug 17:30,1.0,0.0,0.0,2.0,4.5,9459.0,1031.0,1276.0,-245.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,14.8,8.0,4.3,0.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,34.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,25.0,Liverpool
4,01 Sep 15:00,2.0,2.0,1.0,1.0,4.5,11114.0,1923.0,1097.0,826.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,24.0,33.8,6.0,6.4,0.0,3.0,0.0,3.0,4.0,2.0,1.0,0.0,33.0,29.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,31.0,Fulham
5,17 Sep 20:00,2.0,2.0,0.0,1.0,4.5,10565.0,470.0,1233.0,-763.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.4,29.8,2.0,5.3,0.0,2.0,0.0,7.0,5.0,2.0,0.0,0.0,37.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,47.0,Southampton
6,22 Sep 17:30,1.0,2.0,1.0,1.0,4.5,10086.0,248.0,871.0,-623.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,5.1,7.0,2.4,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,26.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,52.0,Spurs
7,29 Sep 15:00,2.0,0.0,0.0,0.0,4.5,9762.0,223.0,651.0,-428.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,25.8,0.2,0.0,2.6,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,19.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,67.0,Man City
8,05 Oct 20:00,1.0,0.0,1.0,0.0,4.5,9573.0,206.0,496.0,-290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,West Ham
9,20 Oct 15:00,0.0,1.0,0.0,0.0,4.5,9069.0,144.0,746.0,-602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,Newcastle
10,27 Oct 15:00,1.0,0.0,1.0,0.0,4.4,8594.0,65.0,577.0,-512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,Wolves
11,03 Nov 15:00,3.0,1.0,0.0,0.0,4.4,8104.0,55.0,587.0,-532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,Everton
12,10 Nov 12:30,2.0,1.0,0.0,1.0,4.4,7828.0,57.0,374.0,-317.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.6,0.3,0.0,1.2,0.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,19.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,112.0,Cardiff
13,24 Nov 15:00,1.0,1.0,1.0,0.0,4.3,7847.0,214.0,252.0,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,Leicester
14,01 Dec 15:00,1.0,2.0,0.0,0.0,4.3,7721.0,56.0,191.0,-135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,Huddersfield
15,04 Dec 19:45,3.0,1.0,1.0,2.0,4.3,7541.0,40.0,236.0,-196.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.2,1.4,0.0,2.1,0.0,0.0,0.0,6.0,5.0,0.0,3.0,0.0,32.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,142.0,Crystal Palace
16,08 Dec 15:00,1.0,0.0,0.0,0.0,4.3,7565.0,126.0,143.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,Burnley
17,16 Dec 13:30,1.0,2.0,1.0,1.0,4.3,7386.0,62.0,237.0,-175.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,0.7,3.0,1.6,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,39.0,36.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,161.0,Chelsea
18,22 Dec 15:00,2.0,0.0,0.0,1.0,4.3,7365.0,93.0,141.0,-48.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,23.2,12.8,0.0,3.6,0.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0,43.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,172.0,Bournemouth
19,26 Dec 17:15,1.0,1.0,1.0,1.0,4.3,7271.0,47.0,166.0,-119.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,17.0,35.7,3.0,5.6,0.0,1.0,0.0,5.0,5.0,3.0,0.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,181.0,Arsenal
20,29 Dec 15:00,1.0,0.0,1.0,7.0,4.3,7288.0,140.0,166.0,-26.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,21.0,7.0,4.0,3.2,0.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,42.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,191.0,Everton
21,02 Jan 19:45,2.0,2.0,0.0,1.0,4.3,8258.0,1215.0,395.0,820.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.8,11.8,0.0,2.7,0.0,0.0,0.0,6.0,3.0,1.0,1.0,0.0,42.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,209.0,West Ham
22,12 Jan 15:00,0.0,1.0,1.0,2.0,4.3,8189.0,301.0,383.0,-82.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,15.0,0.0,2.8,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,34.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,211.0,Liverpool
23,19 Jan 15:00,2.0,1.0,0.0,1.0,4.3,8388.0,533.0,404.0,129.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.6,1.8,0.0,1.7,0.0,0.0,0.0,6.0,3.0,0.0,2.0,0.0,33.0,26.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,226.0,Man Utd
24,29 Jan 19:45,4.0,2.0,0.0,3.0,4.3,8978.0,923.0,415.0,508.0,90.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,51.2,30.2,0.0,8.1,0.0,2.0,0.0,8.0,8.0,2.0,0.0,0.0,46.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,Fulham
25,02 Feb 15:00,0.0,0.0,1.0,6.0,4.3,10441.0,1549.0,256.0,1293.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,18.2,30.8,2.0,5.1,0.0,1.0,0.0,5.0,7.0,2.0,0.0,0.0,48.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,241.0,Watford
