,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,18 Aug 17:30,3.0,2.0,1.0,6.0,9.0,145740.0,8401.0,30789.0,-22388.0,74.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,37.2,18.3,27.0,8.3,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,18.0,15.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,14.0,Arsenal
2,26 Aug 16:00,1.0,2.0,0.0,2.0,9.0,254777.0,121679.0,34136.0,87543.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.4,38.0,4.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,Newcastle
3,01 Sep 15:00,2.0,0.0,1.0,2.0,9.0,245949.0,29469.0,40742.0,-11273.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.4,2.2,41.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,34.0,Bournemouth
4,15 Sep 15:00,4.0,1.0,1.0,0.0,9.0,216165.0,17414.0,51804.0,-34390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,Cardiff
5,23 Sep 13:30,0.0,0.0,0.0,1.0,8.9,145050.0,1943.0,73424.0,-71481.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.6,17.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,West Ham
6,29 Sep 17:30,1.0,1.0,1.0,1.0,8.8,118822.0,831.0,29649.0,-28818.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,24.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.0,Liverpool
7,07 Oct 14:15,0.0,3.0,0.0,5.0,8.8,108078.0,890.0,12882.0,-11992.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,34.6,0.8,36.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,78.0,Southampton
8,20 Oct 12:30,2.0,2.0,1.0,2.0,8.7,102707.0,1986.0,8716.0,-6730.0,78.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.8,20.8,20.0,4.6,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,31.0,25.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,84.0,Man Utd
9,28 Oct 13:30,0.0,4.0,0.0,5.0,8.7,102468.0,3493.0,4878.0,-1385.0,73.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,36.4,13.8,66.0,11.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,14.0,11.0,0.0,2.0,0.0,3.0,0.0,2.0,4.0,1.0,92.0,Burnley
10,04 Nov 16:00,3.0,1.0,1.0,13.0,8.7,129331.0,28208.0,4527.0,23681.0,90.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,57.0,75.6,14.6,85.0,17.5,0.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,18.0,15.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,104.0,Crystal Palace
