,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 13:30,4,0,True,0,4.5,22078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,West Ham
2,20 Aug 20:00,0,2,False,0,4.5,23454,965,4238,-3273,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Crystal Palace
3,25 Aug 17:30,1,0,True,0,4.4,21173,509,3622,-3113,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,Brighton
4,01 Sep 12:30,1,2,False,0,4.4,19066,280,2875,-2595,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,Leicester
5,15 Sep 12:30,1,2,False,0,4.3,17896,271,1896,-1625,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,Spurs
6,22 Sep 15:00,3,0,True,0,4.3,17373,205,1040,-835,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,Southampton
7,29 Sep 17:30,1,1,False,0,4.3,16901,338,987,-649,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,Chelsea
8,07 Oct 16:30,0,0,True,0,4.3,16377,118,738,-620,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,Man City
9,20 Oct 17:30,0,1,False,0,4.2,16158,202,614,-412,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,Huddersfield
10,27 Oct 15:00,4,1,True,2,4.2,16030,175,414,-239,90,0,0,0,1,0,0,0,0,0,0,13,16.6,39.3,5.0,6.1,0,1,0,1,3,3,0,0,61,54,0,0,0,2,0,1,1,2,96,Cardiff
11,03 Nov 17:30,1,1,False,0,4.2,16254,415,372,43,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,Arsenal
12,11 Nov 12:00,2,0,True,0,4.2,16289,297,423,-126,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,Fulham
13,24 Nov 15:00,0,3,False,0,4.2,16193,201,399,-198,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,Watford
14,02 Dec 16:15,1,0,True,0,4.2,16004,69,309,-240,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,Everton
15,05 Dec 19:45,1,3,False,2,4.2,16515,559,268,291,64,0,0,0,1,0,0,0,0,0,0,11,3.4,2.7,0.0,0.6,0,0,0,0,2,0,1,0,45,38,0,0,0,1,0,0,0,0,143,Burnley
16,08 Dec 12:30,0,4,False,0,4.2,16228,263,460,-197,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,Bournemouth
17,16 Dec 16:00,3,1,True,0,4.2,16080,239,436,-197,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,Man Utd
