entry,value
player_id,215
web_name,Morgan
team,Leicester
first_name,Wes
second_name,Morgan
cost_end,4.5
value_form,0.0
value_season,16.9
cost_change_start,0.0
cost_start,4.5
dreamteam_count,2
selected_by_percent,1.6
total_points,76
ppg,3.5
minutes,1924
goals_scored,3
assists,0
clean_sheets,6
goals_conceded,28
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,2
saves,0
bonus,7
bps,365
influence,471.0
creativity,40.1
threat,293.0
ict_index,80.5
ea_index,0
position,Defender
