,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2,0,True,1,5.0,11984,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Cardiff
2,18 Aug 15:00,1,2,False,0,5.0,16089,2041,2153,-112,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,West Ham
3,25 Aug 15:00,2,2,True,1,5.0,15240,1050,2711,-1661,1,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,Everton
4,01 Sep 15:00,2,0,False,1,5.0,13765,578,2615,-2037,10,0,0,0,1,0,0,0,0,0,0,3,0.2,0.8,0.0,0.1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,34,Chelsea
5,15 Sep 15:00,4,2,True,1,5.0,13862,975,1505,-530,5,0,0,0,2,0,0,0,0,0,0,0,0.2,0.1,2.0,0.2,0,0,0,0,0,0,0,0,4,2,0,0,0,3,0,0,0,0,41,Leicester
6,22 Sep 15:00,4,0,False,0,5.0,14027,844,1082,-238,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,Burnley
7,01 Oct 20:00,2,1,True,0,5.0,13567,349,957,-608,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,Crystal Palace
8,06 Oct 15:00,0,4,False,0,5.0,13340,326,697,-371,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,Watford
9,20 Oct 15:00,0,0,True,0,5.0,12944,332,899,-567,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,Southampton
10,27 Oct 15:00,0,3,False,0,4.9,12820,247,476,-229,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,Fulham
11,03 Nov 12:30,1,2,True,0,4.9,12651,269,535,-266,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,Man Utd
12,10 Nov 15:00,2,1,False,0,4.9,12517,229,439,-210,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,Newcastle
13,25 Nov 13:30,1,2,True,1,4.9,12459,233,394,-161,8,0,0,0,0,0,0,0,0,0,0,2,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,121,Arsenal
14,01 Dec 15:00,3,1,False,1,4.9,12449,171,238,-67,5,0,0,0,0,0,0,0,0,0,0,3,0.0,0.5,2.0,0.3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,138,Man City
15,04 Dec 19:45,2,1,True,0,4.9,12418,210,287,-77,3,0,0,0,0,0,0,1,0,0,0,0,0.0,0.3,0.0,0.0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,141,Huddersfield
