,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,02 Jan 19:45,2.0,2.0,1.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,Brighton
2,12 Jan 12:30,1.0,0.0,1.0,6.0,5.5,10571.0,12292.0,2319.0,9973.0,70.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.8,36.3,12.0,6.7,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,32.0,27.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,220.0,Arsenal
3,19 Jan 15:00,2.0,0.0,0.0,2.0,5.5,120526.0,122336.0,15439.0,106897.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.8,16.1,4.0,2.3,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,43.0,38.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,222.0,Bournemouth
4,29 Jan 19:45,3.0,0.0,0.0,0.0,5.5,114828.0,14707.0,18565.0,-3858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,Wolves
5,04 Feb 20:00,1.0,1.0,1.0,0.0,5.5,61569.0,652.0,49980.0,-49328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,Liverpool
6,09 Feb 15:00,1.0,1.0,0.0,0.0,5.4,39444.0,384.0,26774.0,-26390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,Crystal Palace
7,22 Feb 19:45,3.0,1.0,1.0,0.0,5.3,28110.0,494.0,10588.0,-10094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,Fulham
8,27 Feb 20:00,1.0,0.0,0.0,1.0,5.3,26884.0,354.0,3566.0,-3212.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.4,1.3,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,278.0,Man City
9,02 Mar 17:30,2.0,0.0,1.0,0.0,5.3,25811.0,1372.0,2559.0,-1187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,Newcastle
10,09 Mar 15:00,2.0,0.0,0.0,1.0,5.2,22684.0,750.0,3915.0,-3165.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.6,13.8,4.0,2.2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,32.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,Cardiff
