,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 13:30,4.0,0.0,0.0,2.0,5.0,23453.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,1.5,0.0,0.9,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,67.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,Liverpool
2,18 Aug 15:00,1.0,2.0,1.0,1.0,5.0,23748.0,999.0,2383.0,-1384.0,76.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,12.2,21.8,0.0,3.4,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,61.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,Bournemouth
3,25 Aug 15:00,3.0,1.0,0.0,0.0,5.0,19461.0,247.0,4643.0,-4396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,Arsenal
4,01 Sep 15:00,0.0,1.0,1.0,0.0,4.9,15675.0,48.0,3952.0,-3904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,Wolves
5,16 Sep 16:00,1.0,3.0,0.0,5.0,4.9,14392.0,152.0,1618.0,-1466.0,70.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.6,12.9,0.0,3.4,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,38.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,43.0,Everton
6,23 Sep 13:30,0.0,0.0,1.0,3.0,4.9,14402.0,760.0,905.0,-145.0,84.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.2,2.6,3.0,1.5,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,30.0,24.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,60.0,Chelsea
7,29 Sep 12:30,3.0,1.0,1.0,5.0,4.9,14476.0,620.0,667.0,-47.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,31.8,18.1,9.0,5.9,0.0,0.0,1.0,1.0,11.0,1.0,1.0,0.0,67.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,69.0,Man Utd
8,05 Oct 20:00,1.0,0.0,0.0,2.0,4.9,26288.0,11934.0,1648.0,10286.0,82.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.6,4.2,21.0,3.2,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,62.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,71.0,Brighton
9,20 Oct 15:00,0.0,1.0,1.0,1.0,4.9,26576.0,3722.0,3118.0,604.0,71.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,8.0,30.7,0.0,3.9,0.0,2.0,0.0,1.0,3.0,2.0,0.0,0.0,33.0,25.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,89.0,Spurs
10,27 Oct 17:30,1.0,1.0,0.0,-2.0,4.9,25113.0,942.0,2380.0,-1438.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.0,0.0,14.4,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,95.0,Leicester
