,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,10 Aug 20:00,2.0,1.0,0.0,0.0,5.5,77976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,Man Utd
2,18 Aug 15:00,2.0,0.0,1.0,0.0,5.5,64017.0,1498.0,20153.0,-18655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,Wolves
3,25 Aug 15:00,1.0,2.0,0.0,1.0,5.4,44549.0,273.0,20467.0,-20194.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,Southampton
4,01 Sep 12:30,1.0,2.0,1.0,1.0,5.4,42702.0,1266.0,5293.0,-4027.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.3,0.0,0.8,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,Liverpool
5,15 Sep 15:00,4.0,2.0,0.0,0.0,5.4,41439.0,1619.0,4181.0,-2562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,Bournemouth
6,22 Sep 15:00,3.0,1.0,1.0,1.0,5.4,39658.0,978.0,3366.0,-2388.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.3,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,Huddersfield
7,29 Sep 15:00,0.0,2.0,0.0,0.0,5.3,38050.0,594.0,2607.0,-2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,Newcastle
8,06 Oct 15:00,1.0,2.0,1.0,1.0,5.3,36787.0,462.0,2021.0,-1559.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,Everton
9,22 Oct 20:00,3.0,1.0,0.0,1.0,5.3,35452.0,482.0,2238.0,-1756.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,0.8,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,81.0,Arsenal
10,27 Oct 17:30,1.0,1.0,1.0,1.0,5.3,35032.0,523.0,1198.0,-675.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,21.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,95.0,West Ham
11,03 Nov 15:00,0.0,1.0,0.0,0.0,5.3,34696.0,688.0,1291.0,-603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,Cardiff
12,10 Nov 15:00,0.0,0.0,1.0,1.0,5.2,34124.0,523.0,1302.0,-779.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.2,4.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,116.0,Burnley
13,24 Nov 15:00,1.0,1.0,0.0,2.0,5.2,34276.0,842.0,1008.0,-166.0,69.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.2,0.8,23.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,15.0,9.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,122.0,Brighton
14,01 Dec 15:00,2.0,0.0,1.0,0.0,5.2,34772.0,931.0,635.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,Watford
15,05 Dec 19:45,1.0,1.0,0.0,4.0,5.2,34469.0,520.0,870.0,-350.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.2,12.0,2.0,3.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,144.0,Fulham
16,08 Dec 19:45,0.0,2.0,1.0,1.0,5.2,34554.0,668.0,768.0,-100.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,1.2,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,157.0,Spurs
17,15 Dec 15:00,1.0,0.0,0.0,1.0,5.2,35288.0,1327.0,1028.0,299.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,Crystal Palace
18,22 Dec 15:00,0.0,1.0,0.0,0.0,5.2,34734.0,376.0,1026.0,-650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,Chelsea
19,26 Dec 15:00,2.0,1.0,1.0,1.0,5.2,34302.0,452.0,1103.0,-651.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,Man City
20,29 Dec 15:00,0.0,1.0,1.0,1.0,5.2,34551.0,868.0,852.0,16.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.1,4.0,0.8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,195.0,Cardiff
21,01 Jan 12:30,0.0,1.0,0.0,0.0,5.2,34487.0,611.0,856.0,-245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,Everton
22,12 Jan 15:00,1.0,2.0,1.0,0.0,5.2,34308.0,878.0,1413.0,-535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,Southampton
23,19 Jan 12:30,4.0,3.0,0.0,0.0,5.2,33948.0,580.0,1117.0,-537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,Wolves
24,30 Jan 20:00,1.0,1.0,0.0,1.0,5.2,33526.0,318.0,893.0,-575.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,Liverpool
25,03 Feb 14:05,0.0,1.0,1.0,1.0,5.2,33545.0,298.0,398.0,-100.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.4,1.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,247.0,Man Utd
