,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,27 Oct 15:00,4.0,1.0,1.0,0.0,5.0,140.0,91.0,26.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,Cardiff
2,03 Nov 17:30,1.0,1.0,0.0,0.0,5.0,328.0,160.0,74.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,Arsenal
3,11 Nov 12:00,2.0,0.0,1.0,0.0,5.0,484.0,133.0,82.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,Fulham
4,24 Nov 15:00,0.0,3.0,0.0,0.0,5.0,659.0,144.0,98.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,Watford
5,02 Dec 16:15,1.0,0.0,1.0,6.0,5.0,686.0,56.0,67.0,-11.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,32.0,0.0,40.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,137.0,Everton
6,05 Dec 19:45,1.0,3.0,0.0,5.0,5.0,2307.0,1544.0,204.0,1340.0,65.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,23.3,2.0,4.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,11.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,143.0,Burnley
7,08 Dec 12:30,0.0,4.0,0.0,0.0,5.0,3834.0,1925.0,544.0,1381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,Bournemouth
8,16 Dec 16:00,3.0,1.0,1.0,0.0,5.0,4109.0,1200.0,1078.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,Man Utd
9,21 Dec 20:00,0.0,2.0,0.0,0.0,5.0,3647.0,397.0,987.0,-590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,Wolves
10,26 Dec 15:00,4.0,0.0,1.0,0.0,5.0,3402.0,417.0,763.0,-346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,Newcastle
11,29 Dec 17:30,5.0,1.0,1.0,0.0,5.0,3330.0,386.0,571.0,-185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,Arsenal
12,03 Jan 20:00,2.0,1.0,0.0,0.0,5.0,3262.0,310.0,471.0,-161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,Man City
13,12 Jan 15:00,0.0,1.0,0.0,1.0,5.0,3284.0,517.0,661.0,-144.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,211.0,Brighton
14,19 Jan 15:00,4.0,3.0,1.0,0.0,5.0,3351.0,475.0,538.0,-63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,Crystal Palace
15,30 Jan 20:00,1.0,1.0,1.0,0.0,5.0,3421.0,342.0,425.0,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,Leicester
16,04 Feb 20:00,1.0,1.0,0.0,1.0,5.0,3392.0,151.0,237.0,-86.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.7,17.0,2.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,250.0,West Ham
17,09 Feb 15:00,3.0,0.0,1.0,1.0,5.0,3543.0,316.0,287.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,Bournemouth
18,24 Feb 14:05,0.0,0.0,0.0,1.0,5.0,3818.0,416.0,320.0,96.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.4,0.5,2.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,Man Utd
19,27 Feb 20:00,5.0,0.0,1.0,6.0,5.0,4529.0,811.0,198.0,613.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,45.8,13.3,48.0,10.7,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,33.0,26.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,277.0,Watford
20,03 Mar 16:15,0.0,0.0,0.0,2.0,5.0,10115.0,5993.0,660.0,5333.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,6.0,0.8,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,14.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,284.0,Everton
21,10 Mar 12:00,4.0,2.0,1.0,0.0,5.0,10127.0,2019.0,2087.0,-68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,Burnley
22,17 Mar 14:15,1.0,2.0,0.0,1.0,5.0,8405.0,710.0,1902.0,-1192.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.3,10.0,1.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,305.0,Fulham
23,31 Mar 16:30,2.0,1.0,1.0,1.0,5.0,9044.0,1552.0,1903.0,-351.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.3,8.0,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,318.0,Spurs
24,05 Apr 20:00,1.0,3.0,0.0,0.0,5.0,8612.0,527.0,901.0,-374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,Southampton
25,14 Apr 16:30,2.0,0.0,1.0,0.0,5.0,8027.0,282.0,981.0,-699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,Chelsea
26,21 Apr 16:00,0.0,2.0,0.0,0.0,5.0,7547.0,314.0,875.0,-561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,Cardiff
27,26 Apr 20:00,5.0,0.0,1.0,0.0,5.0,8331.0,1250.0,535.0,715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,Huddersfield
28,04 May 19:45,2.0,3.0,0.0,5.0,5.0,7732.0,215.0,840.0,-625.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,37.0,1.1,33.0,7.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,Newcastle
29,12 May 15:00,2.0,0.0,1.0,2.0,5.0,22070.0,14127.0,1095.0,13032.0,63.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,25.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,9.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,376.0,Wolves
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
