entry,value
player_id,264
web_name,Otamendi
team,Man City
first_name,Nicolás
second_name,Otamendi
cost_end,6.0
value_form,0.1
value_season,11.7
cost_change_start,-0.5
cost_start,6.5
dreamteam_count,0
selected_by_percent,2.6
total_points,70
ppg,3.9
minutes,1233
goals_scored,0
assists,0
clean_sheets,9
goals_conceded,7
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,5
bps,335
influence,281.2
creativity,53.7
threat,143.0
ict_index,47.8
ea_index,0
position,Defender
