,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 17:30,2,2,True,2,4.5,301531,0,0,0,90,0,0,0,2,0,0,0,0,3,0,14,21.8,0.0,0.0,2.2,0,0,0,0,7,0,0,0,15,9,0,0,0,0,0,0,0,0,10,Everton
2,18 Aug 15:00,2,0,False,1,4.5,313230,4594,11592,-6998,90,0,0,0,2,0,0,0,0,1,0,10,11.4,0.0,0.0,1.1,0,0,0,0,8,0,0,0,17,12,0,0,0,0,0,0,0,0,17,Leicester
3,25 Aug 12:30,1,1,True,3,4.5,288214,2481,29956,-27475,90,0,0,0,1,0,0,0,0,5,0,18,32.4,0.0,0.0,3.2,0,0,0,1,10,0,0,0,30,12,0,0,0,0,0,0,0,0,30,Man City
4,01 Sep 15:00,0,1,False,7,4.5,295411,12801,13449,-648,90,0,0,1,0,0,0,0,0,3,0,26,23.8,0.0,0.0,2.4,0,0,0,1,8,0,0,0,23,13,0,0,0,0,0,0,0,0,40,West Ham
5,16 Sep 13:30,1,0,True,6,4.5,339281,49596,16505,33091,90,0,0,1,0,0,0,0,0,2,0,23,13.4,0.0,0.0,1.3,0,0,0,0,3,0,0,0,14,7,0,0,0,0,0,0,0,0,50,Burnley
6,22 Sep 15:00,1,1,False,3,4.5,357959,28085,13022,15063,90,0,0,0,1,0,0,0,0,5,0,19,30.0,0.0,0.0,3.0,0,0,0,0,10,0,0,0,22,10,0,0,0,0,0,0,0,0,59,Man Utd
7,29 Sep 15:00,2,0,True,10,4.5,384881,27951,6680,21271,90,0,0,1,0,0,0,0,0,6,2,34,38.0,0.0,0.0,3.8,0,0,0,0,13,0,0,0,16,10,0,0,0,0,0,0,0,0,70,Southampton
8,06 Oct 15:00,0,1,False,9,4.5,450944,65703,6771,58932,90,0,0,1,0,0,0,0,0,4,2,27,22.6,0.0,0.0,2.3,0,0,0,0,6,0,0,0,18,8,0,0,0,0,0,0,0,0,73,Crystal Palace
9,20 Oct 15:00,0,2,True,1,4.6,606326,146941,10105,136836,90,0,0,0,2,0,0,0,0,1,0,9,9.0,0.0,0.0,0.9,0,0,0,0,5,0,0,0,15,5,0,0,0,0,0,0,0,0,90,Watford
10,27 Oct 15:00,1,0,False,2,4.6,627400,40292,16292,24000,90,0,0,0,1,0,0,0,0,0,0,8,1.2,0.0,0.0,0.1,0,0,0,0,7,0,0,0,11,7,0,0,0,0,0,0,0,0,91,Brighton
11,03 Nov 19:45,2,3,True,2,4.6,593536,8778,39653,-30875,90,0,0,0,3,0,0,0,0,5,0,19,30.4,0.0,0.0,3.0,0,0,0,0,9,0,0,0,23,13,0,0,0,0,0,0,0,0,110,Spurs
12,11 Nov 16:30,1,1,False,2,4.6,582297,7560,21216,-13656,90,0,0,0,1,0,0,0,0,2,0,13,13.6,0.0,0.0,1.4,0,0,0,1,11,0,0,0,22,8,0,0,0,0,0,0,0,0,111,Arsenal
13,25 Nov 16:00,0,2,True,2,4.6,596653,20649,11811,8838,90,0,0,0,2,0,0,0,0,4,0,17,31.4,0.0,0.0,3.1,0,0,0,0,11,0,0,0,31,17,0,0,0,0,0,0,0,0,130,Huddersfield
14,30 Nov 20:00,2,1,False,1,4.6,589085,4847,11599,-6752,90,0,0,0,2,0,0,0,0,0,0,7,3.2,0.0,0.0,0.3,0,0,0,1,5,0,0,0,19,16,0,0,0,0,0,0,0,0,132,Cardiff
15,05 Dec 19:45,2,1,True,2,4.6,558133,1227,30787,-29560,90,0,0,0,1,0,0,0,0,2,0,12,14.4,0.0,0.0,1.4,0,0,0,0,7,0,0,0,22,12,0,0,0,0,0,0,0,0,148,Chelsea
16,09 Dec 16:00,1,2,False,3,4.6,547617,2964,14758,-11794,90,0,0,0,1,0,0,0,0,3,0,14,22.6,0.0,0.0,2.3,0,0,0,0,8,0,0,0,19,13,0,0,0,0,0,0,0,0,159,Newcastle
17,15 Dec 15:00,2,0,True,7,4.6,538111,2922,14057,-11135,90,0,0,1,0,0,0,0,0,3,0,25,17.6,0.0,0.0,1.8,0,0,0,1,5,0,0,0,25,9,0,0,0,0,0,0,0,0,170,Bournemouth
18,21 Dec 20:00,0,2,True,2,4.6,529730,4783,14402,-9619,90,0,0,0,2,0,0,0,0,5,0,19,31.0,0.0,0.0,3.1,0,0,0,0,9,0,0,0,15,9,0,0,0,0,0,0,0,0,180,Liverpool
19,26 Dec 12:30,1,1,False,3,4.6,532806,10577,9851,726,90,0,0,0,1,0,0,0,0,3,0,15,23.4,0.0,0.0,2.3,0,0,0,1,9,0,0,0,22,17,0,0,0,0,0,0,0,0,184,Fulham
20,29 Dec 15:00,1,3,False,2,4.6,521041,5023,15754,-10731,90,0,0,0,1,0,0,0,0,2,0,12,8.8,0.0,0.0,0.9,0,0,0,0,8,0,0,0,15,4,0,0,0,0,0,0,0,0,199,Spurs
21,02 Jan 19:45,0,2,True,1,4.5,544308,36653,17646,19007,90,0,0,0,2,0,0,0,0,2,0,12,10.4,0.0,0.0,1.0,0,0,0,1,6,0,0,0,20,12,0,0,0,0,0,0,0,0,210,Crystal Palace
22,14 Jan 20:00,3,0,False,3,4.5,527879,21075,38200,-17125,90,0,0,0,3,0,0,0,0,7,0,23,47.4,0.0,0.0,4.7,0,0,0,0,9,0,0,0,39,17,0,0,0,0,0,0,0,0,218,Man City
23,19 Jan 12:30,4,3,True,2,4.5,524467,23771,28547,-4776,90,0,0,0,3,0,0,0,0,4,0,14,28.4,0.0,0.0,2.8,0,0,0,1,3,0,0,0,19,7,0,0,0,0,0,0,0,0,230,Leicester
24,29 Jan 19:45,3,0,True,6,4.5,527764,17319,16111,1208,90,0,0,1,0,0,0,0,0,0,0,19,2.4,0.0,0.0,0.2,0,0,0,1,5,0,0,0,14,7,0,0,0,0,0,0,0,0,236,West Ham
25,02 Feb 15:00,1,3,False,3,4.5,530700,16593,10374,6219,90,0,0,0,1,0,0,0,0,3,0,14,26.8,0.0,0.0,2.7,0,0,0,1,6,0,0,0,21,9,0,0,0,0,0,0,0,0,246,Everton
26,11 Feb 20:00,1,1,True,2,4.5,545645,21228,11974,9254,90,0,0,0,1,0,0,0,0,2,0,10,14.2,0.0,0.0,1.4,0,0,0,0,9,0,0,0,24,16,0,0,1,0,0,0,0,0,260,Newcastle
27,23 Feb 15:00,1,1,False,2,4.5,544929,14867,12264,2603,90,0,0,0,1,0,0,0,0,2,0,12,16.4,0.0,0.0,1.6,0,0,0,0,7,0,0,0,24,8,0,0,0,0,0,0,0,0,262,Bournemouth
28,26 Feb 19:45,1,0,False,2,4.5,561383,18672,7708,10964,90,0,0,0,1,0,0,0,0,2,0,12,19.4,0.0,0.0,1.9,0,0,0,2,5,0,0,0,22,12,0,0,0,0,0,0,0,0,274,Huddersfield
29,02 Mar 15:00,2,0,True,0,4.5,556523,10484,15513,-5029,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,Cardiff
30,10 Mar 14:05,1,1,False,3,4.5,532552,3292,27208,-23916,90,0,0,0,1,0,0,0,0,5,0,17,35.0,0.0,0.0,3.5,0,0,0,1,3,0,0,0,17,11,0,0,0,0,0,0,0,0,293,Chelsea
31,30 Mar 15:00,2,0,False,1,4.5,516531,19210,14183,5027,90,0,0,0,2,0,0,0,0,0,0,7,2.0,0.0,0.0,0.2,0,0,0,0,5,0,0,0,19,11,0,0,0,0,0,0,0,0,313,Burnley
32,02 Apr 19:45,2,1,True,3,4.5,516531,19210,14183,5027,90,0,0,0,1,0,0,0,0,3,0,14,28.8,0.0,0.0,2.9,0,0,0,1,7,0,0,0,25,15,0,0,0,0,0,0,0,0,330,Man Utd
33,13 Apr 15:00,3,1,False,2,4.5,502919,14503,24431,-9928,90,0,0,0,3,0,0,0,0,3,0,13,21.6,0.0,0.0,2.2,0,0,0,0,4,0,0,0,15,8,0,0,0,0,0,0,0,0,338,Southampton
34,20 Apr 15:00,0,0,True,6,4.5,518223,23124,9527,13597,90,0,0,1,0,0,0,0,0,0,0,19,2.0,0.0,0.0,0.2,0,0,0,0,4,0,0,0,11,10,0,0,0,0,0,0,0,0,350,Brighton
35,24 Apr 19:45,3,1,True,2,4.5,518223,23124,9527,13597,90,0,0,0,1,0,0,0,0,0,0,9,2.4,0.0,0.0,0.2,0,0,0,0,9,0,0,0,28,12,0,0,0,0,0,0,0,0,310,Arsenal
36,27 Apr 15:00,1,2,False,2,4.5,516200,4975,6208,-1233,90,0,0,0,1,0,0,0,0,0,0,7,5.2,0.0,0.0,0.5,0,0,0,1,5,0,0,0,21,11,0,0,0,0,0,0,0,0,360,Watford
37,04 May 15:00,1,0,True,6,4.5,520649,10055,6355,3700,90,0,0,1,0,0,0,0,0,2,0,24,13.2,0.0,0.0,1.3,0,0,0,0,6,0,0,0,18,11,0,0,0,0,0,0,0,0,370,Fulham
38,12 May 15:00,2,0,False,2,4.5,501294,1817,18153,-16336,90,0,0,0,2,0,0,0,0,3,0,14,19.4,0.0,0.0,1.9,0,0,0,0,8,0,0,0,27,17,0,0,0,0,0,0,0,0,376,Liverpool
