,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2.0,0.0,0.0,0.0,4.0,196285.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,10.8,1.0,0.0,1.2,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Bournemouth
2,18 Aug 12:30,0.0,0.0,1.0,0.0,4.0,211259.0,17700.0,13080.0,4620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Newcastle
3,25 Aug 15:00,0.0,0.0,0.0,0.0,4.0,185045.0,6466.0,33450.0,-26984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,Huddersfield
4,02 Sep 13:30,2.0,3.0,1.0,0.0,4.0,162006.0,1839.0,25688.0,-23849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,Arsenal
5,15 Sep 15:00,4.0,1.0,0.0,0.0,3.9,141679.0,9202.0,33591.0,-24389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,Chelsea
6,22 Sep 15:00,0.0,5.0,1.0,0.0,3.9,130075.0,3346.0,15184.0,-11838.0,50.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.4,0.6,0.0,0.8,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,Man City
7,30 Sep 16:00,1.0,2.0,1.0,0.0,3.9,114041.0,614.0,16248.0,-15634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,Burnley
8,06 Oct 15:00,1.0,0.0,0.0,0.0,3.9,105574.0,479.0,9170.0,-8691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,Spurs
9,20 Oct 15:00,4.0,2.0,1.0,0.0,3.9,93153.0,506.0,13114.0,-12608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,Fulham
10,27 Oct 15:00,4.0,1.0,0.0,0.0,3.9,88086.0,302.0,5598.0,-5296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,Liverpool
11,03 Nov 15:00,0.0,1.0,1.0,0.0,3.8,98422.0,12188.0,6307.0,5881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,Leicester
12,10 Nov 12:30,2.0,1.0,1.0,1.0,3.8,113377.0,17158.0,4944.0,12214.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.4,4.9,0.0,0.7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,Brighton
13,24 Nov 15:00,1.0,0.0,0.0,0.0,3.8,143820.0,30233.0,6447.0,23786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,Everton
14,30 Nov 20:00,2.0,1.0,1.0,0.0,3.8,154272.0,17088.0,4609.0,12479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,Wolves
15,04 Dec 19:45,3.0,1.0,0.0,0.0,3.8,164908.0,15456.0,6832.0,8624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,West Ham
16,08 Dec 15:00,1.0,0.0,1.0,0.0,3.8,174959.0,14331.0,7331.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,Southampton
17,15 Dec 15:00,3.0,2.0,0.0,1.0,3.8,185878.0,17931.0,7632.0,10299.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.2,0.5,0.0,0.8,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,Watford
18,22 Dec 17:30,1.0,5.0,1.0,0.0,3.8,196201.0,16188.0,7072.0,9116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,Man Utd
19,26 Dec 15:00,0.0,0.0,0.0,6.0,3.8,211552.0,20250.0,7437.0,12813.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,25.8,6.4,2.0,3.4,0.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,27.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,183.0,Crystal Palace
20,29 Dec 15:00,0.0,1.0,0.0,1.0,3.9,233153.0,26547.0,7417.0,19130.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,Leicester
21,01 Jan 17:30,0.0,3.0,1.0,0.0,3.9,233264.0,13895.0,11242.0,2653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,Spurs
22,12 Jan 15:00,0.0,0.0,1.0,0.0,3.9,228751.0,7504.0,12779.0,-5275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,Huddersfield
23,19 Jan 15:00,3.0,0.0,0.0,1.0,3.9,219002.0,4835.0,14988.0,-10153.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.4,2.3,2.0,2.5,0.0,0.0,0.0,5.0,4.0,0.0,3.0,0.0,28.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,Newcastle
24,29 Jan 19:45,2.0,1.0,0.0,1.0,3.9,217538.0,5512.0,7831.0,-2319.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,22.2,1.1,2.0,2.5,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,24.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,231.0,Arsenal
25,02 Feb 17:30,2.0,0.0,1.0,6.0,3.9,224946.0,9715.0,5114.0,4601.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.8,4.8,0.0,1.1,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,243.0,Bournemouth
26,09 Feb 15:00,1.0,2.0,0.0,2.0,3.9,236483.0,17928.0,5508.0,12420.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.6,0.3,0.0,2.4,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,257.0,Southampton
27,22 Feb 19:45,1.0,5.0,1.0,0.0,3.9,252465.0,18326.0,6633.0,11693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,Watford
28,26 Feb 19:45,0.0,3.0,1.0,0.0,3.9,246955.0,6867.0,8851.0,-1984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,Everton
29,02 Mar 15:00,2.0,0.0,0.0,0.0,3.9,244645.0,4529.0,7206.0,-2677.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,9.0,1.8,0.0,1.1,0.0,0.0,0.0,5.0,6.0,0.0,1.0,0.0,28.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,290.0,Wolves
30,09 Mar 15:00,2.0,0.0,1.0,7.0,3.9,240445.0,2800.0,7276.0,-4476.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,18.6,1.3,0.0,2.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,West Ham
31,31 Mar 14:05,1.0,2.0,1.0,1.0,3.9,286162.0,24221.0,9182.0,15039.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.2,0.1,7.0,1.9,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,314.0,Chelsea
32,03 Apr 19:45,2.0,0.0,0.0,0.0,3.9,286162.0,24221.0,9182.0,15039.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,12.4,0.7,0.0,1.3,0.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,325.0,Man City
33,13 Apr 15:00,2.0,0.0,0.0,0.0,3.9,252799.0,9740.0,11743.0,-2003.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,8.6,1.8,0.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,32.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,332.0,Burnley
34,16 Apr 19:45,0.0,2.0,0.0,6.0,3.9,252799.0,9740.0,11743.0,-2003.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.2,0.4,0.0,0.6,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,Brighton
35,21 Apr 16:00,0.0,2.0,1.0,1.0,3.9,250650.0,9771.0,12558.0,-2787.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,26.8,10.5,0.0,3.7,0.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,Liverpool
