,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 17:30,2,2,False,1,5.0,985344,0,0,0,90,0,0,0,2,0,0,0,0,2,0,13,15.0,0.0,0.0,1.5,0,0,0,1,9,0,0,0,35,10,0,0,0,0,0,0,0,0,10,Wolves
2,18 Aug 15:00,2,1,True,3,5.0,1024880,18571,48911,-30340,90,0,0,0,1,0,0,0,0,3,0,15,18.6,0.0,0.0,1.9,0,0,0,2,9,0,0,0,33,18,0,0,0,0,0,0,0,0,16,Southampton
3,25 Aug 15:00,2,2,False,2,5.0,989856,22217,76887,-54670,90,0,0,0,2,0,0,0,0,3,0,16,29.0,0.0,0.0,2.9,0,0,0,2,9,0,0,0,35,15,0,0,0,0,0,0,0,0,22,Bournemouth
4,01 Sep 15:00,1,1,True,3,5.0,968530,22463,58647,-36184,90,0,0,0,1,0,0,0,0,5,0,18,30.2,0.0,0.0,3.0,0,0,0,1,8,0,0,0,24,11,0,0,0,0,0,0,0,0,36,Huddersfield
5,16 Sep 16:00,1,3,True,1,5.0,920463,12158,68417,-56259,90,0,0,0,3,0,0,0,0,1,0,10,8.0,0.0,0.0,0.8,0,0,0,2,13,0,0,0,24,15,0,0,1,0,0,0,0,0,43,West Ham
6,23 Sep 16:00,2,0,False,2,5.0,846838,3573,79768,-76195,90,0,0,0,2,0,0,0,0,3,0,14,18.4,0.0,0.0,1.8,0,0,0,0,6,0,0,0,18,12,0,0,0,0,0,0,0,0,51,Arsenal
7,29 Sep 15:00,3,0,True,6,4.9,812849,4609,43598,-38989,90,0,0,1,0,0,0,0,0,0,0,20,3.4,0.0,0.0,0.3,0,0,0,0,8,0,0,0,25,17,0,0,0,0,0,0,0,0,65,Fulham
8,06 Oct 15:00,1,2,False,2,4.9,799148,5777,22627,-16850,90,0,0,0,1,0,0,0,0,1,0,10,10.0,0.0,0.0,1.0,0,0,0,0,6,0,0,0,26,11,0,0,0,0,0,0,0,0,75,Leicester
9,21 Oct 16:00,2,0,True,15,4.9,777397,6241,32816,-26575,90,0,0,1,0,0,1,0,0,4,3,43,40.0,0.0,0.0,4.0,0,0,0,1,6,0,0,0,24,15,0,0,0,0,0,0,0,0,85,Crystal Palace
10,28 Oct 16:00,2,1,False,11,4.9,780816,14123,15271,-1148,90,0,0,0,2,0,1,0,0,8,3,39,79.0,0.0,0.0,7.9,0,0,0,0,8,0,0,0,30,16,0,0,0,0,0,0,0,0,97,Man Utd
11,03 Nov 15:00,3,1,True,2,4.9,845655,57505,8269,49236,90,0,0,0,1,0,0,0,0,2,0,11,14.0,0.0,0.0,1.4,0,0,0,0,4,0,0,0,21,12,0,0,0,0,0,0,0,0,105,Brighton
12,11 Nov 14:15,0,0,False,7,4.9,843690,20530,22106,-1576,90,0,0,1,0,0,0,1,0,4,1,25,26.8,0.0,0.0,2.7,0,0,0,0,6,0,0,0,36,21,0,0,0,0,0,0,0,0,113,Chelsea
13,24 Nov 15:00,1,0,True,6,4.9,916347,60837,9088,51749,90,0,0,1,0,0,0,0,0,1,0,23,7.8,0.0,0.0,0.8,0,0,0,0,9,0,0,0,30,20,0,0,0,0,0,0,0,0,124,Cardiff
14,02 Dec 16:15,1,0,False,2,5.0,913356,18906,15717,3189,90,0,0,0,1,0,0,0,0,2,0,9,15.4,0.0,0.0,1.5,0,0,0,2,5,0,0,0,41,24,0,0,1,0,0,0,0,0,137,Liverpool
15,05 Dec 19:45,1,1,True,3,5.0,932329,23834,9947,13887,90,0,0,0,1,0,0,0,0,4,0,17,38.0,10.0,0.0,4.8,0,0,0,0,8,1,0,0,28,22,0,0,0,0,0,0,0,0,149,Newcastle
16,10 Dec 20:00,2,2,True,1,5.0,940510,18454,13904,4550,90,0,0,0,2,0,0,0,0,2,0,14,14.6,0.0,0.0,1.5,0,0,0,2,9,0,0,0,29,14,0,0,0,0,0,0,0,0,156,Watford
17,15 Dec 12:30,3,1,False,2,5.0,910861,6609,33673,-27064,90,0,0,0,3,0,0,0,0,3,0,16,23.4,0.0,0.0,2.3,0,0,0,2,9,0,0,0,30,16,0,0,0,0,0,0,0,0,166,Man City
18,23 Dec 16:00,2,6,True,-1,5.0,898519,6100,22408,-16308,90,0,0,0,6,0,0,0,0,2,0,9,15.0,0.0,0.0,1.5,0,0,0,1,6,0,0,0,21,16,0,0,1,0,0,0,0,0,175,Spurs
19,26 Dec 15:00,1,5,False,2,5.0,881201,9256,28654,-19398,90,0,0,0,1,0,0,0,0,2,0,12,15.8,0.0,0.0,1.6,0,0,0,1,7,0,0,0,32,16,0,0,0,0,0,0,0,0,182,Burnley
20,29 Dec 15:00,1,0,False,2,5.0,870160,8937,22497,-13560,90,0,0,0,1,0,0,0,0,2,0,14,15.6,0.0,0.0,1.6,0,0,0,2,9,0,0,0,29,15,0,0,0,0,0,0,0,0,191,Brighton
21,01 Jan 12:30,0,1,True,3,5.0,855312,12208,29255,-17047,90,0,0,0,1,0,0,0,0,3,0,16,20.0,0.0,0.0,2.0,0,0,0,1,14,0,0,0,22,15,0,0,0,0,0,0,0,0,205,Leicester
22,13 Jan 14:15,2,0,True,9,5.0,833450,11905,36736,-24831,90,0,0,1,0,0,0,0,0,7,1,33,55.4,0.0,0.0,5.5,0,0,0,1,8,0,0,0,33,22,0,0,0,0,0,0,0,0,216,Bournemouth
23,19 Jan 15:00,2,1,False,2,5.0,823629,13924,25955,-12031,90,0,0,0,2,0,0,0,0,3,0,15,23.2,0.0,0.0,2.3,0,0,0,0,11,0,0,0,40,16,0,0,0,0,0,0,0,0,228,Southampton
24,29 Jan 19:45,0,1,False,8,5.0,823286,15349,19006,-3657,90,0,0,1,0,0,0,0,0,2,2,25,15.2,0.0,0.0,1.5,0,0,0,0,9,0,0,0,38,16,0,0,0,0,0,0,0,0,234,Huddersfield
25,02 Feb 15:00,1,3,True,1,5.0,862827,34910,10981,23929,90,0,0,0,3,0,0,0,0,1,0,9,11.0,0.0,0.0,1.1,0,0,0,0,5,0,0,0,23,16,0,0,0,0,0,0,0,0,246,Wolves
26,06 Feb 19:45,0,2,True,1,5.0,862827,34910,10981,23929,90,0,0,0,2,0,0,0,0,2,0,11,19.0,0.0,0.0,1.9,0,0,0,0,5,0,0,0,29,15,0,0,0,0,0,0,0,0,266,Man City
27,09 Feb 15:00,1,0,False,2,5.0,827655,4674,27354,-22680,90,0,0,0,1,0,0,0,0,1,0,9,19.6,0.0,0.0,2.0,0,0,0,1,5,0,0,0,26,18,0,0,0,0,0,0,0,0,259,Watford
28,26 Feb 19:45,0,3,False,6,4.9,791270,4971,9083,-4112,90,0,0,1,0,0,0,0,0,0,0,19,4.4,0.0,0.0,0.4,0,0,0,0,5,0,0,0,34,23,0,0,0,0,0,0,0,0,272,Cardiff
29,03 Mar 16:15,0,0,True,7,4.9,779225,2302,14840,-12538,90,0,0,1,0,0,0,0,0,3,0,29,22.4,0.0,0.0,2.2,0,0,0,0,15,0,0,0,46,12,0,0,0,0,0,0,0,0,284,Liverpool
30,09 Mar 15:00,3,2,False,7,4.9,781368,6759,6545,214,90,0,0,0,3,0,1,0,0,4,0,23,37.0,0.0,0.0,3.7,0,0,0,2,3,0,0,0,23,15,1,0,1,0,0,0,1,0,299,Newcastle
31,17 Mar 16:30,2,0,True,9,4.9,810152,17696,7204,10492,90,0,0,1,0,0,0,0,0,5,2,31,27.0,0.0,0.0,2.7,0,0,0,1,9,0,0,0,31,16,0,0,0,0,0,0,0,0,304,Chelsea
32,30 Mar 17:30,0,2,False,6,4.9,789294,17786,18710,-924,90,0,0,1,0,0,0,0,0,1,0,23,7.4,0.0,0.0,0.7,0,0,0,1,9,0,0,0,29,19,0,0,0,0,0,0,0,0,320,West Ham
33,07 Apr 14:05,1,0,True,7,4.9,815452,20563,5838,14725,90,0,0,1,0,0,0,0,0,2,1,23,15.8,0.0,0.0,1.6,0,0,0,1,7,0,0,0,30,14,0,0,0,0,0,0,0,0,323,Arsenal
34,13 Apr 15:00,2,0,False,2,4.9,829436,24418,11552,12866,90,0,0,0,2,0,0,0,0,3,0,16,25.6,0.0,0.0,2.6,0,0,0,2,10,0,0,0,38,25,0,0,0,0,0,0,0,0,334,Fulham
35,21 Apr 13:30,4,0,True,6,4.9,813195,9146,23362,-14216,90,0,0,1,0,0,0,0,0,1,0,23,7.4,0.0,0.0,0.7,0,0,0,1,10,0,0,0,22,14,0,0,0,0,0,0,0,0,345,Man Utd
36,27 Apr 15:00,0,0,False,6,4.9,831097,17945,5280,12665,90,0,0,1,0,0,0,0,0,0,0,20,3.8,0.0,0.0,0.4,0,0,0,1,7,0,0,0,24,14,0,0,0,0,0,0,0,0,353,Crystal Palace
37,03 May 20:00,2,0,True,6,4.9,848737,20562,4773,15789,90,0,0,1,0,0,0,0,0,1,0,21,12.2,0.0,0.0,1.2,0,0,0,1,4,0,0,0,31,19,0,0,0,0,0,0,0,0,365,Burnley
38,12 May 15:00,2,2,False,1,4.9,840491,8896,15158,-6262,90,0,0,0,2,0,0,0,0,1,0,12,12.0,0.0,0.0,1.2,0,0,0,0,7,0,0,0,30,22,0,0,0,0,0,0,0,0,379,Spurs
