entry,value
player_id,154
web_name,Pickford
team,Everton
first_name,Jordan
second_name,Pickford
cost_end,4.9
value_form,0.9
value_season,32.9
cost_change_start,-0.1
cost_start,5.0
dreamteam_count,2
selected_by_percent,13.3
total_points,161
ppg,4.2
minutes,3420
goals_scored,0
assists,0
clean_sheets,14
goals_conceded,46
own_goals,0
penalties_saved,3
penalties_missed,0
yellow_cards,1
red_cards,0
saves,94
bonus,13
bps,706
influence,776.4
creativity,10.0
threat,0.0
ict_index,78.5
ea_index,0
position,Goalkeeper
