entry,value
player_id,206
web_name,Pritchard
team,Liverpool
first_name,Alex
second_name,Pritchard
cost_end,4.8
value_form,0.8
value_season,14.4
cost_change_start,-2
cost_start,6.8
dreamteam_count,0
selected_by_percent,0.1
total_points,69
ppg,2.3
minutes,2079
goals_scored,2
assists,0
clean_sheets,7
goals_conceded,40
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,2
bps,251
influence,297.4
creativity,497.9
threat,546.0
ict_index,134.0
ea_index,0
position,Midfielder
