,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,19 Aug 16:00,3.0,2.0,1.0,2.0,5.0,8494.0,145.0,1041.0,-896.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.2,1.9,0.0,1.9,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,Man Utd
2,25 Aug 17:30,1.0,0.0,0.0,2.0,5.0,8007.0,315.0,1010.0,-695.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.6,1.9,4.0,1.8,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,29.0,21.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,3.0,25.0,Liverpool
3,01 Sep 15:00,2.0,2.0,1.0,1.0,5.0,7993.0,512.0,731.0,-219.0,73.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,5.4,14.1,0.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,31.0,Fulham
4,17 Sep 20:00,2.0,2.0,0.0,2.0,4.9,7593.0,322.0,760.0,-438.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.8,2.3,4.0,1.3,0.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,47.0,Southampton
5,22 Sep 17:30,1.0,2.0,1.0,2.0,4.9,7322.0,252.0,598.0,-346.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.8,0.3,0.0,0.5,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,22.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,52.0,Spurs
6,29 Sep 15:00,2.0,0.0,0.0,2.0,4.9,7008.0,157.0,523.0,-366.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.3,0.0,0.9,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,20.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,67.0,Man City
7,05 Oct 20:00,1.0,0.0,1.0,3.0,4.9,7035.0,307.0,331.0,-24.0,79.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.4,5.5,0.0,1.6,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,25.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,71.0,West Ham
8,20 Oct 15:00,0.0,1.0,0.0,0.0,4.9,6020.0,59.0,1041.0,-982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,Newcastle
9,27 Oct 15:00,1.0,0.0,1.0,0.0,4.9,5412.0,26.0,667.0,-641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,Wolves
10,03 Nov 15:00,3.0,1.0,0.0,0.0,4.8,4965.0,19.0,488.0,-469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,Everton
11,10 Nov 12:30,2.0,1.0,0.0,0.0,4.8,4724.0,20.0,272.0,-252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,Cardiff
12,24 Nov 15:00,1.0,1.0,1.0,2.0,4.8,4614.0,46.0,181.0,-135.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.6,23.1,2.0,4.5,0.0,0.0,0.0,3.0,6.0,2.0,0.0,0.0,50.0,42.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,122.0,Leicester
13,01 Dec 15:00,1.0,2.0,0.0,2.0,4.8,4667.0,109.0,63.0,46.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.4,4.8,0.0,1.6,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,80.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,135.0,Huddersfield
14,04 Dec 19:45,3.0,1.0,1.0,2.0,4.8,4715.0,114.0,74.0,40.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,25.8,12.0,4.0,4.2,0.0,0.0,0.0,13.0,5.0,1.0,0.0,0.0,35.0,28.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,142.0,Crystal Palace
