,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,0,3,True,0,4.5,281907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Chelsea
2,19 Aug 13:30,6,1,False,0,4.5,266913,4924,27004,-22080,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Man City
3,25 Aug 15:00,0,0,True,0,4.5,239669,6259,36473,-30214,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Cardiff
4,01 Sep 15:00,1,1,False,0,4.5,219302,4779,27697,-22918,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,Everton
5,15 Sep 15:00,0,1,True,0,4.4,221112,24359,31183,-6824,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,Crystal Palace
6,22 Sep 15:00,3,1,False,0,4.4,218922,17443,23690,-6247,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,Leicester
7,29 Sep 15:00,0,2,True,0,4.4,213239,8687,15775,-7088,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,Spurs
8,06 Oct 15:00,1,1,False,0,4.4,208065,6279,13335,-7056,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,Burnley
9,20 Oct 17:30,0,1,True,0,4.4,196546,5728,18761,-13033,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,Liverpool
10,27 Oct 15:00,3,0,False,0,4.3,202223,11559,9328,2231,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Watford
11,05 Nov 20:00,1,0,True,0,4.3,203364,9831,10035,-204,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,Fulham
12,10 Nov 15:00,1,1,True,0,4.3,201972,7098,9744,-2646,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,West Ham
13,25 Nov 16:00,0,2,False,0,4.3,203442,8163,9091,-928,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,Wolves
14,01 Dec 15:00,1,2,True,0,4.3,205493,7092,5706,1386,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,Brighton
15,04 Dec 19:45,2,1,False,0,4.3,202983,5117,7871,-2754,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,Bournemouth
16,08 Dec 15:00,1,0,False,0,4.3,197441,3684,9558,-5874,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,Arsenal
17,15 Dec 15:00,0,1,True,0,4.3,202208,9943,8535,1408,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,Newcastle
18,22 Dec 15:00,1,3,True,1,4.3,206621,10152,7965,2187,9,0,0,0,0,0,0,0,0,0,0,2,0.6,11.5,0.0,1.2,0,0,0,0,1,1,0,0,8,7,0,0,0,0,0,0,2,0,176,Southampton
19,26 Dec 15:00,3,1,False,1,4.3,219206,17586,8714,8872,28,0,0,0,2,0,0,0,0,0,0,1,1.6,2.2,0.0,0.4,0,0,0,0,1,0,0,0,9,6,0,0,0,2,1,0,0,1,187,Man Utd
20,29 Dec 15:00,1,0,False,0,4.3,241478,25058,8029,17029,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,Fulham
21,02 Jan 19:45,1,2,True,0,4.3,254737,31012,17176,13836,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,Burnley
22,12 Jan 15:00,0,0,False,0,4.3,264560,33225,27823,5402,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,Cardiff
23,20 Jan 13:30,0,3,True,0,4.3,256033,20582,28932,-8350,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,Man City
24,29 Jan 19:45,0,1,True,0,4.3,245427,4398,15242,-10844,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,Everton
25,02 Feb 15:00,5,0,False,0,4.3,239077,2725,10365,-7640,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,Chelsea
26,09 Feb 15:00,1,2,True,0,4.3,228236,2931,13551,-10620,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,Arsenal
27,23 Feb 15:00,2,0,False,0,4.3,218249,2870,11659,-8789,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,Newcastle
28,26 Feb 19:45,1,0,True,0,4.3,217958,1631,4854,-3223,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,Wolves
29,02 Mar 15:00,1,0,False,0,4.3,215813,1884,4397,-2513,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,Brighton
30,09 Mar 15:00,0,2,True,0,4.3,212236,1330,5356,-4026,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,Bournemouth
31,16 Mar 15:00,4,3,False,0,4.3,204281,947,6345,-5398,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,West Ham
32,30 Mar 15:00,2,0,False,0,4.3,233576,13116,7640,5476,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,Crystal Palace
33,06 Apr 15:00,1,4,True,0,4.3,213786,4088,6337,-2249,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,Leicester
34,13 Apr 12:30,4,0,False,0,4.3,210357,5173,7671,-2498,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,Spurs
35,20 Apr 15:00,1,2,True,0,4.3,212964,8583,7915,668,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,Watford
36,26 Apr 20:00,5,0,False,0,4.3,219472,11024,4528,6496,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,Liverpool
37,05 May 14:00,1,1,True,0,4.3,224650,10818,6192,4626,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,Man Utd
38,12 May 15:00,1,1,False,0,4.3,226633,10865,10646,219,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,Southampton
