entry,value
player_id,317
web_name,Ritchie
team,Newcastle
first_name,Matt
second_name,Ritchie
cost_end,5.8
value_form,0.7
value_season,19.0
cost_change_start,-0.2
cost_start,6.0
dreamteam_count,0
selected_by_percent,0.6
total_points,110
ppg,3.1
minutes,2927
goals_scored,2
assists,8
clean_sheets,10
goals_conceded,40
own_goals,0
penalties_saved,0
penalties_missed,1
yellow_cards,9
red_cards,0
saves,0
bonus,7
bps,504
influence,712.4
creativity,973.8
threat,448.0
ict_index,213.6
ea_index,0
position,Midfielder
