entry,value
player_id,247
web_name,Robertson
team,Man Utd
first_name,Andrew
second_name,Robertson
cost_end,6.7
value_form,1.0
value_season,31.8
cost_change_start,7
cost_start,-0.2999999999999998
dreamteam_count,5
selected_by_percent,33.0
total_points,213
ppg,5.9
minutes,3216
goals_scored,0
assists,12
clean_sheets,21
goals_conceded,20
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,29
bps,906
influence,748.8
creativity,767.2
threat,318.0
ict_index,183.6
ea_index,0
position,Defender
