,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2,0,False,2,4.5,257273,0,0,0,90,0,0,0,2,0,0,0,0,3,0,15,22.8,0.0,0.0,2.3,0,0,0,0,10,0,0,0,32,14,0,0,0,0,0,0,0,0,9,Watford
2,19 Aug 16:00,3,2,True,1,4.5,250087,1516,14329,-12813,90,0,0,0,2,0,0,0,0,1,0,9,5.8,0.0,0.0,0.6,0,0,0,0,5,0,0,0,23,9,0,0,0,0,0,0,0,0,11,Man Utd
3,25 Aug 17:30,1,0,False,4,4.5,232025,3237,23415,-20178,90,0,0,0,1,0,0,0,0,6,0,21,48.8,0.0,0.0,4.9,0,0,0,0,9,0,0,0,21,4,0,0,0,0,0,0,0,0,25,Liverpool
4,01 Sep 15:00,2,2,True,2,4.5,237187,13605,12511,1094,90,0,0,0,2,0,0,0,0,3,0,14,23.2,0.0,0.0,2.3,0,0,0,0,6,0,0,0,30,16,0,0,0,0,0,0,0,0,31,Fulham
5,17 Sep 20:00,2,2,False,1,4.5,224788,5724,18400,-12676,90,0,0,0,2,0,0,0,0,2,0,12,13.2,0.0,0.0,1.3,0,0,0,1,9,0,0,0,39,21,0,0,0,0,0,0,0,0,47,Southampton
6,22 Sep 17:30,1,2,True,2,4.5,215137,3625,13798,-10173,90,0,0,0,2,0,0,0,0,5,0,20,39.8,0.0,0.0,4.0,0,0,0,0,13,0,0,0,30,19,0,0,0,0,0,0,0,0,52,Spurs
7,29 Sep 15:00,2,0,False,3,4.5,206784,1531,10143,-8612,90,0,0,0,2,0,0,0,0,6,0,20,36.0,0.0,0.0,3.6,0,0,0,1,8,0,0,0,33,15,0,0,0,0,0,0,0,0,67,Man City
8,05 Oct 20:00,1,0,True,9,4.5,204133,3451,6654,-3203,90,0,0,1,0,0,0,0,0,4,2,29,27.4,0.0,0.0,2.7,0,0,0,1,9,0,0,0,23,12,0,0,0,0,0,0,0,0,71,West Ham
9,20 Oct 15:00,0,1,False,11,4.5,216803,18274,7785,10489,90,0,0,1,0,0,0,0,0,6,3,34,38.8,0.0,0.0,3.9,0,0,0,2,9,0,0,0,32,9,0,0,0,0,0,0,0,0,88,Newcastle
10,27 Oct 15:00,1,0,True,10,4.5,252706,35271,3969,31302,90,0,0,1,0,0,0,0,0,7,2,35,42.6,0.0,0.0,4.3,0,0,0,1,11,0,0,0,31,12,0,0,0,0,0,0,0,0,91,Wolves
11,03 Nov 15:00,3,1,False,1,4.5,319509,67069,5980,61089,90,0,0,0,3,0,0,0,0,0,0,8,2.4,0.0,0.0,0.2,0,0,0,0,8,0,0,0,31,12,0,0,0,0,0,0,0,0,105,Everton
12,10 Nov 12:30,2,1,False,2,4.6,370585,50779,5546,45233,90,0,0,0,2,0,0,0,0,3,0,16,19.4,0.0,0.0,1.9,0,0,0,0,12,0,0,0,36,17,0,0,0,0,0,0,0,0,112,Cardiff
13,24 Nov 15:00,1,1,True,2,4.6,367909,12144,12630,-486,90,0,0,0,1,0,0,0,0,2,0,12,19.4,0.0,0.0,1.9,0,0,0,0,6,0,0,0,37,18,0,0,0,0,0,0,0,0,122,Leicester
