,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,0,2,False,0,5.0,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Fulham
2,20 Aug 20:00,0,2,True,0,5.0,1543,102,547,-445,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Liverpool
3,26 Aug 13:30,2,1,False,0,5.0,1202,20,373,-353,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Watford
4,01 Sep 15:00,0,2,True,0,5.0,1058,12,178,-166,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,Southampton
5,15 Sep 15:00,0,1,False,0,5.0,953,5,119,-114,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,Huddersfield
6,22 Sep 15:00,0,0,True,0,5.0,920,8,47,-39,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,Newcastle
7,01 Oct 20:00,2,1,False,0,5.0,885,0,33,-33,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,Bournemouth
8,06 Oct 15:00,0,1,True,0,5.0,866,4,26,-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,Wolves
9,21 Oct 16:00,2,0,False,0,5.0,841,7,35,-28,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,Everton
10,28 Oct 13:30,2,2,True,0,5.0,838,4,10,-6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,Arsenal
11,04 Nov 16:00,3,1,False,0,5.0,822,2,19,-17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,Chelsea
12,10 Nov 17:30,0,1,True,0,5.0,814,5,16,-11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,Spurs
13,24 Nov 15:00,0,0,False,0,5.0,799,1,17,-16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,Man Utd
14,01 Dec 15:00,2,0,True,0,5.0,797,3,6,-3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,Burnley
15,04 Dec 19:45,3,1,False,0,5.0,795,3,7,-4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,Brighton
16,08 Dec 15:00,3,2,False,0,5.0,787,0,8,-8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,West Ham
17,15 Dec 15:00,1,0,True,0,5.0,785,2,7,-5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,Leicester
18,22 Dec 15:00,2,3,False,0,5.0,781,2,6,-4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,Man City
19,26 Dec 15:00,0,0,True,0,5.0,775,0,9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,Cardiff
20,30 Dec 12:00,0,1,True,0,5.0,771,2,6,-4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,Chelsea
21,02 Jan 19:45,0,2,False,0,5.0,775,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,Wolves
22,12 Jan 15:00,1,2,True,0,5.0,771,5,14,-9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,Watford
23,19 Jan 15:00,4,3,False,0,5.0,765,2,8,-6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,Liverpool
24,30 Jan 19:45,1,1,False,0,4.9,794,35,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,Southampton
25,02 Feb 15:00,2,0,True,1,4.9,922,130,28,102,1,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,245,Fulham
26,09 Feb 15:00,1,1,True,0,4.9,1033,139,64,75,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,West Ham
27,23 Feb 17:30,1,4,False,0,4.9,1132,116,75,41,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,Leicester
28,27 Feb 20:00,1,3,True,0,4.9,1150,52,41,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,Man Utd
29,02 Mar 15:00,1,3,False,0,4.9,1173,58,47,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,Burnley
30,09 Mar 12:30,1,2,True,0,4.9,1256,111,55,56,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,Brighton
31,30 Mar 15:00,2,0,True,0,4.9,1223,65,87,-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,Huddersfield
32,03 Apr 19:45,2,0,False,0,4.9,1223,65,87,-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,Spurs
33,06 Apr 15:00,0,1,False,0,4.9,1286,80,34,46,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,Newcastle
34,14 Apr 14:05,1,3,True,1,4.9,1260,44,63,-19,5,0,0,0,1,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,333,Man City
35,21 Apr 16:00,2,3,False,0,4.9,1280,56,48,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,Arsenal
36,27 Apr 15:00,0,0,True,0,4.9,1318,59,35,24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,Everton
37,04 May 17:30,2,3,False,1,4.9,1354,50,23,27,17,0,0,0,1,0,0,0,0,0,0,3,2.0,0.4,0.0,0.2,0,0,0,0,0,0,1,0,6,5,0,0,0,1,1,0,0,0,363,Cardiff
38,12 May 15:00,5,3,True,1,4.9,1416,77,30,47,3,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,373,Bournemouth
