,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 13:30,4.0,0.0,1.0,8.0,13.0,2478960.0,0.0,0.0,0.0,86.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,47.6,29.0,92.0,16.9,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,26.0,22.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,1.0,5.0,West Ham
2,20 Aug 20:00,0.0,2.0,0.0,9.0,13.0,2799491.0,69743.0,30883.0,38860.0,90.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.6,41.5,81.0,15.3,0.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,19.0,13.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,3.0,15.0,Crystal Palace
3,25 Aug 17:30,1.0,0.0,1.0,8.0,13.0,2892383.0,80831.0,75461.0,5370.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,49.0,72.0,82.0,20.3,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,40.0,29.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,2.0,25.0,Brighton
4,01 Sep 12:30,1.0,2.0,0.0,2.0,13.0,2995784.0,79082.0,46535.0,32547.0,70.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,12.5,23.0,4.1,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,22.0,18.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,37.0,Leicester
5,15 Sep 12:30,1.0,2.0,0.0,2.0,13.0,2754458.0,35679.0,297438.0,-261759.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,31.8,74.0,12.2,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,14.0,11.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,48.0,Spurs
6,22 Sep 15:00,3.0,0.0,1.0,8.0,13.0,2419608.0,21189.0,374021.0,-352832.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,34.0,2.9,60.0,9.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,3.0,58.0,Southampton
7,29 Sep 17:30,1.0,1.0,0.0,2.0,12.9,2330574.0,22128.0,128170.0,-106042.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.4,25.7,40.0,7.5,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,31.0,23.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,64.0,Chelsea
8,07 Oct 16:30,0.0,0.0,1.0,3.0,12.9,1992452.0,7940.0,346190.0,-338250.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9,31.0,3.3,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,16.0,11.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,76.0,Man City
9,20 Oct 17:30,0.0,1.0,0.0,8.0,12.8,1681931.0,34581.0,356575.0,-321994.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,43.0,12.5,76.0,13.2,0.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,44.0,34.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,86.0,Huddersfield
10,27 Oct 15:00,4.0,1.0,1.0,15.0,12.9,1978411.0,271983.0,20911.0,251072.0,90.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,47.0,72.4,45.8,56.0,17.4,0.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,50.0,43.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,96.0,Cardiff
11,03 Nov 17:30,1.0,1.0,0.0,2.0,13.0,2050707.0,116970.0,35926.0,81044.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.8,53.7,49.0,11.6,0.0,1.0,1.0,1.0,7.0,4.0,0.0,0.0,23.0,18.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,4.0,101.0,Arsenal
12,11 Nov 12:00,2.0,0.0,1.0,8.0,13.0,2089855.0,65031.0,40687.0,24344.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,41.6,6.3,83.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,11.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,4.0,117.0,Fulham
13,24 Nov 15:00,0.0,3.0,0.0,8.0,13.0,2135344.0,62620.0,26410.0,36210.0,85.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,39.8,4.0,40.0,8.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,18.0,10.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,2.0,128.0,Watford
14,02 Dec 16:15,1.0,0.0,1.0,3.0,13.0,2120181.0,34604.0,46708.0,-12104.0,74.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,49.5,9.0,6.5,0.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,17.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,137.0,Everton
