,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 16:00,0,2,False,1,9.5,663136,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0.0,11.1,1.0,1.2,0,0,0,0,0,1,0,0,7,5,0,0,0,0,0,1,0,0,1,Arsenal
2,19 Aug 13:30,6,1,True,4,9.5,589522,36346,138265,-101919,14,0,1,0,0,0,0,0,0,0,0,11,5.6,5.6,57.0,6.8,0,0,0,0,2,0,0,0,9,8,0,1,0,0,0,0,0,2,18,Huddersfield
3,25 Aug 12:30,1,1,False,1,9.4,408320,15051,203175,-188124,13,0,0,0,0,0,0,0,0,0,0,4,3.0,0.5,0.0,0.4,0,0,0,0,1,0,0,0,6,3,0,0,0,2,0,0,0,3,30,Wolves
4,01 Sep 17:30,2,1,True,0,9.3,284356,3945,134374,-130429,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,Newcastle
5,15 Sep 15:00,3,0,True,9,9.2,208548,3449,84404,-80955,90,1,0,1,0,0,0,0,0,0,1,33,45.2,43.4,73.0,16.2,0,0,0,0,5,2,0,1,54,50,0,0,0,2,2,0,0,1,45,Fulham
6,22 Sep 15:00,0,5,False,6,9.2,232197,27708,10930,16778,90,0,1,1,0,0,0,0,0,0,0,16,22.4,24.1,23.0,7.0,0,2,0,1,3,1,0,0,33,28,0,1,0,3,0,2,0,1,54,Cardiff
7,29 Sep 15:00,2,0,True,6,9.2,272021,44500,9891,34609,70,0,1,1,0,0,0,0,0,0,0,25,30.0,37.7,52.0,12.0,0,0,1,1,4,3,1,0,39,34,0,0,0,2,0,1,0,0,67,Brighton
8,07 Oct 16:30,0,0,False,1,9.2,289787,35295,16643,18652,14,0,0,0,0,0,0,0,0,0,0,3,0.0,0.7,4.0,0.5,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,76,Liverpool
9,20 Oct 15:00,5,0,True,7,9.2,302206,36879,28794,8085,90,1,0,1,0,0,0,1,0,0,0,22,42.6,28.8,81.0,15.2,0,0,0,0,2,2,0,0,33,24,0,0,0,4,0,0,1,2,87,Burnley
10,29 Oct 20:00,0,1,False,0,9.2,299244,18942,22591,-3649,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,Spurs
11,04 Nov 15:00,6,1,True,14,9.2,263312,5262,42065,-36803,90,1,2,0,1,0,0,0,0,0,1,42,54.4,31.9,45.0,13.1,0,0,0,0,3,2,0,0,49,42,0,1,0,2,1,2,0,1,107,Southampton
12,11 Nov 16:30,3,1,True,1,9.2,269276,16600,14189,2411,28,0,0,0,0,0,0,0,0,0,0,2,2.6,13.7,3.0,1.9,0,0,0,0,1,1,0,0,19,17,0,0,0,3,0,1,0,2,118,Man Utd
13,24 Nov 15:00,0,4,False,19,9.2,266913,14099,18912,-4813,90,2,1,1,0,0,0,0,0,0,3,62,100.8,47.3,100.0,24.8,0,1,1,0,6,3,1,0,52,44,0,0,0,9,0,0,0,5,129,West Ham
14,01 Dec 15:00,3,1,True,5,9.3,463012,190385,4620,185765,90,0,1,0,1,0,0,0,0,0,0,29,33.2,36.8,46.0,11.6,0,0,1,1,4,3,1,0,42,36,0,0,0,0,1,1,0,3,138,Bournemouth
15,04 Dec 20:00,1,2,False,7,9.4,626720,175355,16757,158598,90,1,0,0,1,0,0,0,0,0,0,25,44.2,32.8,50.0,12.7,0,0,0,1,5,2,0,0,46,41,0,1,0,3,2,0,2,4,146,Watford
16,08 Dec 17:30,2,0,False,1,9.5,787924,187716,28235,159481,52,0,0,0,1,0,0,0,0,0,0,1,6.2,26.8,32.0,6.5,0,0,0,0,4,2,1,0,18,14,0,0,0,6,2,0,1,2,155,Chelsea
17,15 Dec 12:30,3,1,True,10,9.6,873533,135105,54900,80205,65,0,2,0,1,0,0,0,0,0,2,36,38.8,41.7,26.0,10.7,0,1,2,0,3,3,0,0,26,20,0,0,0,0,0,0,0,1,166,Everton
18,22 Dec 15:00,2,3,True,2,9.7,1046248,181828,19746,162082,90,0,0,0,3,0,0,0,0,0,0,1,7.4,49.1,53.0,11.0,0,0,0,0,4,2,0,0,47,42,0,0,0,8,1,2,2,1,177,Crystal Palace
19,26 Dec 15:00,2,1,False,2,9.7,950807,44009,131234,-87225,90,0,0,0,2,0,0,0,0,0,0,11,12.6,16.6,39.0,6.8,0,0,1,1,2,1,1,0,36,32,0,0,0,8,0,1,0,4,185,Leicester
20,30 Dec 14:15,1,3,False,1,9.6,754448,17374,215415,-198041,6,0,0,0,0,0,0,0,0,0,0,0,0.4,1.1,0.0,0.2,0,0,0,0,1,0,0,0,5,5,0,0,0,3,0,0,0,0,198,Southampton
21,03 Jan 20:00,2,1,True,10,9.5,573174,11462,197054,-185592,90,1,0,0,1,0,0,0,0,0,3,34,43.2,15.1,27.0,8.5,0,0,0,1,6,1,2,1,42,30,0,0,0,3,1,0,0,2,207,Liverpool
22,14 Jan 20:00,3,0,True,8,9.5,697297,168307,59207,109100,73,0,1,1,0,0,0,0,0,0,2,30,23.2,32.0,46.0,10.1,0,0,2,0,5,2,1,0,43,39,0,0,0,3,1,1,0,3,218,Wolves
23,20 Jan 13:30,0,3,False,12,9.6,949413,288164,44220,243944,71,1,1,1,0,0,0,0,0,0,1,32,52.4,17.1,19.0,8.9,0,1,1,0,1,1,0,0,21,16,0,0,0,7,0,0,1,2,224,Huddersfield
24,29 Jan 20:00,2,1,False,2,9.7,1138116,213443,27584,185859,72,0,0,0,1,0,0,0,0,0,0,6,5.2,14.8,28.0,4.8,0,0,0,0,4,1,0,0,29,24,0,0,0,2,0,0,1,1,238,Newcastle
25,03 Feb 16:30,3,1,True,0,9.8,1349098,217253,46157,171096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,Arsenal
26,06 Feb 19:45,0,2,False,1,9.8,1349098,217253,46157,171096,58,0,0,0,0,0,0,0,0,0,0,0,6.4,14.9,17.0,3.8,0,0,0,1,2,1,0,0,22,18,0,0,0,2,3,1,0,2,266,Everton
27,10 Feb 16:00,6,0,True,0,9.6,912684,15825,409018,-393193,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,Chelsea
28,27 Feb 20:00,1,0,True,1,9.5,652126,52911,38754,14157,56,0,0,0,0,0,0,0,0,0,0,11,6.8,7.3,6.0,2.0,0,0,0,2,5,0,1,0,32,29,0,0,0,3,2,0,0,3,278,West Ham
29,02 Mar 15:00,0,1,False,0,9.4,573212,14506,92666,-78160,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,Bournemouth
30,09 Mar 17:30,3,1,True,1,9.4,519356,12710,67597,-54887,26,0,0,0,1,0,0,0,0,0,0,-2,0.0,5.1,18.0,2.3,0,0,0,0,1,0,1,0,14,12,0,1,0,2,0,1,1,0,298,Watford
