,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 17:30,2,2,True,0,4.5,13736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Everton
2,18 Aug 15:00,2,0,False,0,4.5,12124,98,2496,-2398,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Leicester
3,25 Aug 12:30,1,1,True,0,4.4,10130,170,2406,-2236,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,Man City
4,01 Sep 15:00,0,1,False,0,4.4,8897,75,1461,-1386,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,West Ham
5,16 Sep 13:30,1,0,True,0,4.3,8153,137,1026,-889,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Burnley
6,22 Sep 15:00,1,1,False,1,4.3,7582,65,699,-634,10,0,0,0,0,0,0,0,0,0,0,5,12.0,0.0,0.0,1.2,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,1,0,59,Man Utd
7,29 Sep 15:00,2,0,True,0,4.3,7310,67,394,-327,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,Southampton
8,06 Oct 15:00,0,1,False,1,4.3,7053,36,317,-281,6,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,0.0,0.1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,73,Crystal Palace
9,20 Oct 15:00,0,2,True,0,4.2,6958,212,397,-185,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,Watford
10,27 Oct 15:00,1,0,False,0,4.2,6755,59,277,-218,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,Brighton
11,03 Nov 19:45,2,3,True,0,4.2,6560,33,240,-207,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,Spurs
12,11 Nov 16:30,1,1,False,0,4.2,6445,36,169,-133,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,Arsenal
13,25 Nov 16:00,0,2,True,0,4.2,6376,70,162,-92,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,Huddersfield
14,30 Nov 20:00,2,1,False,0,4.2,6319,30,92,-62,90,0,0,0,2,0,0,1,0,0,0,15,38.6,0.5,0.0,3.9,0,0,0,16,6,0,2,0,34,23,0,0,0,0,0,0,2,0,132,Cardiff
15,05 Dec 19:45,2,1,True,1,4.2,6229,26,122,-96,90,0,0,0,1,0,0,1,0,0,0,9,7.4,0.9,4.0,1.2,0,0,0,5,5,0,3,0,31,23,0,0,0,0,0,1,4,0,148,Chelsea
16,09 Dec 16:00,1,2,False,1,4.2,6235,78,114,-36,59,0,0,0,1,0,0,0,0,0,0,13,9.2,1.2,0.0,1.0,0,0,0,4,5,0,2,0,30,25,0,0,0,0,0,0,1,0,159,Newcastle
17,15 Dec 15:00,2,0,True,1,4.2,6200,93,143,-50,15,0,0,0,0,0,0,0,0,0,0,5,3.8,0.2,2.0,0.6,0,0,0,2,3,0,1,0,11,8,0,0,0,0,0,0,2,0,170,Bournemouth
18,21 Dec 20:00,0,2,True,1,4.2,6159,63,128,-65,90,0,0,0,2,0,0,0,0,0,0,12,23.4,3.0,36.0,6.2,0,0,0,7,5,0,0,0,60,47,0,0,0,1,0,0,1,2,180,Liverpool
19,26 Dec 12:30,1,1,False,10,4.2,6409,324,146,178,90,1,0,0,1,0,0,1,0,0,3,26,50.8,33.4,34.0,11.8,0,2,0,1,8,2,1,0,110,88,0,0,0,0,0,1,1,1,184,Fulham
20,29 Dec 15:00,1,3,False,0,4.2,9169,2642,450,2192,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,Spurs
21,02 Jan 19:45,0,2,True,5,4.2,9117,905,788,117,72,0,0,1,0,0,0,1,0,0,0,22,14.6,2.6,8.0,2.5,0,0,0,1,7,0,1,0,57,47,0,0,0,1,0,0,1,1,210,Crystal Palace
22,14 Jan 20:00,3,0,False,1,4.2,10439,2519,1439,1080,31,0,0,0,1,0,0,0,0,0,0,4,10.6,0.2,0.0,1.1,0,0,0,4,2,0,0,0,14,8,0,0,0,0,0,0,1,0,218,Man City
