,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,19 Aug 13:30,6.0,1.0,0.0,-2.0,4.5,147672.0,324.0,18384.0,-18060.0,90.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,29.0,10.7,4.0,4.4,0.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,Man City
2,25 Aug 15:00,0.0,0.0,1.0,9.0,4.5,131277.0,1315.0,18703.0,-17388.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,24.4,0.9,2.0,2.7,0.0,0.0,0.0,7.0,4.0,0.0,2.0,0.0,50.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,Cardiff
3,01 Sep 15:00,1.0,1.0,0.0,2.0,4.5,132527.0,5451.0,6543.0,-1092.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.3,6.0,1.2,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,31.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,Everton
4,15 Sep 15:00,0.0,1.0,1.0,2.0,4.4,126168.0,1935.0,8549.0,-6614.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.6,0.4,9.0,1.8,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,73.0,60.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,44.0,Crystal Palace
5,22 Sep 15:00,3.0,1.0,0.0,1.0,4.4,121056.0,1324.0,6829.0,-5505.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,10.6,2.0,2.7,0.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,31.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,Leicester
6,29 Sep 15:00,0.0,2.0,1.0,1.0,4.4,114819.0,340.0,6583.0,-6243.0,70.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.6,0.0,0.0,0.8,0.0,0.0,0.0,8.0,3.0,0.0,1.0,0.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,66.0,Spurs
7,06 Oct 15:00,1.0,1.0,0.0,8.0,4.4,103902.0,45.0,10833.0,-10788.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,49.8,0.0,23.0,7.3,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,83.0,68.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,72.0,Burnley
8,20 Oct 17:30,0.0,1.0,1.0,2.0,4.3,105373.0,4768.0,4519.0,249.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,24.0,0.2,4.0,2.8,0.0,0.0,0.0,5.0,3.0,0.0,4.0,0.0,62.0,55.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,86.0,Liverpool
9,27 Oct 15:00,3.0,0.0,0.0,1.0,4.3,105831.0,3155.0,2813.0,342.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.4,0.3,0.0,1.4,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,64.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,Watford
10,05 Nov 20:00,1.0,0.0,1.0,11.0,4.3,106829.0,4105.0,3526.0,579.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,7.8,0.3,4.0,1.2,0.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,32.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,106.0,Fulham
11,10 Nov 15:00,1.0,1.0,1.0,2.0,4.3,119030.0,13250.0,2649.0,10601.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,21.2,0.0,0.0,2.1,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,West Ham
12,25 Nov 16:00,0.0,2.0,0.0,8.0,4.3,128876.0,13562.0,4032.0,9530.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,25.8,0.3,0.0,2.6,0.0,0.0,0.0,11.0,3.0,0.0,3.0,0.0,36.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,Wolves
13,01 Dec 15:00,1.0,2.0,1.0,1.0,4.3,166724.0,37182.0,2835.0,34347.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.2,0.0,0.0,1.6,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,Brighton
14,04 Dec 19:45,2.0,1.0,0.0,1.0,4.3,175310.0,16721.0,7353.0,9368.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.8,1.9,8.0,2.7,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,78.0,69.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,141.0,Bournemouth
15,08 Dec 15:00,1.0,0.0,0.0,2.0,4.3,180400.0,12492.0,7033.0,5459.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.6,1.3,0.0,0.9,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,27.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,151.0,Arsenal
16,15 Dec 15:00,0.0,1.0,1.0,2.0,4.4,206695.0,29650.0,6076.0,23574.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.4,1.2,12.0,1.8,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,65.0,58.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,164.0,Newcastle
17,22 Dec 15:00,1.0,3.0,1.0,1.0,4.4,215693.0,15955.0,6738.0,9217.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.5,6.0,1.1,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,62.0,55.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,176.0,Southampton
18,26 Dec 15:00,3.0,1.0,0.0,1.0,4.4,204365.0,3004.0,13063.0,-10059.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.4,0.4,2.0,1.5,0.0,0.0,0.0,4.0,6.0,0.0,1.0,0.0,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,187.0,Man Utd
19,29 Dec 15:00,1.0,0.0,0.0,2.0,4.4,196435.0,3130.0,11722.0,-8592.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.8,0.0,17.0,3.6,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,76.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,Fulham
20,02 Jan 19:45,1.0,2.0,1.0,-3.0,4.4,191829.0,3851.0,9244.0,-5393.0,40.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.0,3.2,0.0,34.0,3.7,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,206.0,Burnley
21,12 Jan 15:00,0.0,0.0,0.0,5.0,4.3,171070.0,1006.0,21608.0,-20602.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,17.0,0.1,2.0,1.9,0.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,33.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,213.0,Cardiff
22,20 Jan 13:30,0.0,3.0,1.0,1.0,4.3,159254.0,2036.0,14095.0,-12059.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,25.8,0.5,2.0,2.8,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,28.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,Man City
23,29 Jan 19:45,0.0,1.0,1.0,2.0,4.3,154244.0,1299.0,6684.0,-5385.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.6,1.4,0.0,1.5,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,72.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,Everton
24,02 Feb 15:00,5.0,0.0,0.0,0.0,4.3,149345.0,1167.0,5072.0,-3905.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,35.4,0.0,0.0,3.5,0.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,32.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,Chelsea
25,09 Feb 15:00,1.0,2.0,1.0,0.0,4.3,145599.0,853.0,5685.0,-4832.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,17.2,0.5,0.0,1.8,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,33.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,254.0,Arsenal
26,23 Feb 15:00,2.0,0.0,0.0,1.0,4.2,142990.0,3048.0,5122.0,-2074.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,33.8,0.8,6.0,4.1,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,59.0,53.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,269.0,Newcastle
27,26 Feb 19:45,1.0,0.0,1.0,6.0,4.2,144765.0,3926.0,3108.0,818.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,19.0,0.6,0.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,57.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,274.0,Wolves
28,02 Mar 15:00,1.0,0.0,0.0,2.0,4.2,149761.0,7243.0,2431.0,4812.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,0.6,0.0,1.6,0.0,0.0,0.0,4.0,7.0,0.0,1.0,0.0,52.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,Brighton
29,09 Mar 15:00,0.0,2.0,1.0,1.0,4.2,153611.0,6841.0,3084.0,3757.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.6,0.8,0.0,0.8,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,45.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,295.0,Bournemouth
30,16 Mar 15:00,4.0,3.0,0.0,0.0,4.2,181028.0,7981.0,2945.0,5036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,West Ham
31,30 Mar 15:00,2.0,0.0,0.0,1.0,4.2,145703.0,3047.0,10954.0,-7907.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.0,0.6,17.0,3.8,0.0,0.0,0.0,7.0,7.0,0.0,2.0,0.0,54.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,Crystal Palace
32,06 Apr 15:00,1.0,4.0,1.0,0.0,4.2,150226.0,1876.0,2987.0,-1111.0,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,27.2,0.3,2.0,3.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,33.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,Leicester
33,13 Apr 12:30,4.0,0.0,0.0,0.0,4.2,141135.0,983.0,9706.0,-8723.0,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,0.0,0.0,1.7,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,Spurs
34,20 Apr 15:00,1.0,2.0,1.0,1.0,4.2,135054.0,1122.0,6546.0,-5424.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,0.0,0.0,1.2,0.0,0.0,0.0,5.0,3.0,0.0,2.0,0.0,31.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,346.0,Watford
35,26 Apr 20:00,5.0,0.0,0.0,0.0,4.2,133637.0,780.0,2889.0,-2109.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,22.2,0.0,0.0,2.2,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,25.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,356.0,Liverpool
36,05 May 14:00,1.0,1.0,1.0,2.0,4.2,130783.0,657.0,3455.0,-2798.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,38.8,0.0,0.0,3.9,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,366.0,Man Utd
37,12 May 15:00,1.0,1.0,0.0,2.0,4.2,128534.0,992.0,3074.0,-2082.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,22.6,0.1,7.0,3.0,0.0,0.0,0.0,7.0,5.0,0.0,2.0,0.0,32.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,378.0,Southampton
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
