entry,value
player_id,192
web_name,Schindler
team,Huddersfield
first_name,Christopher
second_name,Schindler
cost_end,4.2
value_form,0.3
value_season,18.1
cost_change_start,-0.3
cost_start,4.5
dreamteam_count,1
selected_by_percent,2.0
total_points,76
ppg,2.1
minutes,3260
goals_scored,1
assists,1
clean_sheets,5
goals_conceded,72
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,1
saves,0
bonus,7
bps,517
influence,679.4
creativity,35.8
threat,169.0
ict_index,88.7
ea_index,0
position,Defender
