,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,10 Aug 20:00,2,1,False,2,5.0,230133,0,0,0,90,0,0,0,2,0,0,0,0,4,0,16,25.6,0.0,4.0,3.0,0,0,0,1,10,0,0,0,18,14,0,0,0,0,0,1,0,0,6,Man Utd
2,18 Aug 15:00,2,0,True,6,5.0,277560,11389,10768,621,90,0,0,1,0,0,0,0,0,2,0,25,15.2,0.0,0.0,1.5,0,0,0,0,11,0,0,0,30,16,0,0,0,0,0,0,0,0,17,Wolves
3,25 Aug 15:00,1,2,False,3,5.0,303309,22407,14560,7847,90,0,0,0,1,0,0,0,0,4,0,17,33.0,0.0,0.0,3.3,0,0,0,3,6,0,0,0,25,15,0,0,0,0,0,0,0,0,28,Southampton
4,01 Sep 12:30,1,2,True,1,5.0,307235,11512,15932,-4420,90,0,0,0,2,0,0,0,0,2,0,11,16.2,0.0,0.0,1.6,0,0,0,0,4,0,0,0,27,22,0,0,0,0,0,0,0,0,37,Liverpool
5,15 Sep 15:00,4,2,False,-1,5.0,316827,17909,16941,968,90,0,0,0,4,0,0,1,0,1,0,7,11.0,0.0,0.0,1.1,0,0,0,1,7,0,0,0,26,15,0,0,0,0,0,0,0,0,41,Bournemouth
6,22 Sep 15:00,3,1,True,2,5.0,313163,9877,16697,-6820,90,0,0,0,1,0,0,0,0,1,0,9,11.8,0.0,0.0,1.2,0,0,0,0,4,0,0,0,26,19,0,0,0,0,0,0,0,0,57,Huddersfield
7,29 Sep 15:00,0,2,False,6,5.0,303498,2805,13630,-10825,90,0,0,1,0,0,0,0,0,1,0,25,9.2,0.0,0.0,0.9,0,0,0,1,10,0,0,0,37,26,0,0,0,0,0,0,0,0,68,Newcastle
8,06 Oct 15:00,1,2,True,3,5.0,304018,5525,6991,-1466,90,0,0,0,2,0,0,0,0,6,0,22,43.0,0.0,0.0,4.3,0,0,0,4,6,0,0,0,28,15,0,0,0,0,0,0,0,0,75,Everton
9,22 Oct 20:00,3,1,False,2,5.0,294336,2520,13442,-10922,90,0,0,0,3,0,0,0,0,3,0,14,23.0,0.0,0.0,2.3,0,0,0,0,7,0,0,0,24,15,0,0,0,0,0,0,0,0,81,Arsenal
10,27 Oct 17:30,1,1,True,2,5.0,293433,4533,7237,-2704,90,0,0,0,1,0,0,0,0,2,0,12,19.8,0.0,0.0,2.0,0,0,0,0,6,0,0,0,19,19,0,0,0,0,0,0,0,0,95,West Ham
11,03 Nov 15:00,0,1,False,8,5.0,289889,4229,8865,-4636,90,0,0,1,0,0,0,0,0,2,2,27,19.4,0.0,0.0,1.9,0,0,0,3,6,0,0,0,35,25,0,0,0,0,0,0,0,0,103,Cardiff
12,10 Nov 15:00,0,0,True,6,5.0,302918,13152,4191,8961,90,0,0,1,0,0,0,0,0,1,0,23,15.4,0.0,0.0,1.5,0,0,0,0,9,0,0,0,27,18,0,0,0,0,0,0,0,0,116,Burnley
13,24 Nov 15:00,1,1,False,2,5.0,300852,4598,6090,-1492,90,0,0,0,1,0,0,0,0,2,0,13,21.4,0.0,0.0,2.1,0,0,0,0,5,0,0,0,35,27,0,0,0,0,0,0,0,0,122,Brighton
14,01 Dec 15:00,2,0,True,6,5.0,300675,3461,5000,-1539,90,0,0,1,0,0,0,0,0,0,0,22,3.6,0.0,0.0,0.4,0,0,0,4,8,0,0,0,27,14,0,0,0,0,0,0,0,0,136,Watford
15,05 Dec 19:45,1,1,False,5,5.0,300557,3062,4148,-1086,90,0,0,0,1,0,0,0,0,6,1,22,42.2,0.0,0.0,4.2,0,0,0,1,12,0,0,0,47,31,0,0,0,0,0,0,0,0,144,Fulham
16,08 Dec 19:45,0,2,True,1,5.0,295525,1621,6506,-4885,90,0,0,0,2,0,0,0,0,0,0,7,2.0,0.0,0.0,0.2,0,0,0,0,7,0,0,0,37,25,0,0,0,0,0,0,0,0,157,Spurs
17,15 Dec 15:00,1,0,False,2,5.0,293988,2456,5747,-3291,90,0,0,0,1,0,0,0,0,0,0,6,4.6,0.0,0.0,0.5,0,0,0,1,2,0,0,0,28,23,0,0,0,0,0,0,0,0,162,Crystal Palace
18,22 Dec 15:00,0,1,False,10,5.0,285366,820,9806,-8986,90,0,0,1,0,0,0,0,0,5,3,32,33.4,0.0,0.0,3.3,0,0,0,1,11,0,0,0,35,22,0,0,0,0,0,0,0,1,174,Chelsea
19,26 Dec 15:00,2,1,True,3,5.0,287987,5878,5076,802,90,0,0,0,1,0,0,0,0,3,0,16,19.0,0.0,0.0,1.9,0,0,0,1,12,0,0,0,32,16,0,0,0,0,0,0,0,0,185,Man City
20,29 Dec 15:00,0,1,True,2,5.0,313154,22328,4256,18072,90,0,0,0,1,0,0,0,0,2,0,12,16.4,0.0,0.0,1.6,0,0,0,2,5,0,0,0,29,19,0,0,0,0,0,0,0,0,195,Cardiff
21,01 Jan 12:30,0,1,False,6,5.0,303610,6621,12318,-5697,90,0,0,1,0,0,0,0,0,2,0,25,18.0,0.0,0.0,1.8,0,0,0,1,9,0,0,0,27,10,0,0,0,0,0,0,0,0,205,Everton
22,12 Jan 15:00,1,2,True,1,5.0,321412,23385,9804,13581,90,0,0,0,2,0,0,0,0,1,0,9,12.2,0.0,0.0,1.2,0,0,0,0,4,0,0,0,27,21,0,0,0,0,0,0,0,0,217,Southampton
23,19 Jan 12:30,4,3,False,1,5.0,306771,2976,17287,-14311,90,0,0,0,4,0,0,0,0,3,0,20,26.8,0.0,0.0,2.7,0,0,0,2,15,0,1,0,25,14,0,0,0,0,0,0,0,0,230,Wolves
24,30 Jan 20:00,1,1,False,2,5.0,295411,1327,13752,-12425,90,0,0,0,1,0,0,0,0,2,0,11,17.4,0.0,0.0,1.7,0,0,0,0,5,0,0,0,26,7,0,0,0,0,0,0,0,0,237,Liverpool
25,03 Feb 14:05,0,1,True,3,5.0,290864,1430,5742,-4312,90,0,0,0,1,0,0,0,0,5,0,17,34.8,0.0,0.0,3.5,0,0,0,0,8,0,0,0,19,10,0,0,0,0,0,0,0,0,247,Man Utd
26,10 Feb 13:30,3,1,False,1,5.0,289474,2501,5788,-3287,90,0,0,0,3,0,0,0,0,2,0,11,15.0,0.0,0.0,1.5,0,0,0,0,4,0,0,0,24,15,0,0,0,0,0,0,0,0,258,Spurs
27,23 Feb 17:30,1,4,True,-1,5.0,299614,10594,5161,5433,90,0,0,0,4,0,0,1,0,1,0,2,3.2,0.0,0.0,0.3,0,0,0,0,1,0,0,0,7,6,0,0,1,0,0,0,0,0,267,Crystal Palace
28,26 Feb 19:45,2,1,True,2,5.0,297290,4752,4158,594,90,0,0,0,1,0,0,0,0,2,0,12,15.2,0.0,0.0,1.5,0,0,0,0,6,0,0,0,26,17,0,0,0,0,0,0,0,0,275,Brighton
29,03 Mar 12:00,2,1,False,2,5.0,295811,3015,4681,-1666,90,0,0,0,2,0,0,0,0,3,0,13,24.8,0.0,0.0,2.5,0,0,0,1,3,0,0,0,27,19,0,0,0,0,0,0,0,0,288,Watford
30,09 Mar 15:00,3,1,True,2,5.0,299720,6639,3645,2994,90,0,0,0,1,0,0,0,0,2,0,10,19.8,0.0,0.0,2.0,0,0,0,1,2,0,0,0,25,20,0,0,0,0,0,0,0,0,296,Fulham
31,16 Mar 15:00,1,2,False,2,5.0,329816,11628,3724,7904,90,0,0,0,1,0,0,0,0,1,0,11,10.8,0.0,0.0,1.1,0,0,0,2,8,0,0,0,46,14,0,0,0,0,0,0,0,0,303,Burnley
32,30 Mar 15:00,2,0,True,6,5.0,296403,3441,10817,-7376,90,0,0,1,0,0,0,0,0,2,0,27,18.4,0.0,0.0,1.8,0,0,0,0,9,0,0,0,44,32,0,0,0,0,0,0,0,0,317,Bournemouth
33,06 Apr 15:00,1,4,False,3,5.0,349485,37611,2525,35086,90,0,0,0,1,0,0,0,0,3,0,15,30.4,0.0,0.0,3.0,0,0,0,0,5,0,0,0,44,34,0,0,0,0,0,0,0,0,324,Huddersfield
34,12 Apr 20:00,0,1,True,2,5.0,325818,2595,13983,-11388,90,0,0,0,1,0,0,1,0,4,0,14,34.0,0.0,0.0,3.4,0,0,0,0,11,0,0,0,20,16,0,0,0,0,0,0,0,0,335,Newcastle
35,20 Apr 15:00,2,2,False,1,5.0,311979,1169,14294,-13125,90,0,0,0,2,0,0,0,0,1,0,11,12.2,0.0,0.0,1.2,0,0,0,1,10,0,0,0,23,16,0,0,0,0,0,0,0,0,349,West Ham
36,28 Apr 12:00,3,0,True,6,5.0,306973,827,7192,-6365,90,0,0,1,0,0,0,0,0,1,0,27,14.4,10.0,0.0,2.4,0,0,1,0,10,1,0,0,27,24,0,0,0,0,0,0,0,0,355,Arsenal
37,06 May 20:00,1,0,False,3,5.0,301417,977,6816,-5839,90,0,0,0,1,0,0,0,0,4,0,15,34.6,0.0,0.0,3.5,0,0,0,1,4,0,0,0,49,34,0,0,0,0,0,0,0,0,367,Man City
38,12 May 15:00,0,0,True,7,5.0,299126,1952,4413,-2461,90,0,0,1,0,0,0,0,0,4,0,30,29.6,0.0,0.0,3.0,0,0,0,0,7,0,0,0,40,30,0,0,0,0,0,0,0,0,375,Chelsea
