,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 17:30,2,2,False,2,4.5,115922,0,0,0,90,0,0,0,2,0,0,0,0,0,0,14,11.8,4.4,0.0,1.6,0,0,0,4,7,0,1,0,51,44,0,0,0,0,0,0,2,0,10,Wolves
2,18 Aug 15:00,2,1,True,4,4.5,137872,15259,12047,3212,23,0,1,0,0,0,0,0,0,0,0,18,21.4,23.8,2.0,4.7,0,0,1,0,3,2,0,0,13,13,0,0,0,0,0,0,0,0,16,Southampton
3,25 Aug 15:00,2,2,False,0,4.5,128263,22976,34680,-11704,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,Bournemouth
4,01 Sep 15:00,1,1,True,1,4.5,121415,9696,18503,-8807,90,0,0,0,1,0,0,1,0,0,0,14,17.6,13.8,0.0,3.1,0,0,0,5,5,1,2,0,74,69,0,0,0,0,0,0,3,0,36,Huddersfield
5,16 Sep 16:00,1,3,True,1,4.5,121166,7771,9930,-2159,43,0,0,0,2,0,0,0,0,0,0,7,3.0,12.5,0.0,1.6,0,0,0,0,2,1,0,0,34,33,0,0,0,0,0,0,3,0,43,West Ham
6,23 Sep 16:00,2,0,False,0,4.5,113668,2035,9690,-7655,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,Arsenal
7,29 Sep 15:00,3,0,True,1,4.5,105934,834,8781,-7947,1,0,0,0,0,0,0,0,0,0,0,3,1.6,0.2,0.0,0.2,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,65,Fulham
8,06 Oct 15:00,1,2,False,1,4.5,101887,834,5198,-4364,1,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,75,Leicester
9,21 Oct 16:00,2,0,True,0,4.4,98995,2431,5933,-3502,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,Crystal Palace
10,28 Oct 16:00,2,1,False,0,4.4,94804,867,5022,-4155,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,Man Utd
11,03 Nov 15:00,3,1,True,0,4.4,90245,930,5756,-4826,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,Brighton
