,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,01 Sep 15:00,1,1,False,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,Everton
2,15 Sep 15:00,0,1,True,0,4.0,3251,2392,651,1741,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,Crystal Palace
3,22 Sep 15:00,3,1,False,0,4.0,4134,885,254,631,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,Leicester
4,29 Sep 15:00,0,2,True,0,4.0,4764,585,244,341,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,Spurs
5,06 Oct 15:00,1,1,False,0,4.0,5460,669,246,423,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,Burnley
6,20 Oct 17:30,0,1,True,0,4.0,6037,794,307,487,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,Liverpool
7,27 Oct 15:00,3,0,False,0,4.0,6459,472,191,281,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Watford
8,05 Nov 20:00,1,0,True,0,4.0,6939,578,258,320,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,Fulham
9,10 Nov 15:00,1,1,True,0,4.0,7395,506,197,309,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,West Ham
10,25 Nov 16:00,0,2,False,0,4.0,7905,571,201,370,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,Wolves
11,01 Dec 15:00,1,2,True,0,4.0,8040,327,117,210,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,Brighton
12,04 Dec 19:45,2,1,False,0,4.0,8291,313,137,176,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,Bournemouth
13,08 Dec 15:00,1,0,False,0,4.0,8624,341,171,170,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,Arsenal
14,15 Dec 15:00,0,1,True,0,4.0,8958,475,196,279,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,Newcastle
15,22 Dec 15:00,1,3,True,0,4.0,9163,321,187,134,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,Southampton
16,26 Dec 15:00,3,1,False,0,4.0,9450,394,203,191,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,Man Utd
17,29 Dec 15:00,1,0,False,0,4.0,9426,213,243,-30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,Fulham
18,02 Jan 19:45,1,2,True,0,4.0,9238,184,388,-204,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,Burnley
19,12 Jan 15:00,0,0,False,0,4.0,8853,178,616,-438,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,Cardiff
20,20 Jan 13:30,0,3,True,0,4.0,8212,90,717,-627,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,Man City
21,29 Jan 19:45,0,1,True,0,4.0,7878,13,369,-356,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,Everton
22,02 Feb 15:00,5,0,False,0,4.0,7617,13,250,-237,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,Chelsea
23,09 Feb 15:00,1,2,True,0,4.0,7367,10,289,-279,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,Arsenal
24,23 Feb 15:00,2,0,False,0,4.0,7068,17,295,-278,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,Newcastle
25,26 Feb 19:45,1,0,True,0,4.0,6974,2,121,-119,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,Wolves
26,02 Mar 15:00,1,0,False,0,4.0,6892,10,102,-92,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,Brighton
27,09 Mar 15:00,0,2,True,0,4.0,6773,8,125,-117,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,Bournemouth
28,16 Mar 15:00,4,3,False,0,4.0,6637,20,118,-98,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,West Ham
29,30 Mar 15:00,2,0,False,0,4.0,6394,23,183,-160,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,Crystal Palace
30,06 Apr 15:00,1,4,True,0,4.0,6424,7,102,-95,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,Leicester
31,13 Apr 12:30,4,0,False,0,4.0,6184,4,251,-247,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,Spurs
32,20 Apr 15:00,1,2,True,0,4.0,6083,13,112,-99,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,Watford
33,26 Apr 20:00,5,0,False,0,4.0,6033,8,61,-53,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,Liverpool
34,05 May 14:00,1,1,True,0,4.0,5978,12,72,-60,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,Man Utd
35,12 May 15:00,1,1,False,0,4.0,5903,30,110,-80,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,Southampton
