entry,value
player_id,478
web_name,Schürrle
team,Fulham
first_name,André
second_name,Schürrle
cost_end,5.5
value_form,0.0
value_season,13.6
cost_change_start,-0.5
cost_start,6.0
dreamteam_count,1
selected_by_percent,2.1
total_points,75
ppg,3.1
minutes,1638
goals_scored,6
assists,0
clean_sheets,2
goals_conceded,43
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,2
bps,260
influence,361.8
creativity,310.6
threat,474.0
ict_index,114.0
ea_index,0
position,Midfielder
