,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,10 Aug 20:00,2.0,1.0,1.0,11.0,5.0,162866.0,0.0,0.0,0.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,60.8,14.5,36.0,11.1,0.0,0.0,0.0,7.0,8.0,1.0,0.0,1.0,67.0,57.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,Leicester
2,19 Aug 16:00,3.0,2.0,0.0,4.0,5.1,533733.0,238816.0,19503.0,219313.0,90.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13.6,2.0,19.0,3.5,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,49.0,41.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,11.0,Brighton
3,27 Aug 20:00,0.0,3.0,1.0,1.0,5.1,492265.0,76958.0,121372.0,-44414.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,43.1,5.0,6.6,0.0,2.0,0.0,4.0,6.0,3.0,0.0,0.0,63.0,49.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,26.0,Spurs
4,02 Sep 16:00,0.0,2.0,0.0,5.0,5.1,495063.0,60018.0,73234.0,-13216.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,20.6,14.0,38.0,7.3,0.0,0.0,0.0,7.0,3.0,1.0,0.0,0.0,47.0,42.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,32.0,Burnley
5,15 Sep 17:30,1.0,2.0,0.0,0.0,5.1,514037.0,100913.0,96648.0,4265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,Watford
6,22 Sep 15:00,1.0,1.0,1.0,1.0,5.1,582557.0,88671.0,29793.0,58878.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,14.6,19.6,8.0,4.2,0.0,1.0,0.0,4.0,5.0,1.0,0.0,0.0,76.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,Wolves
7,29 Sep 12:30,3.0,1.0,0.0,4.0,5.1,592419.0,36809.0,29815.0,6994.0,90.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,28.4,49.3,2.0,8.0,0.0,0.0,0.0,3.0,6.0,3.0,0.0,0.0,53.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,69.0,West Ham
8,06 Oct 17:30,3.0,2.0,1.0,0.0,5.1,607182.0,30318.0,24305.0,6013.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,10.8,5.8,4.0,2.1,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,72.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,77.0,Newcastle
9,20 Oct 12:30,2.0,2.0,0.0,1.0,5.1,478005.0,5385.0,124397.0,-119012.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,26.0,15.3,0.0,4.1,0.0,1.0,1.0,6.0,4.0,1.0,1.0,0.0,43.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,84.0,Chelsea
10,28 Oct 16:00,2.0,1.0,1.0,2.0,5.1,473835.0,12224.0,24243.0,-12019.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.4,13.3,0.0,3.0,0.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,49.0,41.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,97.0,Everton
