,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 12:30,1,2,True,2,5.5,51885,0,0,0,90,0,0,0,2,0,0,0,0,0,0,13,11.4,31.8,0.0,4.3,0,0,0,1,12,2,0,0,57,43,0,0,0,0,0,0,3,2,7,Spurs
2,18 Aug 12:30,0,0,False,3,5.5,58096,2667,4582,-1915,90,0,0,1,0,0,0,0,0,0,0,18,22.4,60.0,25.0,10.7,0,1,1,2,8,5,1,0,56,36,0,0,0,1,0,0,1,0,13,Cardiff
3,26 Aug 16:00,1,2,True,0,5.5,56478,2501,6245,-3744,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,Chelsea
4,01 Sep 17:30,2,1,False,0,5.5,42270,364,14670,-14306,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,Man City
5,15 Sep 15:00,1,2,True,0,5.4,35650,345,7407,-7062,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,Arsenal
6,22 Sep 15:00,0,0,False,3,5.4,34258,415,2221,-1806,90,0,0,1,0,0,0,0,0,0,0,8,6.6,15.4,0.0,2.2,0,0,0,2,7,1,0,0,49,31,0,0,0,1,0,0,2,1,55,Crystal Palace
7,29 Sep 15:00,0,2,True,2,5.4,33486,462,1382,-920,90,0,0,0,2,0,0,0,0,0,0,13,18.4,17.2,13.0,4.9,0,0,0,3,12,1,2,0,57,37,0,0,0,2,0,0,1,0,68,Leicester
8,06 Oct 17:30,3,2,False,5,5.4,32549,298,1299,-1001,90,0,1,0,3,0,0,0,0,0,0,24,46.8,54.8,8.0,11.0,0,1,0,5,11,3,0,0,45,25,0,0,0,0,0,1,0,1,77,Man Utd
9,20 Oct 15:00,0,1,True,2,5.4,36151,4432,1511,2921,90,0,0,0,1,0,0,0,0,0,0,19,35.0,54.6,52.0,14.2,0,0,1,0,6,4,1,0,90,71,0,0,0,0,0,1,1,2,88,Brighton
10,27 Oct 15:00,0,0,False,3,5.4,35228,1181,1994,-813,90,0,0,1,0,0,0,0,0,0,0,10,9.0,12.8,3.0,2.5,0,0,0,0,7,1,0,0,59,43,0,0,0,0,0,1,0,0,98,Southampton
11,03 Nov 15:00,1,0,True,1,5.4,34117,729,1937,-1208,50,0,0,0,0,0,0,0,0,0,0,3,2.8,8.3,3.0,1.4,0,0,0,2,3,0,0,0,21,11,0,0,0,0,0,1,1,0,108,Watford
12,10 Nov 15:00,2,1,True,0,5.4,30279,55,3841,-3786,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,Bournemouth
13,26 Nov 20:30,1,2,False,0,5.3,28069,34,2301,-2267,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,Burnley
14,01 Dec 15:00,0,3,True,1,5.3,27834,145,516,-371,20,0,0,0,1,0,0,0,0,0,0,2,1.8,2.3,1.0,0.5,0,0,0,0,3,0,0,0,20,16,0,0,0,1,0,1,1,1,139,West Ham
15,05 Dec 19:45,1,1,False,0,5.3,27458,155,550,-395,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,Everton
16,09 Dec 16:00,1,2,True,0,5.3,27062,103,524,-421,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,Wolves
17,15 Dec 15:00,0,1,False,0,5.3,25903,43,1202,-1159,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,Huddersfield
18,22 Dec 15:00,0,0,True,0,5.3,24955,7,996,-989,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,Fulham
19,26 Dec 15:00,4,0,False,0,5.3,24259,9,724,-715,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,Liverpool
20,29 Dec 15:00,1,1,False,1,5.3,23780,22,514,-492,11,0,0,0,1,0,0,0,0,0,0,5,6.0,11.2,0.0,1.7,0,0,0,2,1,1,0,0,11,8,0,0,0,0,0,0,0,0,200,Watford
21,02 Jan 20:00,0,2,True,1,5.3,23679,79,216,-137,37,0,0,0,2,0,0,0,0,0,0,1,2.2,18.1,13.0,3.3,0,1,0,1,2,1,0,0,22,15,0,0,0,0,0,3,2,1,208,Man Utd
22,12 Jan 17:30,2,1,False,0,5.3,23376,140,498,-358,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,Chelsea
23,19 Jan 15:00,3,0,True,0,5.3,22679,17,713,-696,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,Cardiff
24,29 Jan 20:00,2,1,True,0,5.3,22229,8,471,-463,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,Man City
25,02 Feb 12:30,1,0,False,0,5.3,21995,11,266,-255,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,Spurs
26,11 Feb 20:00,1,1,False,0,5.3,21728,22,292,-270,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,Wolves
27,23 Feb 15:00,2,0,True,0,5.3,21527,36,244,-208,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,Huddersfield
28,26 Feb 20:00,2,0,True,0,5.3,21574,58,41,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,Burnley
29,02 Mar 17:30,2,0,False,0,5.3,21544,67,101,-34,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,West Ham
30,09 Mar 15:00,3,2,True,0,5.3,21543,78,90,-12,11,0,0,0,0,0,0,1,0,0,0,1,4.2,24.9,0.0,2.9,0,0,0,1,1,2,0,0,10,9,0,0,0,0,0,0,1,0,299,Everton
31,16 Mar 15:00,2,2,False,1,5.3,21980,218,81,137,7,0,0,0,0,0,0,0,0,0,0,4,0.6,0.5,8.0,0.9,0,0,0,0,1,0,1,0,7,5,0,0,0,0,0,1,0,0,301,Bournemouth
32,01 Apr 20:00,2,0,False,0,5.3,21603,62,149,-87,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,Arsenal
