,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,18 Aug 15:00,2.0,1.0,1.0,2.0,7.5,100191.0,3676.0,17010.0,-13334.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.2,81.5,20.0,12.4,0.0,2.0,1.0,3.0,9.0,6.0,0.0,0.0,28.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,16.0,Southampton
2,25 Aug 15:00,2.0,2.0,0.0,4.0,7.4,79811.0,2797.0,25333.0,-22536.0,90.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,30.0,42.3,5.0,7.7,0.0,3.0,0.0,3.0,2.0,2.0,2.0,0.0,15.0,13.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,22.0,Bournemouth
3,01 Sep 15:00,1.0,1.0,1.0,2.0,7.4,83787.0,9786.0,8603.0,1183.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.8,11.5,0.0,1.8,0.0,0.0,0.0,1.0,5.0,1.0,2.0,0.0,14.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,36.0,Huddersfield
4,16 Sep 16:00,1.0,3.0,1.0,7.0,7.4,81078.0,7008.0,11298.0,-4290.0,90.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,41.0,12.5,61.0,11.5,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,26.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,43.0,West Ham
5,23 Sep 16:00,2.0,0.0,0.0,2.0,7.4,73927.0,2290.0,9443.0,-7153.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,19.4,59.4,16.0,9.5,0.0,3.0,2.0,2.0,7.0,4.0,0.0,0.0,37.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,51.0,Arsenal
6,29 Sep 15:00,3.0,0.0,1.0,14.0,7.3,71837.0,2943.0,5950.0,-3007.0,90.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,83.2,64.1,60.0,20.7,0.0,1.0,0.0,1.0,4.0,5.0,0.0,1.0,24.0,19.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,65.0,Fulham
7,06 Oct 15:00,1.0,2.0,0.0,10.0,7.3,124403.0,51462.0,5146.0,46316.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,57.0,62.0,31.0,15.0,0.0,1.0,0.0,5.0,3.0,4.0,1.0,1.0,22.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,75.0,Leicester
8,21 Oct 16:00,2.0,0.0,1.0,3.0,7.4,416616.0,285535.0,15481.0,270054.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.4,40.1,39.0,8.8,0.0,0.0,1.0,0.0,5.0,4.0,1.0,0.0,29.0,22.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,85.0,Crystal Palace
9,28 Oct 16:00,2.0,1.0,0.0,8.0,7.4,393376.0,46711.0,55777.0,-9066.0,90.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,44.0,28.5,36.0,10.9,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,27.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,97.0,Man Utd
10,03 Nov 15:00,3.0,1.0,1.0,5.0,7.5,462827.0,81393.0,24940.0,56453.0,89.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17.2,31.5,18.0,6.7,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,31.0,27.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,105.0,Brighton
