,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,10 Aug 20:00,2,1,True,0,6.0,165459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Leicester
2,19 Aug 16:00,3,2,False,0,5.9,126291,920,45721,-44801,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Brighton
3,27 Aug 20:00,0,3,True,1,5.8,96677,517,32875,-32358,90,0,0,0,3,0,0,0,0,0,0,19,20.2,0.3,2.0,2.3,0,0,0,7,8,0,2,0,49,42,0,0,0,0,0,0,0,0,26,Spurs
4,02 Sep 16:00,0,2,False,7,5.8,88115,818,11878,-11060,90,0,0,1,0,0,0,0,0,0,1,28,16.0,0.2,9.0,2.5,0,0,0,8,3,0,0,0,41,39,0,0,0,0,0,1,0,0,32,Burnley
5,15 Sep 17:30,1,2,False,10,5.8,87614,2536,5289,-2753,90,1,0,0,1,0,0,0,0,0,2,27,59.2,1.1,37.0,9.7,0,0,0,11,3,0,0,1,46,36,0,0,0,0,0,0,2,0,49,Watford
6,22 Sep 15:00,1,1,True,2,5.8,128042,37989,5000,32989,90,0,0,0,1,0,0,0,0,0,0,15,10.8,1.5,0.0,1.2,0,0,0,1,3,0,1,0,63,59,0,0,0,0,0,0,0,0,59,Wolves
7,29 Sep 12:30,3,1,False,1,5.8,132846,10822,8442,2380,90,0,0,0,3,0,0,0,0,0,0,14,17.6,0.0,4.0,2.2,0,0,0,5,5,0,3,0,20,17,0,0,0,0,0,0,1,0,69,West Ham
8,06 Oct 17:30,3,2,True,1,5.8,125182,3001,11536,-8535,90,0,0,0,2,0,0,0,0,0,0,6,12.8,1.3,23.0,3.7,0,0,0,3,2,0,0,0,73,65,0,1,0,0,0,1,1,0,77,Newcastle
9,20 Oct 12:30,2,2,False,1,5.8,111654,1387,15575,-14188,90,0,0,0,2,0,0,0,0,0,0,9,23.6,0.0,2.0,2.6,0,0,0,9,1,0,0,0,19,14,0,0,0,0,0,0,1,0,84,Chelsea
10,28 Oct 16:00,2,1,True,1,5.8,108314,1145,5579,-4434,90,0,0,0,1,0,0,1,0,0,0,3,4.4,0.3,2.0,0.7,0,0,0,3,3,0,0,0,37,28,1,0,0,0,0,0,2,1,97,Everton
11,03 Nov 12:30,1,2,False,2,5.8,104273,1094,5800,-4706,90,0,0,0,1,0,0,0,0,0,0,11,15.0,10.3,2.0,2.7,0,0,0,9,2,1,0,0,30,22,0,0,0,0,0,0,1,0,102,Bournemouth
12,11 Nov 16:30,3,1,False,1,5.8,100495,752,5218,-4466,90,0,0,0,3,0,0,0,0,0,0,10,28.8,0.1,6.0,3.5,0,0,0,9,4,0,0,0,24,22,0,0,0,0,0,1,0,0,118,Man City
13,24 Nov 15:00,0,0,True,6,5.7,110830,10798,3249,7549,90,0,0,1,0,0,0,0,0,0,0,21,21.0,0.4,9.0,3.0,0,0,0,6,4,0,0,0,42,35,0,1,0,0,0,1,1,0,126,Crystal Palace
14,01 Dec 17:30,2,2,False,0,5.7,112246,4321,2519,1802,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,Southampton
15,05 Dec 20:00,2,2,True,1,5.7,100276,318,11625,-11307,90,0,0,0,2,0,0,0,0,0,0,15,12.4,0.3,2.0,1.5,0,0,0,5,3,0,0,0,33,32,0,0,0,0,0,0,0,0,145,Arsenal
16,08 Dec 15:00,4,1,True,1,5.7,99073,2620,5396,-2776,57,0,0,0,0,0,0,0,0,0,0,10,16.2,0.4,18.0,3.5,0,0,0,4,3,0,0,0,34,30,0,0,0,0,0,0,0,0,158,Fulham
17,16 Dec 16:00,3,1,False,0,5.7,91659,248,6833,-6585,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,Liverpool
18,22 Dec 17:30,1,5,False,0,5.6,88113,225,4086,-3861,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,Cardiff
