entry,value
player_id,489
web_name,Snodgrass
team,West Brom
first_name,Robert
second_name,Snodgrass
cost_end,5.0
value_form,0.1
value_season,17.0
cost_change_start,-5
cost_start,10.0
dreamteam_count,2
selected_by_percent,0.9
total_points,85
ppg,2.6
minutes,2215
goals_scored,2
assists,5
clean_sheets,5
goals_conceded,33
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,10
red_cards,0
saves,0
bonus,9
bps,364
influence,460.8
creativity,976.0
threat,380.0
ict_index,181.5
ea_index,0
position,Midfielder
