,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 12:30,1,2,False,1,8.5,374626,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7,8.0,1.0,2.0,1.1,0,0,0,0,1,0,2,0,6,4,0,0,0,0,0,0,0,0,7,Newcastle
2,18 Aug 15:00,3,1,True,0,8.4,149244,2254,232154,-229900,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,Fulham
3,27 Aug 20:00,0,3,False,0,8.3,95475,778,62150,-61372,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,Man Utd
4,02 Sep 16:00,2,1,False,0,8.3,78587,761,20265,-19504,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,Watford
5,15 Sep 12:30,1,2,True,1,8.3,82623,8096,6678,1418,17,0,0,0,0,0,0,0,0,0,0,5,3.2,11.6,4.0,1.9,0,0,0,0,0,1,0,0,9,9,0,0,0,0,0,0,0,1,48,Liverpool
6,22 Sep 17:30,1,2,False,3,8.3,91027,11878,5202,6676,67,0,0,1,0,0,0,0,0,0,0,4,7.2,5.8,27.0,4.0,0,0,0,2,5,0,1,0,26,24,0,0,0,3,0,2,1,0,52,Brighton
7,29 Sep 15:00,0,2,False,3,8.3,108326,19978,5073,14905,89,0,0,1,0,0,0,0,0,0,0,7,5.4,11.9,23.0,4.0,0,1,0,0,9,0,1,0,23,18,0,0,0,4,0,1,0,0,66,Huddersfield
8,06 Oct 15:00,1,0,True,3,8.3,130323,25713,6213,19500,71,0,0,1,0,0,0,0,0,0,0,12,8.6,24.6,26.0,5.9,0,0,0,0,2,2,0,0,32,26,0,0,0,1,0,1,0,2,79,Cardiff
9,20 Oct 15:00,0,1,False,0,8.3,119695,8660,17786,-9126,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,West Ham
10,29 Oct 20:00,0,1,True,0,8.3,95923,777,24439,-23662,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,Man City
11,03 Nov 19:45,2,3,False,4,8.3,90323,2555,9614,-7059,51,0,1,0,0,0,0,0,0,0,0,18,17.6,13.7,4.0,3.5,0,0,0,1,4,1,0,0,31,26,0,0,0,0,1,0,0,2,110,Wolves
12,10 Nov 17:30,0,1,False,1,8.3,88112,1715,4578,-2863,19,0,0,0,0,0,0,0,0,0,0,6,3.2,2.2,20.0,2.5,0,0,0,0,1,0,1,0,7,7,0,0,0,0,0,0,1,2,114,Crystal Palace
13,24 Nov 17:30,3,1,True,8,8.3,84037,763,5295,-4532,77,1,0,1,0,0,0,0,0,0,0,15,38.8,12.9,72.0,12.4,0,0,0,0,4,1,0,0,24,20,0,2,0,3,1,2,1,2,127,Chelsea
14,02 Dec 14:05,4,2,False,5,8.3,106123,22073,1847,20226,78,0,1,0,4,0,0,0,0,0,0,16,16.8,3.9,43.0,6.4,0,0,0,0,3,0,1,0,16,13,0,0,0,3,1,0,0,2,131,Arsenal
15,05 Dec 20:00,3,1,True,8,8.3,166983,61026,3813,57213,90,1,0,0,1,0,0,0,0,0,1,28,39.6,26.0,58.0,12.4,0,0,0,1,6,2,0,0,31,25,0,0,0,3,0,1,0,0,150,Southampton
16,08 Dec 19:45,0,2,False,14,8.4,256627,89460,6581,82879,73,1,1,1,0,0,0,0,0,0,3,41,57.4,36.9,31.0,12.5,0,2,1,0,4,2,0,1,26,21,0,0,0,1,1,2,0,1,157,Leicester
17,15 Dec 15:00,1,0,True,1,8.5,491669,235357,9575,225782,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,11.0,1.0,0,0,0,0,1,0,0,0,4,2,0,0,0,2,1,1,0,1,168,Burnley
18,23 Dec 16:00,2,6,False,21,8.5,434692,29335,77323,-47988,78,2,2,0,2,0,0,0,0,0,3,71,91.4,27.4,77.0,19.6,0,1,1,1,4,2,0,0,32,27,0,0,0,0,0,0,1,1,175,Everton
19,26 Dec 15:00,5,0,True,13,8.6,644894,214882,24304,190578,87,2,0,1,0,0,0,1,0,0,1,39,68.8,14.6,46.0,12.9,0,0,0,1,4,1,0,0,28,22,0,0,0,3,1,0,0,2,189,Bournemouth
20,29 Dec 15:00,1,3,True,5,8.8,1027529,380359,14566,365793,90,0,1,0,3,0,0,0,0,0,0,12,24.4,39.6,22.0,8.6,0,1,0,0,2,3,0,0,28,26,0,0,0,4,0,2,1,0,199,Wolves
21,01 Jan 17:30,0,3,False,13,8.8,1035939,109007,90709,18298,75,1,1,1,0,0,0,0,0,0,2,36,54.8,17.9,37.0,11.0,0,0,0,1,2,1,0,0,50,46,0,1,0,0,0,1,0,0,203,Cardiff
22,13 Jan 16:30,0,1,True,2,8.8,967551,123322,196774,-73452,90,0,0,0,1,0,0,0,0,0,0,13,10.8,28.9,39.0,7.9,0,0,1,0,4,2,0,0,35,31,0,0,0,2,3,0,0,2,219,Man Utd
23,20 Jan 16:00,1,2,False,0,8.6,308614,8303,662842,-654539,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,Fulham
24,30 Jan 20:00,2,1,True,9,8.6,351503,104589,75673,28916,90,1,0,0,1,0,0,0,0,0,2,26,40.6,6.2,71.0,11.8,0,0,0,0,4,0,0,0,31,23,0,0,0,5,0,1,0,5,240,Watford
25,02 Feb 12:30,1,0,True,11,8.6,772467,405380,10566,394814,88,1,0,1,0,0,0,0,0,0,3,36,39.0,21.4,64.0,12.4,0,0,1,0,5,1,1,1,42,38,0,0,0,5,1,1,1,4,249,Newcastle
26,10 Feb 13:30,3,1,True,6,8.8,1303857,550599,9856,540743,90,1,0,0,1,0,0,1,0,0,0,14,34.6,15.3,41.0,9.1,0,0,0,0,4,1,0,0,25,20,0,0,0,3,5,0,1,0,258,Leicester
27,23 Feb 12:30,2,1,False,2,9.0,1767095,376822,15218,361604,87,0,0,0,2,0,0,0,0,0,0,9,10.2,37.7,9.0,5.7,0,0,0,0,3,3,0,0,27,24,0,0,0,4,0,1,0,4,263,Burnley
28,27 Feb 20:00,2,0,False,2,9.0,1540867,30607,149941,-119334,79,0,0,0,1,0,0,0,0,0,0,13,12.6,7.2,26.0,4.6,0,0,0,1,5,0,2,0,31,28,0,0,0,6,1,0,0,3,276,Chelsea
29,02 Mar 12:30,1,1,True,2,8.9,1390587,33619,187448,-153829,78,0,0,0,1,0,0,0,0,0,0,3,0.0,4.8,15.0,1.9,0,0,0,0,3,0,0,0,22,20,0,0,0,2,2,1,0,1,287,Arsenal
30,09 Mar 15:00,2,1,False,1,8.8,1314601,46744,126877,-80133,18,0,0,0,2,0,0,0,0,0,0,2,0.2,1.9,2.0,0.4,0,0,0,0,0,0,0,0,11,11,0,0,0,1,0,0,0,0,300,Southampton
31,31 Mar 16:30,2,1,False,1,8.6,931785,52279,136401,-84122,21,0,0,0,1,0,0,0,0,0,0,2,1.4,10.7,0.0,1.2,0,0,0,0,1,1,0,0,6,6,0,0,0,0,1,0,1,0,318,Liverpool
32,03 Apr 19:45,2,0,True,10,8.6,931785,52279,136401,-84122,90,1,0,1,0,0,0,0,0,0,2,32,44.4,29.1,48.0,12.2,0,0,0,0,4,2,0,1,32,28,0,0,0,4,0,1,1,4,307,Crystal Palace
33,13 Apr 12:30,4,0,True,4,8.7,1327447,499566,22838,476728,3,0,1,0,0,0,0,0,0,0,0,13,17.2,13.3,0.0,3.1,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,339,Huddersfield
34,20 Apr 12:30,1,0,False,2,8.8,1499356,196482,38133,158349,90,0,0,0,1,0,0,0,0,0,0,4,11.4,11.8,52.0,7.5,0,0,0,0,0,1,0,0,14,12,0,1,0,1,2,0,0,3,347,Man City
35,23 Apr 19:45,1,0,True,3,8.8,1499356,196482,38133,158349,89,0,0,1,0,0,0,0,0,0,0,6,6.2,49.0,45.0,10.0,0,0,0,1,5,4,0,0,43,38,0,0,0,7,0,2,1,1,328,Brighton
36,27 Apr 12:30,0,1,True,2,8.9,1548756,103969,42892,61077,90,0,0,0,1,0,0,0,0,0,0,9,15.0,14.3,73.0,10.2,0,0,1,3,0,1,1,0,32,30,0,1,0,7,1,1,0,2,359,West Ham
37,04 May 12:30,1,0,False,-2,8.8,1423173,29957,151721,-121764,43,0,0,0,1,0,0,0,1,0,0,-10,1.8,6.2,14.0,2.2,0,1,0,1,4,0,0,0,23,17,0,0,0,5,0,1,1,1,362,Bournemouth
