entry,value
player_id,367
web_name,Son
team,Spurs
first_name,Heung-Min
second_name,Son
cost_end,8.6
value_form,0.1
value_season,18.5
cost_change_start,0.1
cost_start,8.5
dreamteam_count,5
selected_by_percent,10.6
total_points,159
ppg,5.1
minutes,2033
goals_scored,12
assists,8
clean_sheets,10
goals_conceded,23
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,1
saves,0
bonus,17
bps,489
influence,690.6
creativity,508.0
threat,1002.0
ict_index,219.9
ea_index,0
position,Midfielder
