entry,value
player_id,524
web_name,Success
team,Watford
first_name,Isaac
second_name,Success Ajayi
cost_end,4.5
value_form,0.1
value_season,9.3
cost_change_start,0.0
cost_start,4.5
dreamteam_count,0
selected_by_percent,2.4
total_points,42
ppg,1.4
minutes,1033
goals_scored,1
assists,1
clean_sheets,2
goals_conceded,21
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,0
bps,125
influence,148.6
creativity,274.5
threat,394.0
ict_index,81.4
ea_index,0
position,Forward
