,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,18 Aug 15:00,2.0,1.0,0.0,0.0,4.5,5697.0,76.0,1021.0,-945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,Everton
2,25 Aug 15:00,1.0,2.0,1.0,0.0,4.4,4966.0,97.0,976.0,-879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,Leicester
3,01 Sep 15:00,0.0,2.0,0.0,4.0,4.4,4509.0,42.0,587.0,-545.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19.2,10.1,0.0,2.9,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,35.0,Crystal Palace
4,17 Sep 20:00,2.0,2.0,1.0,0.0,4.4,4610.0,233.0,305.0,-72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,Brighton
5,22 Sep 15:00,3.0,0.0,0.0,0.0,4.4,4377.0,38.0,282.0,-244.0,54.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.2,40.5,4.0,5.7,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,17.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.0,Liverpool
6,29 Sep 15:00,2.0,0.0,0.0,0.0,4.3,4319.0,122.0,238.0,-116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,Wolves
7,07 Oct 14:15,0.0,3.0,1.0,0.0,4.3,4197.0,59.0,201.0,-142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,Chelsea
8,20 Oct 15:00,0.0,0.0,0.0,0.0,4.3,4059.0,38.0,189.0,-151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,Bournemouth
9,27 Oct 15:00,0.0,0.0,1.0,0.0,4.3,3962.0,16.0,134.0,-118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,Newcastle
10,04 Nov 15:00,6.0,1.0,0.0,0.0,4.3,3842.0,11.0,136.0,-125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,Man City
11,10 Nov 15:00,1.0,1.0,1.0,0.0,4.2,3783.0,33.0,104.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,Watford
12,24 Nov 15:00,3.0,2.0,0.0,1.0,4.2,3839.0,103.0,83.0,20.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17.6,47.6,2.0,6.7,0.0,2.0,0.0,2.0,2.0,3.0,1.0,0.0,50.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,125.0,Fulham
13,01 Dec 17:30,2.0,2.0,1.0,0.0,4.2,3764.0,33.0,90.0,-57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,Man Utd
14,05 Dec 20:00,3.0,1.0,0.0,1.0,4.2,3634.0,5.0,129.0,-124.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.4,2.6,4.0,2.1,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,40.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,150.0,Spurs
