entry,value
player_id,479
web_name,Targett
team,Southampton
first_name,Matt
second_name,Targett
cost_end,4.2
value_form,0.5
value_season,8.6
cost_change_start,-0.3
cost_start,4.5
dreamteam_count,0
selected_by_percent,0.1
total_points,36
ppg,2.3
minutes,1185
goals_scored,1
assists,3
clean_sheets,0
goals_conceded,25
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,3
bps,229
influence,314.2
creativity,366.8
threat,181.0
ict_index,86.2
ea_index,0
position,Defender
