,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,19 Aug 13:30,1.0,3.0,1.0,1.0,4.5,13632.0,980.0,1381.0,-401.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2,0.6,0.0,0.2,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,Watford
2,26 Aug 16:00,4.0,2.0,0.0,1.0,4.5,13163.0,536.0,1611.0,-1075.0,71.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.8,47.4,10.0,7.6,0.0,3.0,0.0,1.0,3.0,3.0,0.0,0.0,24.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,23.0,Fulham
3,02 Sep 16:00,0.0,2.0,1.0,1.0,4.5,12496.0,297.0,1321.0,-1024.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,23.2,8.8,0.0,3.2,0.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,48.0,41.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,Man Utd
4,16 Sep 13:30,1.0,0.0,0.0,1.0,4.4,12122.0,379.0,1057.0,-678.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,20.0,5.5,0.0,2.6,0.0,1.0,0.0,4.0,7.0,0.0,1.0,0.0,43.0,32.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,50.0,Wolves
5,22 Sep 15:00,4.0,0.0,1.0,6.0,4.4,12234.0,672.0,707.0,-35.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,2.1,1.0,1.3,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,53.0,Bournemouth
6,30 Sep 16:00,1.0,2.0,0.0,2.0,4.4,16142.0,4024.0,754.0,3270.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,25.4,5.1,0.0,3.1,0.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,63.0,Cardiff
7,06 Oct 15:00,1.0,1.0,1.0,2.0,4.4,19315.0,3430.0,876.0,2554.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.2,1.3,0.0,2.1,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,35.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,72.0,Huddersfield
8,20 Oct 15:00,5.0,0.0,0.0,0.0,4.4,16900.0,606.0,2366.0,-1760.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.2,1.8,0.0,2.0,0.0,0.0,0.0,6.0,4.0,0.0,1.0,0.0,33.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,Man City
9,28 Oct 13:30,0.0,4.0,1.0,0.0,4.4,15899.0,182.0,1268.0,-1086.0,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.4,1.5,0.0,1.3,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,23.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,92.0,Chelsea
10,03 Nov 15:00,4.0,2.0,0.0,0.0,4.4,15179.0,314.0,1132.0,-818.0,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,21.2,10.8,2.0,3.4,0.0,0.0,1.0,4.0,3.0,1.0,4.0,0.0,30.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,109.0,West Ham
11,10 Nov 15:00,0.0,0.0,0.0,7.0,4.4,14495.0,142.0,883.0,-741.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,29.6,4.8,0.0,3.4,0.0,1.0,0.0,6.0,5.0,0.0,0.0,0.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,116.0,Leicester
12,26 Nov 20:30,1.0,2.0,1.0,1.0,4.4,18482.0,3885.0,567.0,3318.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,22.6,17.2,0.0,4.0,0.0,1.0,1.0,3.0,9.0,1.0,0.0,0.0,55.0,49.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,123.0,Newcastle
13,01 Dec 15:00,2.0,0.0,0.0,1.0,4.4,17295.0,228.0,1029.0,-801.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,25.8,3.4,0.0,2.9,0.0,0.0,0.0,7.0,3.0,0.0,1.0,0.0,30.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,134.0,Crystal Palace
14,05 Dec 19:45,1.0,3.0,1.0,1.0,4.4,16360.0,132.0,1067.0,-935.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.4,4.7,2.0,1.3,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,18.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,143.0,Liverpool
15,08 Dec 15:00,1.0,0.0,1.0,6.0,4.4,17008.0,863.0,591.0,272.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.2,14.6,0.0,2.8,0.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,25.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,Brighton
16,15 Dec 15:00,1.0,0.0,0.0,2.0,4.4,17368.0,1262.0,911.0,351.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.2,0.7,4.0,1.8,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,168.0,Spurs
17,22 Dec 12:30,3.0,1.0,0.0,1.0,4.4,17229.0,549.0,765.0,-216.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.6,6.5,4.0,2.3,0.0,1.0,0.0,3.0,6.0,0.0,2.0,0.0,28.0,21.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,171.0,Arsenal
18,26 Dec 15:00,1.0,5.0,1.0,0.0,4.4,17781.0,1090.0,659.0,431.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.8,16.2,0.0,3.5,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,39.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,182.0,Everton
19,30 Dec 14:15,2.0,0.0,1.0,6.0,4.4,17312.0,483.0,995.0,-512.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,19.4,6.5,1.0,2.7,0.0,1.0,0.0,3.0,7.0,0.0,1.0,0.0,34.0,30.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,192.0,West Ham
20,02 Jan 19:45,1.0,2.0,0.0,2.0,4.4,20597.0,4158.0,1183.0,2975.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.2,17.6,1.0,3.5,0.0,1.0,0.0,7.0,7.0,1.0,0.0,0.0,44.0,33.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,206.0,Huddersfield
21,12 Jan 15:00,2.0,1.0,1.0,2.0,4.4,22700.0,3858.0,1956.0,1902.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.6,2.8,0.0,1.3,0.0,0.0,0.0,1.0,8.0,0.0,2.0,0.0,41.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,212.0,Fulham
22,19 Jan 15:00,0.0,0.0,0.0,6.0,4.4,20656.0,498.0,2448.0,-1950.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,15.2,1.3,0.0,1.7,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,29.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,229.0,Watford
23,29 Jan 20:00,2.0,2.0,0.0,0.0,4.4,21421.0,1662.0,1223.0,439.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,19.8,0.6,0.0,2.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,Man Utd
