,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,20 Aug 20:00,0.0,2.0,1.0,1.0,4.5,417659.0,7957.0,29825.0,-21868.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,0.2,0.0,2.5,0.0,0.0,0.0,9.0,2.0,0.0,2.0,0.0,36.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,Liverpool
2,26 Aug 13:30,2.0,1.0,0.0,0.0,4.5,389862.0,12001.0,42759.0,-30758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,Watford
3,01 Sep 15:00,0.0,2.0,1.0,0.0,4.5,314755.0,1316.0,75628.0,-74312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,Southampton
4,15 Sep 15:00,0.0,1.0,0.0,6.0,4.4,238638.0,367.0,77500.0,-77133.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.0,0.3,0.0,1.2,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,36.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,Huddersfield
5,22 Sep 15:00,0.0,0.0,1.0,5.0,4.4,238564.0,9202.0,12622.0,-3420.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,13.0,0.8,4.0,1.8,0.0,0.0,0.0,8.0,5.0,0.0,2.0,0.0,49.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,Newcastle
6,01 Oct 20:00,2.0,1.0,0.0,0.0,4.4,233984.0,4355.0,8861.0,-4506.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,10.8,0.8,0.0,1.2,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,54.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,62.0,Bournemouth
7,06 Oct 15:00,0.0,1.0,1.0,2.0,4.4,224963.0,1601.0,10509.0,-8908.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.8,1.1,4.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,79.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,Wolves
8,21 Oct 16:00,2.0,0.0,0.0,1.0,4.4,208026.0,1309.0,18767.0,-17458.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,25.4,10.5,8.0,4.4,0.0,0.0,0.0,9.0,6.0,1.0,2.0,0.0,26.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,85.0,Everton
9,28 Oct 13:30,2.0,2.0,1.0,1.0,4.4,194886.0,377.0,13448.0,-13071.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.4,10.3,7.0,2.8,0.0,0.0,0.0,3.0,4.0,1.0,1.0,0.0,41.0,36.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,93.0,Arsenal
10,04 Nov 16:00,3.0,1.0,0.0,1.0,4.3,183826.0,468.0,11914.0,-11446.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,0.0,2.0,2.3,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,23.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,Chelsea
11,10 Nov 17:30,0.0,1.0,1.0,0.0,4.3,177999.0,529.0,6650.0,-6121.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,15.0,1.6,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,114.0,Spurs
12,24 Nov 15:00,0.0,0.0,0.0,6.0,4.3,166863.0,387.0,11311.0,-10924.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22.4,0.2,2.0,2.5,0.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,Man Utd
13,01 Dec 15:00,2.0,0.0,1.0,6.0,4.3,168949.0,2990.0,1949.0,1041.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.4,0.6,0.0,1.3,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,35.0,29.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,134.0,Burnley
14,04 Dec 19:45,3.0,1.0,0.0,0.0,4.3,169858.0,2984.0,2186.0,798.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,15.0,11.8,27.0,5.4,0.0,0.0,0.0,6.0,6.0,1.0,2.0,0.0,53.0,45.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,142.0,Brighton
15,08 Dec 15:00,3.0,2.0,0.0,3.0,4.3,166760.0,1447.0,4301.0,-2854.0,90.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,23.6,10.8,6.0,4.0,0.0,0.0,1.0,5.0,4.0,1.0,0.0,0.0,41.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,160.0,West Ham
16,15 Dec 15:00,1.0,0.0,1.0,0.0,4.3,151303.0,981.0,15725.0,-14744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,Leicester
17,22 Dec 15:00,2.0,3.0,0.0,1.0,4.3,149557.0,950.0,3818.0,-2868.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,27.0,0.0,0.0,2.7,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,Man City
18,26 Dec 15:00,0.0,0.0,1.0,6.0,4.3,151111.0,3682.0,2802.0,880.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.2,0.3,26.0,3.5,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,57.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,183.0,Cardiff
19,30 Dec 12:00,0.0,1.0,1.0,2.0,4.3,150968.0,3801.0,4010.0,-209.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,20.6,10.3,2.0,3.3,0.0,0.0,0.0,8.0,5.0,1.0,1.0,0.0,38.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,Chelsea
20,02 Jan 19:45,0.0,2.0,0.0,6.0,4.3,153348.0,6165.0,4155.0,2010.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,16.4,0.3,20.0,3.7,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,53.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,210.0,Wolves
21,12 Jan 15:00,1.0,2.0,1.0,1.0,4.3,164483.0,16846.0,6860.0,9986.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,25.4,0.7,57.0,8.3,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,32.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,215.0,Watford
22,19 Jan 15:00,4.0,3.0,0.0,6.0,4.3,159677.0,4294.0,8550.0,-4256.0,90.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,57.0,0.0,17.0,7.4,0.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,Liverpool
23,30 Jan 19:45,1.0,1.0,0.0,2.0,4.3,187941.0,31743.0,6174.0,25569.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,0.6,6.0,2.4,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,36.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,239.0,Southampton
24,02 Feb 15:00,2.0,0.0,1.0,6.0,4.3,180386.0,4162.0,9326.0,-5164.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,16.4,10.3,6.0,3.3,0.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,28.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,245.0,Fulham
25,09 Feb 15:00,1.0,1.0,1.0,0.0,4.3,185043.0,10733.0,8290.0,2443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,West Ham
26,23 Feb 17:30,1.0,4.0,0.0,2.0,4.3,180458.0,7014.0,11359.0,-4345.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,23.0,0.1,6.0,2.9,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,25.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,267.0,Leicester
27,27 Feb 20:00,1.0,3.0,1.0,1.0,4.3,202060.0,22863.0,2809.0,20054.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.8,0.8,4.0,2.7,0.0,0.0,0.0,8.0,2.0,0.0,2.0,0.0,46.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,273.0,Man Utd
28,02 Mar 15:00,1.0,3.0,0.0,1.0,4.3,211039.0,13198.0,4002.0,9196.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,24.6,0.4,2.0,2.7,0.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,38.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,Burnley
29,09 Mar 12:30,1.0,2.0,1.0,1.0,4.3,216490.0,10624.0,5353.0,5271.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.6,10.8,25.0,5.0,0.0,0.0,0.0,3.0,8.0,1.0,1.0,0.0,78.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,294.0,Brighton
30,30 Mar 15:00,2.0,0.0,1.0,6.0,4.3,227604.0,16741.0,5452.0,11289.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.6,0.2,7.0,1.6,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,38.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,315.0,Huddersfield
31,03 Apr 19:45,2.0,0.0,0.0,1.0,4.3,227604.0,16741.0,5452.0,11289.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,33.2,0.0,0.0,3.3,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,29.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,Spurs
32,06 Apr 15:00,0.0,1.0,0.0,6.0,4.3,225580.0,6678.0,3107.0,3571.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,13.4,0.4,2.0,1.6,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,42.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,326.0,Newcastle
33,14 Apr 14:05,1.0,3.0,1.0,0.0,4.3,204715.0,1385.0,20675.0,-19290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,Man City
34,21 Apr 16:00,2.0,3.0,0.0,0.0,4.3,173199.0,239.0,30427.0,-30188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,Arsenal
35,27 Apr 15:00,0.0,0.0,1.0,0.0,4.3,163065.0,98.0,11667.0,-11569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,Everton
36,04 May 17:30,2.0,3.0,0.0,0.0,4.3,153189.0,83.0,10009.0,-9926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,Cardiff
37,12 May 15:00,5.0,3.0,1.0,0.0,4.3,145037.0,121.0,7802.0,-7681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,Bournemouth
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
