,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 17:30,2,2,False,5,7.0,302582,0,0,0,80,0,1,0,2,0,0,0,0,0,0,18,25.0,17.2,11.0,5.3,0,1,0,1,3,1,1,0,24,17,0,0,0,2,0,0,0,0,10,Wolves
2,18 Aug 15:00,2,1,True,2,7.0,356496,48008,23504,24504,74,0,0,0,1,0,0,0,0,0,0,4,9.0,1.3,38.0,4.8,0,0,0,1,3,0,0,0,18,10,0,0,0,1,1,1,0,0,16,Southampton
3,25 Aug 15:00,2,2,False,4,7.0,299207,18255,75901,-57646,83,0,1,0,2,0,0,1,0,0,0,9,14.6,27.0,7.0,4.9,0,0,0,1,8,2,1,0,26,20,0,0,0,5,0,2,2,0,22,Bournemouth
4,01 Sep 15:00,1,1,True,2,7.0,300530,32558,38812,-6254,90,0,0,0,1,0,0,0,0,0,0,2,0.0,2.2,15.0,1.3,0,0,0,0,3,0,0,0,15,10,0,0,0,2,0,2,1,0,36,Huddersfield
5,16 Sep 16:00,1,3,True,2,7.0,268964,22292,55409,-33117,68,0,0,0,3,0,0,0,0,0,0,3,5.6,2.3,44.0,5.2,0,0,0,0,1,0,1,0,11,9,0,1,0,1,0,1,0,0,43,West Ham
6,23 Sep 16:00,2,0,False,1,6.9,193245,1945,76977,-75032,18,0,0,0,0,0,0,0,0,0,0,3,4.2,0.3,9.0,1.4,0,0,0,0,0,0,0,0,5,3,0,0,0,1,0,0,0,1,51,Arsenal
7,29 Sep 15:00,3,0,True,5,6.8,163294,2078,33786,-31708,35,1,0,0,0,0,0,0,0,0,0,26,34.4,11.8,35.0,8.1,0,0,0,0,0,1,0,0,6,5,0,0,0,0,1,0,1,0,65,Fulham
8,06 Oct 15:00,1,2,False,1,6.8,151925,1805,13994,-12189,19,0,0,0,0,0,0,0,0,0,0,3,1.6,10.7,2.0,1.4,0,0,0,0,1,1,0,0,5,4,0,0,0,0,0,0,1,0,75,Leicester
9,21 Oct 16:00,2,0,True,5,6.7,134078,1849,20274,-18425,23,1,0,0,0,0,0,0,0,0,0,27,33.2,11.9,41.0,8.6,0,0,0,0,4,1,0,0,7,7,0,0,0,1,0,1,0,0,85,Crystal Palace
10,28 Oct 16:00,2,1,False,1,6.7,130039,3176,7956,-4780,12,0,0,0,0,0,0,0,0,0,0,3,0.8,0.5,0.0,0.1,0,0,0,0,1,0,0,0,5,4,0,0,0,0,0,0,0,0,97,Man Utd
