,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,01 Dec 17:30,2.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.8,2.3,2.0,1.8,0.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,23.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,140.0,Man Utd
2,05 Dec 20:00,3.0,1.0,0.0,0.0,4.0,2460.0,2244.0,280.0,1964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,Spurs
3,08 Dec 15:00,1.0,0.0,0.0,0.0,4.0,3617.0,1451.0,415.0,1036.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,0.9,4.0,0.1,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,154.0,Cardiff
4,16 Dec 13:30,3.0,2.0,1.0,1.0,4.0,3873.0,912.0,491.0,421.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5.3,2.0,1.5,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,14.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,167.0,Arsenal
5,22 Dec 15:00,1.0,3.0,0.0,1.0,4.0,6096.0,2365.0,477.0,1888.0,78.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,8.4,10.3,2.0,2.1,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,176.0,Huddersfield
6,27 Dec 19:45,1.0,2.0,1.0,1.0,4.0,8201.0,2603.0,718.0,1885.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.8,1.3,2.0,1.6,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,28.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,188.0,West Ham
7,30 Dec 14:15,1.0,3.0,1.0,1.0,4.0,8624.0,1303.0,834.0,469.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.4,0.0,2.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,198.0,Man City
8,02 Jan 19:45,0.0,0.0,0.0,6.0,4.0,9475.0,2096.0,1261.0,835.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,29.2,4.8,0.0,3.4,0.0,1.0,0.0,10.0,3.0,0.0,1.0,0.0,20.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,204.0,Chelsea
9,12 Jan 15:00,1.0,2.0,0.0,-2.0,4.0,21623.0,15264.0,4325.0,10939.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.4,0.5,6.0,1.3,0.0,0.0,0.0,4.0,3.0,0.0,4.0,0.0,11.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,217.0,Leicester
10,19 Jan 15:00,2.0,1.0,1.0,2.0,4.0,21264.0,3580.0,3642.0,-62.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.2,0.4,18.0,3.2,0.0,0.0,0.0,6.0,3.0,0.0,2.0,0.0,14.0,7.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,228.0,Everton
11,30 Jan 19:45,1.0,1.0,1.0,2.0,4.0,26931.0,7346.0,2153.0,5193.0,61.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.4,5.2,0.0,2.6,0.0,1.0,0.0,6.0,7.0,0.0,4.0,0.0,17.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,239.0,Crystal Palace
12,02 Feb 15:00,1.0,1.0,0.0,1.0,4.0,30624.0,4481.0,1491.0,2990.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.2,0.1,2.0,0.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,Burnley
13,09 Feb 15:00,1.0,2.0,1.0,2.0,4.0,29522.0,1446.0,1881.0,-435.0,82.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.6,4.1,40.0,5.7,0.0,0.0,0.0,2.0,7.0,0.0,2.0,0.0,27.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,257.0,Cardiff
14,24 Feb 14:05,2.0,0.0,0.0,1.0,4.0,29348.0,1897.0,1911.0,-14.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,7.0,2.0,2.3,0.0,1.0,0.0,4.0,4.0,0.0,2.0,0.0,24.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,261.0,Arsenal
15,27 Feb 19:45,2.0,0.0,1.0,6.0,4.0,32036.0,3115.0,1024.0,2091.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,19.0,16.2,2.0,3.7,0.0,1.0,0.0,5.0,6.0,1.0,4.0,0.0,19.0,14.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,280.0,Fulham
16,02 Mar 15:00,3.0,2.0,0.0,7.0,4.0,33119.0,2745.0,1642.0,1103.0,90.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,41.4,1.8,9.0,5.2,0.0,0.0,0.0,6.0,4.0,0.0,1.0,0.0,20.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,286.0,Man Utd
17,09 Mar 15:00,2.0,1.0,1.0,7.0,4.0,46927.0,14532.0,1647.0,12885.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,37.2,2.2,21.0,6.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,25.0,16.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,300.0,Spurs
18,30 Mar 15:00,0.0,1.0,0.0,6.0,4.1,123000.0,48557.0,6882.0,41675.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,15.6,0.0,3.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,20.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,312.0,Brighton
19,05 Apr 20:00,1.0,3.0,1.0,1.0,4.1,132431.0,20860.0,3862.0,16998.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.2,11.8,2.0,2.9,0.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,20.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,327.0,Liverpool
20,13 Apr 15:00,3.0,1.0,1.0,2.0,4.1,207968.0,98670.0,20990.0,77680.0,83.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.6,10.6,0.0,1.9,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,338.0,Wolves
21,20 Apr 17:30,3.0,1.0,0.0,0.0,4.1,234303.0,34151.0,9857.0,24294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,Newcastle
22,23 Apr 19:45,1.0,1.0,0.0,1.0,4.1,234303.0,34151.0,9857.0,24294.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,308.0,Watford
23,27 Apr 15:00,3.0,3.0,1.0,4.0,4.1,229107.0,5271.0,8001.0,-2730.0,90.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,36.8,16.3,6.0,5.9,0.0,1.0,0.0,3.0,4.0,1.0,3.0,0.0,22.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,358.0,Bournemouth
24,04 May 15:00,3.0,0.0,0.0,1.0,4.1,233633.0,8884.0,4577.0,4307.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.8,6.3,0.0,1.4,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,28.0,19.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,369.0,West Ham
25,12 May 15:00,1.0,1.0,1.0,2.0,4.1,259119.0,27496.0,4630.0,22866.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.7,35.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,378.0,Huddersfield
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
