entry,value
player_id,234
web_name,Vardy
team,Leicester
first_name,Jamie
second_name,Vardy
cost_end,9.0
value_form,0.6
value_season,19.3
cost_change_start,0.0
cost_start,9.0
dreamteam_count,4
selected_by_percent,10.3
total_points,174
ppg,5.1
minutes,2726
goals_scored,18
assists,5
clean_sheets,11
goals_conceded,36
own_goals,0
penalties_saved,0
penalties_missed,1
yellow_cards,3
red_cards,1
saves,0
bonus,31
bps,598
influence,822.0
creativity,419.9
threat,1206.0
ict_index,244.6
ea_index,0
position,Forward
