,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,18 Aug 15:00,2.0,1.0,0.0,0.0,5.0,32384.0,1597.0,1776.0,-179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,Everton
2,25 Aug 15:00,1.0,2.0,1.0,1.0,4.9,25543.0,415.0,7304.0,-6889.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.2,0.8,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,52.0,46.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,28.0,Leicester
3,01 Sep 15:00,0.0,2.0,0.0,5.0,4.9,23951.0,620.0,2919.0,-2299.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,28.4,0.6,0.0,2.9,0.0,0.0,0.0,10.0,2.0,0.0,1.0,0.0,41.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,Crystal Palace
4,17 Sep 20:00,2.0,2.0,1.0,1.0,4.9,24085.0,1270.0,1814.0,-544.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19.8,3.3,0.0,2.3,0.0,0.0,0.0,7.0,3.0,0.0,1.0,0.0,60.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,Brighton
5,22 Sep 15:00,3.0,0.0,0.0,1.0,4.9,22393.0,249.0,1988.0,-1739.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,31.0,0.9,4.0,3.6,0.0,0.0,0.0,12.0,6.0,0.0,1.0,0.0,52.0,44.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,58.0,Liverpool
6,29 Sep 15:00,2.0,0.0,0.0,1.0,4.9,21381.0,252.0,1450.0,-1198.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,17.4,4.0,13.0,3.4,0.0,0.0,0.0,6.0,4.0,0.0,2.0,0.0,47.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,70.0,Wolves
7,07 Oct 14:15,0.0,3.0,1.0,0.0,4.8,20219.0,117.0,1352.0,-1235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,Chelsea
8,20 Oct 15:00,0.0,0.0,0.0,0.0,4.8,18847.0,133.0,1626.0,-1493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,Bournemouth
9,27 Oct 15:00,0.0,0.0,1.0,0.0,4.8,17721.0,77.0,1291.0,-1214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,Newcastle
10,04 Nov 15:00,6.0,1.0,0.0,0.0,4.7,16339.0,55.0,1486.0,-1431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,Man City
