,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,0,2,True,1,5.5,21756,0,0,0,19,0,0,0,1,0,0,0,0,0,0,6,7.4,24.6,4.0,3.6,0,1,0,0,2,2,1,0,6,3,0,0,0,1,0,1,0,0,3,Crystal Palace
2,18 Aug 15:00,3,1,False,0,5.5,24733,1977,4580,-2603,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,Spurs
3,26 Aug 16:00,4,2,True,9,5.5,19900,886,6473,-5587,90,0,2,0,2,0,0,0,0,0,1,33,42.6,64.4,24.0,13.1,0,2,1,2,3,5,0,0,37,30,0,0,0,4,0,2,2,1,23,Burnley
4,01 Sep 15:00,2,2,False,2,5.5,41932,22917,5986,16931,73,0,0,0,1,0,0,0,0,0,0,9,0.8,2.9,20.0,2.4,0,0,0,1,7,0,1,0,30,22,1,0,0,3,0,0,1,4,31,Brighton
5,15 Sep 15:00,3,0,False,2,5.5,39698,6518,8942,-2424,68,0,0,0,3,0,0,0,0,0,0,3,6.6,22.8,2.0,3.1,0,0,0,1,1,2,0,0,19,16,0,0,0,5,0,0,0,0,45,Man City
6,22 Sep 12:30,1,1,True,7,5.5,42713,7702,6016,1686,90,0,1,0,1,0,0,0,0,0,2,22,27.0,29.1,28.0,8.4,0,1,1,3,9,2,1,0,38,30,0,1,0,2,0,2,1,1,56,Watford
7,29 Sep 15:00,3,0,False,2,5.5,46768,7434,4316,3118,63,0,0,0,1,0,0,0,0,0,0,5,7.2,14.2,8.0,2.9,0,0,0,0,6,1,2,0,29,24,0,1,0,6,0,0,0,1,65,Everton
8,07 Oct 12:00,1,5,True,4,5.5,45815,4282,5535,-1253,82,0,1,0,4,0,0,1,0,0,0,17,22.6,28.3,12.0,6.3,0,0,1,0,4,2,2,0,29,25,0,0,0,3,0,1,1,0,74,Arsenal
9,20 Oct 15:00,4,2,False,1,5.5,49895,8901,6006,2895,8,0,0,0,1,0,0,0,0,0,0,3,0.4,0.8,0.0,0.1,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,83,Cardiff
10,27 Oct 15:00,0,3,True,0,5.5,48836,4300,5477,-1177,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,Bournemouth
11,05 Nov 20:00,1,0,False,1,5.5,45218,3307,7241,-3934,45,0,0,0,1,0,0,0,0,0,0,2,7.0,1.2,17.0,2.5,0,0,0,1,0,0,0,0,15,9,0,0,0,1,0,0,0,0,106,Huddersfield
12,11 Nov 12:00,2,0,False,1,5.5,39486,658,6350,-5692,12,0,0,0,0,0,0,0,0,0,0,2,0.4,0.3,2.0,0.3,0,0,0,0,1,0,0,0,7,6,0,0,0,1,0,0,0,0,117,Liverpool
13,24 Nov 15:00,3,2,True,0,5.5,38472,2239,3720,-1481,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,Southampton
14,02 Dec 12:00,2,0,False,0,5.5,36355,830,2977,-2147,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,Chelsea
15,05 Dec 19:45,1,1,True,1,5.5,34634,922,2729,-1807,45,0,0,0,0,0,0,0,0,0,0,-2,0.0,3.2,20.0,2.0,0,0,0,0,2,0,0,0,12,10,0,0,0,3,0,0,3,1,144,Leicester
16,08 Dec 15:00,4,1,False,1,5.5,32915,493,2247,-1754,45,0,0,0,1,0,0,0,0,0,0,3,9.2,13.5,9.0,3.2,0,0,0,0,1,1,0,0,23,21,0,0,0,1,0,0,1,1,158,Man Utd
17,15 Dec 17:30,0,2,True,0,5.5,32711,1468,1962,-494,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,West Ham
18,22 Dec 15:00,0,0,False,0,5.5,30837,308,2229,-1921,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,Newcastle
19,26 Dec 12:30,1,1,True,0,5.4,29511,363,1789,-1426,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,Wolves
20,29 Dec 15:00,1,0,True,2,5.4,28684,502,1449,-947,76,0,0,1,0,0,0,0,0,0,0,11,11.2,37.6,2.0,5.1,0,1,0,2,6,3,1,0,33,20,0,0,0,3,0,0,1,0,194,Huddersfield
21,01 Jan 15:00,4,1,False,0,5.4,28205,479,1063,-584,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,Arsenal
22,12 Jan 15:00,2,1,False,1,5.4,27315,550,1535,-985,45,0,0,0,0,0,0,0,0,0,0,2,1.2,1.9,67.0,7.0,0,0,0,0,1,0,0,0,14,9,0,0,0,0,0,1,0,0,212,Burnley
23,20 Jan 16:00,1,2,True,0,5.4,26805,489,1065,-576,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,Spurs
24,29 Jan 19:45,4,2,True,6,5.3,26403,422,917,-495,45,1,0,0,0,0,0,0,0,0,1,32,49.2,26.3,108.0,18.4,0,1,0,2,3,2,1,0,22,17,0,1,0,1,0,0,0,2,233,Brighton
25,02 Feb 15:00,2,0,False,1,5.3,28525,2365,658,1707,45,0,0,0,1,0,0,0,0,0,0,4,3.6,9.7,6.0,1.9,0,2,0,0,5,0,0,0,19,15,0,0,0,1,0,1,1,1,245,Crystal Palace
26,09 Feb 12:30,0,3,True,2,5.3,27770,736,1246,-510,90,0,0,0,3,0,0,0,0,0,0,11,5.8,12.9,11.0,3.0,0,0,0,0,7,1,1,0,31,27,0,1,0,1,0,1,1,2,253,Man Utd
27,22 Feb 19:45,3,1,False,0,5.3,28613,1506,926,580,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,West Ham
28,27 Feb 19:45,2,0,False,1,5.3,28593,669,682,-13,21,0,0,0,0,0,0,0,0,0,0,1,0.0,0.6,0.0,0.0,0,0,0,0,0,0,0,0,8,7,0,0,0,1,0,0,1,0,280,Southampton
29,03 Mar 14:05,1,2,True,1,5.3,28148,312,778,-466,10,0,0,0,0,0,0,0,0,0,0,3,2.0,0.0,6.0,0.8,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,285,Chelsea
30,09 Mar 15:00,3,1,False,1,5.3,27845,369,724,-355,8,0,0,0,1,0,0,0,0,0,0,4,2.0,12.5,0.0,1.5,0,0,0,0,1,1,0,0,5,5,0,0,0,0,0,0,0,0,296,Leicester
31,17 Mar 14:15,1,2,True,0,5.3,28215,460,564,-104,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,Liverpool
32,30 Mar 12:30,0,2,True,0,5.3,27867,578,668,-90,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,Man City
