,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 17:30,2,2,False,2,6.5,93127,0,0,0,90,0,0,0,2,0,0,0,0,0,0,6,6.2,2.3,4.0,1.3,0,0,0,1,4,0,0,0,18,10,0,0,0,1,1,0,1,2,10,Wolves
2,18 Aug 15:00,2,1,True,13,6.5,100102,8793,13832,-5039,90,1,1,0,1,0,0,0,0,0,3,33,52.2,27.5,28.0,10.8,0,1,1,1,7,2,0,0,28,20,0,1,0,3,1,2,1,2,16,Southampton
3,25 Aug 15:00,2,2,False,7,6.5,199403,99446,23381,76065,84,1,0,0,2,0,0,0,0,0,0,22,39.6,16.9,27.0,8.4,0,0,0,0,1,1,0,0,26,22,0,0,0,3,0,0,0,0,22,Bournemouth
4,01 Sep 15:00,1,1,True,1,6.8,987895,772105,34121,737984,56,0,0,0,1,0,0,0,0,0,0,2,1.6,15.8,22.0,3.9,0,1,0,0,5,1,0,0,18,13,0,0,0,3,0,1,1,1,36,Huddersfield
5,16 Sep 16:00,1,3,True,2,6.7,635103,27903,352094,-324191,76,0,0,0,3,0,0,0,0,0,0,6,9.2,9.1,20.0,3.8,0,1,0,0,6,0,1,0,27,21,0,0,0,4,2,0,0,1,43,West Ham
6,23 Sep 16:00,2,0,False,2,6.6,498414,15877,164502,-148625,71,0,0,0,2,0,0,0,0,0,0,5,18.8,27.3,19.0,6.5,0,1,0,1,9,2,0,0,18,17,0,1,0,3,1,0,0,0,51,Arsenal
7,29 Sep 15:00,3,0,True,6,6.6,452557,22767,75580,-52813,90,0,1,1,0,0,0,0,0,0,0,21,28.8,13.3,30.0,7.2,0,0,1,1,5,1,1,0,20,16,0,0,0,2,1,0,0,2,65,Fulham
8,06 Oct 15:00,1,2,False,2,6.6,457375,34886,32903,1983,90,0,0,0,1,0,0,0,0,0,0,9,12.2,16.7,42.0,7.1,0,0,0,2,4,1,0,0,22,16,0,0,0,2,0,0,0,2,75,Leicester
9,21 Oct 16:00,2,0,True,3,6.5,439279,35442,58043,-22601,81,0,0,1,0,0,0,0,0,0,0,8,13.8,27.9,21.0,6.3,0,1,0,1,3,2,0,0,29,22,0,1,0,2,0,0,0,3,85,Crystal Palace
10,28 Oct 16:00,2,1,False,2,6.5,377531,7383,67126,-59743,77,0,0,0,2,0,0,0,0,0,0,8,11.0,2.3,28.0,4.1,0,0,0,2,3,0,0,0,13,11,0,0,0,1,0,0,0,1,97,Man Utd
11,03 Nov 15:00,3,1,True,2,6.4,331183,7149,56834,-49685,84,0,0,0,1,0,0,0,0,0,0,1,2.6,1.9,19.0,2.4,0,0,0,3,4,0,0,0,21,14,0,1,0,2,1,1,0,0,105,Brighton
12,11 Nov 14:15,0,0,False,3,6.3,277051,2402,57106,-54704,90,0,0,1,0,0,0,0,0,0,0,7,5.6,1.6,8.0,1.5,0,0,0,1,7,0,2,0,22,15,0,0,0,3,2,0,1,1,113,Chelsea
