,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,0.0,3.0,0.0,6.0,7.5,411692.0,0.0,0.0,0.0,75.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,26.4,48.3,22.0,9.7,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,27.0,25.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,4.0,Huddersfield
2,18 Aug 17:30,3.0,2.0,1.0,2.0,7.5,481292.0,53970.0,39059.0,14911.0,60.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.2,19.8,4.0,2.8,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,40.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,14.0,Arsenal
3,26 Aug 16:00,1.0,2.0,0.0,1.0,7.5,424725.0,26637.0,93088.0,-66451.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.6,18.3,6.0,2.9,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,25.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.0,Newcastle
4,01 Sep 15:00,2.0,0.0,1.0,3.0,7.4,350334.0,12249.0,93232.0,-80983.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.6,54.3,27.0,10.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,48.0,43.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,34.0,Bournemouth
5,15 Sep 15:00,4.0,1.0,1.0,10.0,7.4,320690.0,15706.0,52538.0,-36832.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,39.8,23.3,9.0,7.2,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,24.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,42.0,Cardiff
6,23 Sep 13:30,0.0,0.0,0.0,3.0,7.4,350234.0,43339.0,22081.0,21258.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,22.2,73.8,45.0,14.1,0.0,0.0,2.0,2.0,2.0,6.0,0.0,0.0,73.0,58.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,60.0,West Ham
7,29 Sep 17:30,1.0,1.0,1.0,3.0,7.4,338027.0,16609.0,29773.0,-13164.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.6,15.1,21.0,4.2,0.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,35.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,64.0,Liverpool
8,07 Oct 14:15,0.0,3.0,0.0,3.0,7.4,347360.0,25331.0,21263.0,4068.0,74.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,15.8,58.1,33.0,10.7,0.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,37.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,78.0,Southampton
9,20 Oct 12:30,2.0,2.0,1.0,6.0,7.4,331320.0,15087.0,32735.0,-17648.0,72.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,24.8,52.3,23.0,10.0,0.0,1.0,2.0,2.0,1.0,4.0,0.0,0.0,41.0,37.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,84.0,Man Utd
10,28 Oct 13:30,0.0,4.0,0.0,7.0,7.4,374549.0,49608.0,14565.0,35043.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,40.2,32.3,58.0,13.1,0.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,59.0,52.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,92.0,Burnley
11,04 Nov 16:00,3.0,1.0,1.0,2.0,7.4,402540.0,45338.0,18356.0,26982.0,63.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.8,74.5,21.0,12.0,0.0,2.0,1.0,0.0,2.0,5.0,0.0,0.0,56.0,48.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,104.0,Crystal Palace
12,11 Nov 14:15,0.0,0.0,1.0,3.0,7.4,381940.0,15499.0,34508.0,-19009.0,67.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.8,34.6,6.0,4.8,0.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,34.0,30.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,113.0,Everton
13,24 Nov 17:30,3.0,1.0,0.0,2.0,7.4,358829.0,10818.0,35410.0,-24592.0,75.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.4,37.1,32.0,8.6,0.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,46.0,37.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,127.0,Spurs
14,02 Dec 12:00,2.0,0.0,1.0,0.0,7.4,373878.0,27204.0,16287.0,10917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,Fulham
15,05 Dec 19:45,2.0,1.0,0.0,2.0,7.4,336922.0,4237.0,39248.0,-35011.0,64.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.6,13.2,26.0,4.1,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,32.0,27.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,148.0,Wolves
16,08 Dec 17:30,2.0,0.0,1.0,3.0,7.3,308391.0,1943.0,30598.0,-28655.0,74.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.6,12.2,28.0,5.6,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,17.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,155.0,Man City
17,16 Dec 13:30,1.0,2.0,0.0,5.0,7.3,303855.0,9370.0,16755.0,-7385.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,27.6,39.7,10.0,7.7,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,46.0,37.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,161.0,Brighton
18,22 Dec 15:00,0.0,1.0,1.0,2.0,7.3,300473.0,7896.0,12595.0,-4699.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.2,24.6,26.0,6.4,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,32.0,29.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,174.0,Leicester
19,26 Dec 19:30,1.0,2.0,0.0,2.0,7.3,281282.0,2697.0,22214.0,-19517.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20.6,44.9,39.0,10.5,0.0,0.0,0.0,1.0,8.0,3.0,0.0,0.0,61.0,58.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,3.0,190.0,Watford
20,30 Dec 12:00,0.0,1.0,0.0,3.0,7.2,270528.0,5301.0,17019.0,-11718.0,81.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.4,30.4,34.0,7.6,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,54.0,47.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,193.0,Crystal Palace
21,02 Jan 19:45,0.0,0.0,1.0,1.0,7.2,269529.0,9655.0,11928.0,-2273.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.6,23.8,18.0,4.6,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,24.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,204.0,Southampton
