entry,value
player_id,124
web_name,Willian
team,Chelsea
first_name,Willian
second_name,Borges Da Silva
cost_end,7.1
value_form,0.1
value_season,15.2
cost_change_start,-0.4
cost_start,7.5
dreamteam_count,0
selected_by_percent,3.8
total_points,108
ppg,3.4
minutes,2091
goals_scored,3
assists,7
clean_sheets,11
goals_conceded,25
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,6
bps,475
influence,557.6
creativity,1165.5
threat,742.0
ict_index,246.7
ea_index,0
position,Midfielder
