,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2.0,0.0,1.0,8.0,6.0,147186.0,0.0,0.0,0.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,58.6,20.2,103.0,18.2,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,25.0,18.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,4.0,2.0,Cardiff
2,18 Aug 15:00,1.0,2.0,0.0,6.0,6.0,377319.0,152125.0,28036.0,124089.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,44.0,22.3,46.0,11.2,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,20.0,13.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,3.0,20.0,West Ham
3,25 Aug 15:00,2.0,2.0,1.0,8.0,6.1,661172.0,298342.0,60531.0,237811.0,90.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.6,41.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,18.0,13.0,0.0,2.0,0.0,3.0,4.0,4.0,4.0,0.0,22.0,Everton
4,01 Sep 15:00,2.0,0.0,0.0,2.0,6.2,795956.0,176329.0,62144.0,114185.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.6,3.2,10.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,34.0,Chelsea
5,15 Sep 15:00,4.0,2.0,1.0,4.0,6.3,1037008.0,289931.0,75194.0,214737.0,90.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,17.2,24.3,22.0,6.4,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,18.0,11.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,41.0,Leicester
6,22 Sep 15:00,4.0,0.0,0.0,2.0,6.3,1083823.0,110653.0,63335.0,47318.0,67.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.8,21.3,4.0,2.8,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,53.0,Burnley
7,01 Oct 20:00,2.0,1.0,1.0,5.0,6.3,1036714.0,43492.0,88340.0,-44848.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,27.0,29.1,23.0,7.9,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,15.0,11.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,62.0,Crystal Palace
8,06 Oct 15:00,0.0,4.0,0.0,14.0,6.3,973784.0,24059.0,88190.0,-64131.0,90.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,43.0,55.4,11.7,78.0,14.5,0.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,18.0,12.0,0.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,80.0,Watford
9,20 Oct 15:00,0.0,0.0,1.0,1.0,6.4,1355184.0,370201.0,27725.0,342476.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,21.1,10.0,3.1,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,82.0,Southampton
10,27 Oct 15:00,0.0,3.0,0.0,13.0,6.5,1456279.0,154169.0,49719.0,104450.0,90.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,51.0,64.4,14.4,60.0,13.9,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,18.0,10.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,94.0,Fulham
