,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 16:00,0,2,True,1,5.5,220405,0,0,0,69,0,0,0,2,0,0,1,0,0,0,10,8.8,1.3,0.0,1.0,0,0,0,2,5,0,1,0,43,35,0,0,0,0,0,0,1,0,1,Man City
2,18 Aug 17:30,3,2,False,0,5.5,204578,3989,35135,-31146,45,0,0,0,2,0,0,1,0,0,0,4,3.4,11.5,0.0,1.5,0,0,0,0,1,1,0,0,35,29,0,0,0,0,0,0,1,0,14,Chelsea
3,25 Aug 15:00,3,1,True,2,5.4,164968,2123,45161,-43038,90,0,0,0,1,0,0,0,0,0,0,11,17.6,18.9,7.0,4.4,0,1,0,0,9,1,0,0,82,72,0,0,0,0,0,0,5,1,21,West Ham
4,02 Sep 13:30,2,3,False,4,5.4,150275,2248,20812,-18564,90,0,1,0,2,0,0,1,0,0,0,21,32.6,47.3,9.0,8.9,0,0,0,5,9,3,1,0,99,85,0,0,0,1,0,1,3,0,33,Cardiff
5,15 Sep 15:00,1,2,False,9,5.3,147561,6920,13205,-6285,90,1,0,0,1,0,0,0,0,0,2,33,50.6,15.7,7.0,7.3,0,0,0,4,6,1,0,0,103,85,0,0,0,0,0,0,0,0,46,Newcastle
6,23 Sep 16:00,2,0,True,3,5.3,176438,31619,8760,22859,90,0,0,1,0,0,0,0,0,0,0,12,12.2,8.8,1.0,2.2,0,0,0,4,6,0,0,0,101,82,0,0,0,1,0,1,1,1,51,Everton
7,29 Sep 15:00,2,0,True,3,5.3,183741,15359,9921,5438,90,0,0,1,0,0,0,0,0,0,0,13,25.0,30.5,7.0,6.3,0,0,0,3,5,2,0,0,92,80,0,0,0,1,0,0,1,1,61,Watford
8,07 Oct 12:00,1,5,False,2,5.3,195814,19412,9855,9557,90,0,0,0,1,0,0,0,0,0,0,16,27.2,10.3,0.0,3.8,0,0,0,6,7,0,3,0,71,62,0,0,0,3,0,0,2,0,74,Fulham
9,22 Oct 20:00,3,1,True,1,5.3,199261,16570,15027,1543,90,0,0,0,1,0,0,1,0,0,0,7,17.4,27.1,9.0,5.4,0,0,0,4,5,2,1,0,84,71,0,0,0,2,0,2,3,0,81,Leicester
10,28 Oct 13:30,2,2,False,7,5.3,190062,5802,15267,-9465,90,1,0,0,2,0,0,0,0,0,0,21,37.4,6.7,8.0,5.2,0,0,0,3,5,0,0,0,50,36,1,0,0,2,0,1,1,0,93,Crystal Palace
11,03 Nov 17:30,1,1,True,2,5.3,194057,12540,10507,2033,90,0,0,0,1,0,0,0,0,0,0,16,29.2,22.7,17.0,6.9,0,1,0,3,15,1,0,0,97,84,0,0,0,1,0,0,1,0,101,Liverpool
12,11 Nov 16:30,1,1,True,2,5.3,208278,20391,8802,11589,90,0,0,0,1,0,0,0,0,0,0,8,7.2,7.3,14.0,2.9,0,0,0,2,7,0,1,0,109,97,0,0,1,3,0,0,1,0,111,Wolves
13,25 Nov 13:30,1,2,False,2,5.3,206534,9404,11993,-2589,90,0,0,0,1,0,0,0,0,0,0,14,25.2,16.2,0.0,4.1,0,0,0,6,11,1,0,0,87,74,0,0,0,1,1,0,1,0,121,Bournemouth
14,02 Dec 14:05,4,2,True,4,5.3,202658,4719,9134,-4415,90,0,1,0,2,0,0,1,0,0,0,22,23.6,51.3,0.0,7.5,0,2,0,3,6,3,0,0,54,45,0,0,0,0,0,0,2,0,131,Spurs
15,05 Dec 20:00,2,2,False,0,5.3,176988,2330,27316,-24986,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,Man Utd
16,08 Dec 15:00,1,0,True,2,5.3,179057,8871,8939,-68,90,0,0,1,0,0,0,1,0,0,0,19,25.4,28.6,17.0,7.1,0,0,2,7,10,2,1,0,85,68,0,0,0,1,0,1,2,0,151,Huddersfield
17,16 Dec 13:30,3,2,False,2,5.3,173909,3821,9452,-5631,90,0,0,0,3,0,0,0,0,0,0,12,16.8,12.2,8.0,3.7,0,0,0,2,3,1,0,0,111,99,0,0,0,0,0,0,1,0,167,Southampton
18,22 Dec 12:30,3,1,True,2,5.3,169523,2578,7693,-5115,90,0,0,0,1,0,0,0,0,0,0,13,13.2,2.3,7.0,2.3,0,0,0,4,8,0,0,0,82,70,0,0,0,0,0,0,1,0,171,Burnley
19,26 Dec 17:15,1,1,False,2,5.3,164305,2617,8442,-5825,90,0,0,0,1,0,0,0,0,0,0,18,18.8,33.5,0.0,5.2,0,0,0,3,10,2,0,0,113,109,0,0,0,0,0,0,0,0,181,Brighton
20,29 Dec 17:30,5,1,False,1,5.3,158013,1909,8746,-6837,90,0,0,0,5,0,0,1,0,0,0,10,15.4,16.0,0.0,3.1,0,0,0,3,10,1,0,0,82,71,0,0,0,1,0,0,1,0,196,Liverpool
21,01 Jan 15:00,4,1,True,10,5.3,154831,2497,6547,-4050,90,1,0,0,1,0,0,0,0,0,3,37,61.8,50.0,53.0,16.5,0,2,1,5,8,3,1,0,72,62,0,1,0,2,0,0,0,0,201,Fulham
22,12 Jan 12:30,1,0,False,1,5.3,174313,24024,7841,16183,58,0,0,0,1,0,0,0,0,0,0,9,4.8,11.4,0.0,1.6,0,0,0,2,5,1,1,0,40,34,0,0,1,0,0,0,0,0,220,West Ham
23,19 Jan 17:30,2,0,True,3,5.3,164664,3449,12841,-9392,90,0,0,1,0,0,0,0,0,0,0,18,20.2,26.6,0.0,4.7,0,1,0,8,11,2,1,0,51,41,0,0,0,1,0,0,4,1,221,Chelsea
24,29 Jan 19:45,2,1,True,0,5.3,169152,9265,6566,2699,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,Cardiff
25,03 Feb 16:30,3,1,False,0,5.3,161295,1185,8715,-7530,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,Man City
26,09 Feb 15:00,1,2,False,0,5.3,147523,708,14988,-14280,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,Huddersfield
27,24 Feb 14:05,2,0,True,3,5.2,143779,2175,6523,-4348,90,0,0,1,0,0,0,0,0,0,0,16,13.6,32.5,1.0,4.7,0,0,0,5,6,2,0,0,73,66,0,0,0,0,0,1,1,1,261,Southampton
28,27 Feb 19:45,5,1,True,0,5.2,145041,2230,1495,735,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,Bournemouth
29,02 Mar 12:30,1,1,False,1,5.2,142580,953,3486,-2533,90,0,0,0,1,0,0,1,0,0,0,6,5.4,11.8,0.0,1.7,0,0,0,1,10,1,0,0,39,28,0,0,0,0,0,0,3,0,287,Spurs
30,10 Mar 16:30,2,0,True,11,5.2,141662,1353,2634,-1281,90,1,0,1,0,0,0,0,0,0,3,32,42.0,33.5,8.0,8.4,0,1,0,2,11,2,0,1,64,51,0,0,0,0,0,1,3,0,291,Man Utd
31,01 Apr 20:00,2,0,True,0,5.2,147014,4497,4277,220,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,Newcastle
32,07 Apr 14:05,1,0,False,0,5.2,144168,1018,4095,-3077,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,Everton
33,15 Apr 20:00,0,1,False,3,5.2,141010,299,3657,-3358,90,0,0,1,0,0,0,0,0,0,0,16,25.4,31.3,16.0,7.3,0,1,0,4,6,2,0,0,100,88,0,0,0,0,0,0,1,0,340,Watford
34,21 Apr 16:00,2,3,True,0,5.2,140929,2427,2783,-356,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,Crystal Palace
35,24 Apr 19:45,3,1,False,4,5.2,140929,2427,2783,-356,90,0,1,0,3,0,0,1,0,0,0,19,31.6,49.1,8.0,8.9,0,1,1,1,3,3,0,0,95,84,0,0,1,2,0,0,1,1,310,Wolves
36,28 Apr 12:00,3,0,False,2,5.2,139857,922,2065,-1143,90,0,0,0,3,0,0,0,0,0,0,7,11.2,9.0,0.0,2.0,0,0,0,4,7,0,0,0,41,27,0,0,0,1,0,0,2,0,355,Leicester
37,05 May 16:30,1,1,True,1,5.2,141198,2318,1298,1020,76,0,0,0,1,0,0,1,0,0,0,12,11.6,50.6,18.0,8.0,0,0,0,1,4,3,2,0,90,81,1,0,0,0,0,0,2,0,361,Brighton
38,12 May 15:00,1,3,False,0,5.2,142723,2893,1648,1245,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,Burnley
