,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,18 Aug 12:30,0.0,0.0,0.0,0.0,4.5,67349.0,929.0,16689.0,-15760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Cardiff
2,26 Aug 16:00,1.0,2.0,1.0,2.0,4.5,53395.0,187.0,14610.0,-14423.0,90.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,28.4,15.3,2.0,4.6,0.0,1.0,0.0,6.0,5.0,1.0,0.0,0.0,23.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,27.0,Chelsea
3,01 Sep 17:30,2.0,1.0,0.0,7.0,4.5,52246.0,1319.0,3675.0,-2356.0,90.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,41.8,0.6,17.0,5.9,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,13.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,38.0,Man City
4,15 Sep 15:00,1.0,2.0,1.0,1.0,4.5,57824.0,6956.0,3561.0,3395.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.4,1.8,0.0,1.2,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,34.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46.0,Arsenal
5,22 Sep 15:00,0.0,0.0,0.0,5.0,4.5,59378.0,3812.0,2802.0,1010.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,23.6,29.0,0.0,5.3,0.0,2.0,0.0,6.0,4.0,2.0,1.0,0.0,21.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,55.0,Crystal Palace
6,29 Sep 15:00,0.0,2.0,1.0,1.0,4.5,61881.0,5006.0,3105.0,1901.0,79.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,12.7,2.0,1.6,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,30.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,68.0,Leicester
7,06 Oct 17:30,3.0,2.0,0.0,1.0,4.5,60614.0,1685.0,2913.0,-1228.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,10.7,0.0,2.3,0.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,Man Utd
8,20 Oct 15:00,0.0,1.0,1.0,2.0,4.5,68544.0,10832.0,3864.0,6968.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.8,17.9,0.0,2.9,0.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,43.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,88.0,Brighton
9,27 Oct 15:00,0.0,0.0,0.0,6.0,4.5,66942.0,1891.0,3304.0,-1413.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14.4,1.7,1.0,1.7,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,34.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,98.0,Southampton
10,03 Nov 15:00,1.0,0.0,1.0,7.0,4.5,69063.0,3889.0,2255.0,1634.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,23.8,5.2,0.0,2.9,0.0,1.0,0.0,7.0,2.0,0.0,2.0,0.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,Watford
11,10 Nov 15:00,2.0,1.0,1.0,2.0,4.5,78892.0,10574.0,1903.0,8671.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,11.9,5.0,2.7,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,30.0,20.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,119.0,Bournemouth
12,26 Nov 20:30,1.0,2.0,0.0,2.0,4.5,93123.0,16460.0,3391.0,13069.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.2,21.2,33.0,7.1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,15.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,123.0,Burnley
13,01 Dec 15:00,0.0,3.0,1.0,0.0,4.5,94516.0,4493.0,2502.0,1991.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,18.2,31.4,2.0,5.2,0.0,2.0,0.0,2.0,6.0,2.0,0.0,0.0,35.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,139.0,West Ham
14,05 Dec 19:45,1.0,1.0,0.0,1.0,4.5,90028.0,1129.0,5284.0,-4155.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,19.4,20.9,2.0,4.2,0.0,0.0,0.0,6.0,5.0,2.0,0.0,0.0,21.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,149.0,Everton
