entry,value
player_id,151
web_name,Zaha
team,Crystal Palace
first_name,Wilfried
second_name,Zaha
cost_end,7.0
value_form,0.9
value_season,20.4
cost_change_start,0.0
cost_start,7.0
dreamteam_count,1
selected_by_percent,15.6
total_points,143
ppg,4.2
minutes,3037
goals_scored,10
assists,11
clean_sheets,11
goals_conceded,49
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,8
red_cards,1
saves,0
bonus,13
bps,459
influence,752.8
creativity,753.3
threat,1200.0
ict_index,270.6
ea_index,0
position,Forward
