,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2,0,False,0,5.0,36149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bournemouth
2,18 Aug 12:30,0,0,True,2,5.0,29071,458,8120,-7662,90,0,0,1,0,0,0,0,0,0,0,-3,2.2,14.7,54.0,7.1,0,0,0,3,5,1,0,0,17,10,0,1,0,2,1,3,3,0,13,Newcastle
3,25 Aug 15:00,0,0,False,1,4.9,31149,6446,6686,-240,58,0,0,0,0,0,0,0,0,0,0,0,5.6,25.2,0.0,3.1,0,1,0,2,1,2,0,0,8,6,0,0,0,3,0,0,4,0,24,Huddersfield
4,02 Sep 13:30,2,3,True,1,4.9,29108,3344,6079,-2735,6,0,0,0,0,0,0,0,0,0,0,4,4.0,14.3,2.0,2.0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,33,Arsenal
5,15 Sep 15:00,4,1,False,0,4.9,26244,2024,5442,-3418,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,Chelsea
6,22 Sep 15:00,0,5,True,1,4.8,23641,987,3958,-2971,27,0,0,0,2,0,0,0,0,0,0,1,1.6,0.7,0.0,0.2,0,0,0,1,1,0,0,0,8,5,0,0,0,1,0,0,1,0,54,Man City
7,30 Sep 16:00,1,2,True,2,4.8,22513,1055,2527,-1472,70,0,0,0,2,0,0,0,0,0,0,3,1.4,2.1,49.0,5.3,0,0,0,0,2,0,0,0,9,6,0,0,0,1,1,0,1,0,63,Burnley
8,06 Oct 15:00,1,0,False,0,4.8,22868,2084,2160,-76,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,Spurs
9,20 Oct 15:00,4,2,True,0,4.7,21250,892,2700,-1808,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,Fulham
10,27 Oct 15:00,4,1,False,1,4.7,20810,993,1652,-659,7,0,0,0,2,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,Liverpool
11,03 Nov 15:00,0,1,True,0,4.7,20471,1021,1557,-536,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,Leicester
12,10 Nov 12:30,2,1,True,0,4.7,19111,393,1783,-1390,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,Brighton
13,24 Nov 15:00,1,0,False,0,4.7,17548,88,1668,-1580,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,Everton
14,30 Nov 20:00,2,1,True,0,4.7,16958,56,726,-670,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,Wolves
15,04 Dec 19:45,3,1,False,0,4.7,16335,41,663,-622,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,West Ham
16,08 Dec 15:00,1,0,True,0,4.6,15656,38,741,-703,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,Southampton
