,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,19 Aug 16:00,3.0,2.0,0.0,1.0,6.0,1516803.0,22593.0,45141.0,-22548.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Brighton
2,27 Aug 20:00,0.0,3.0,1.0,1.0,6.0,1368689.0,9262.0,185167.0,-175905.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,20.8,0.0,0.0,2.1,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,32.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,Spurs
3,02 Sep 16:00,0.0,2.0,0.0,6.0,6.0,1253851.0,5807.0,145921.0,-140114.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,22.0,0.0,0.0,2.2,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,27.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,Burnley
4,15 Sep 17:30,1.0,2.0,0.0,3.0,5.9,1226516.0,15476.0,70789.0,-55313.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,15.0,25.8,0.0,0.0,2.6,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,Watford
5,22 Sep 15:00,1.0,1.0,1.0,5.0,5.9,1219217.0,17089.0,42626.0,-25537.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,23.0,47.4,0.0,0.0,4.7,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,29.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,Wolves
6,29 Sep 12:30,3.0,1.0,0.0,1.0,5.9,1196328.0,7774.0,41077.0,-33303.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,6.2,0.0,0.0,0.6,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,West Ham
7,06 Oct 17:30,3.0,2.0,1.0,3.0,5.9,1135386.0,5698.0,73731.0,-68033.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,21.0,35.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,Newcastle
8,20 Oct 12:30,2.0,2.0,0.0,2.0,5.8,1040538.0,1824.0,102011.0,-100187.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,31.6,0.0,0.0,3.2,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,30.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,Chelsea
9,28 Oct 16:00,2.0,1.0,1.0,3.0,5.8,1008148.0,2533.0,42379.0,-39846.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0,34.6,0.0,0.0,3.5,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,28.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,Everton
10,03 Nov 12:30,1.0,2.0,0.0,4.0,5.8,976378.0,2039.0,38835.0,-36796.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,20.0,46.2,0.0,0.0,4.6,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,27.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,Bournemouth
11,11 Nov 16:30,3.0,1.0,0.0,1.0,5.8,949654.0,1624.0,32034.0,-30410.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,12.2,0.0,0.0,1.2,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,Man City
12,24 Nov 15:00,0.0,0.0,1.0,6.0,5.7,936425.0,4278.0,24296.0,-20018.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,15.8,0.0,0.0,1.6,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,Crystal Palace
13,01 Dec 17:30,2.0,2.0,0.0,2.0,5.7,933072.0,3322.0,9078.0,-5756.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,23.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,Southampton
14,05 Dec 20:00,2.0,2.0,1.0,2.0,5.7,914392.0,927.0,20259.0,-19332.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,18.2,0.0,0.0,1.8,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,32.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,145.0,Arsenal
15,08 Dec 15:00,4.0,1.0,1.0,3.0,5.7,913255.0,5877.0,13688.0,-7811.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,17.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,32.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,Fulham
16,16 Dec 16:00,3.0,1.0,0.0,3.0,5.7,889813.0,1246.0,23037.0,-21791.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,25.0,34.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,Liverpool
17,22 Dec 17:30,1.0,5.0,0.0,2.0,5.7,888250.0,5922.0,12483.0,-6561.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,19.4,0.0,0.0,1.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,28.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,Cardiff
18,26 Dec 15:00,3.0,1.0,1.0,2.0,5.7,891399.0,12827.0,13894.0,-1067.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,11.6,0.0,0.0,1.2,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,29.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,Huddersfield
19,30 Dec 16:30,4.0,1.0,1.0,2.0,5.7,887641.0,8036.0,14241.0,-6205.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,18.6,0.0,0.0,1.9,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,Bournemouth
20,02 Jan 20:00,0.0,2.0,0.0,7.0,5.7,886092.0,10096.0,14647.0,-4551.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,23.2,0.0,0.0,2.3,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,Newcastle
21,13 Jan 16:30,0.0,1.0,0.0,12.0,5.7,878237.0,5689.0,20086.0,-14397.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,45.0,79.4,0.0,0.0,7.9,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,33.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,Spurs
22,19 Jan 15:00,2.0,1.0,1.0,2.0,5.7,944673.0,65149.0,11387.0,53762.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,14.2,0.0,0.0,1.4,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,Brighton
23,29 Jan 20:00,2.0,2.0,1.0,1.0,5.7,975515.0,32310.0,10347.0,21963.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,13.6,0.0,0.0,1.4,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,Burnley
24,03 Feb 14:05,0.0,1.0,0.0,11.0,5.7,967877.0,8356.0,16176.0,-7820.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,33.0,39.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,Leicester
25,09 Feb 12:30,0.0,3.0,0.0,6.0,5.7,1013452.0,38123.0,6696.0,31427.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,23.0,18.8,0.0,0.0,1.9,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,34.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,Fulham
26,24 Feb 14:05,0.0,0.0,1.0,6.0,5.7,1022635.0,16105.0,13753.0,2352.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,5.4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,268.0,Liverpool
27,27 Feb 20:00,1.0,3.0,0.0,2.0,5.7,1037899.0,13932.0,4205.0,9727.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,11.4,0.0,0.0,1.1,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,25.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,Crystal Palace
28,02 Mar 15:00,3.0,2.0,1.0,1.0,5.7,1053349.0,17826.0,5741.0,12085.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,6.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,Southampton
29,10 Mar 16:30,2.0,0.0,0.0,1.0,5.7,1037928.0,3610.0,21842.0,-18232.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,27.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,291.0,Arsenal
30,30 Mar 15:00,2.0,1.0,1.0,4.0,5.7,1054844.0,25915.0,10955.0,14960.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,22.0,43.2,0.0,0.0,4.3,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,Watford
31,02 Apr 19:45,2.0,1.0,0.0,1.0,5.7,1054844.0,25915.0,10955.0,14960.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,11.4,0.0,0.0,1.1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,Wolves
32,13 Apr 17:30,2.0,1.0,1.0,3.0,5.7,1031715.0,7134.0,8592.0,-1458.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,23.4,0.0,0.0,2.3,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,West Ham
33,21 Apr 13:30,4.0,0.0,0.0,1.0,5.7,1028432.0,6573.0,11666.0,-5093.0,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,20.0,36.6,0.0,0.0,3.7,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,25.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,Everton
34,24 Apr 20:00,0.0,2.0,1.0,2.0,5.7,1028432.0,6573.0,11666.0,-5093.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,13.8,0.0,0.0,1.4,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,27.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,306.0,Man City
35,28 Apr 16:30,1.0,1.0,1.0,2.0,5.7,1006575.0,1601.0,23923.0,-22322.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,23.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,357.0,Chelsea
